"pli0091_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","West Germany","","","",""
"Daily","1985","lower secondary degree","East Germany","","","",""
"Daily","1985","secondary school degree","West Germany","","","",""
"Daily","1985","secondary school degree","East Germany","","","",""
"Daily","1985","college entrance qualification","West Germany","","","",""
"Daily","1985","college entrance qualification","East Germany","","","",""
"Daily","1985","Other degree","West Germany","","","",""
"Daily","1985","Other degree","East Germany","","","",""
"Daily","1985","no degree/no degree yet","West Germany","","","",""
"Daily","1985","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1985","lower secondary degree","West Germany","391","0.057369711887979","0.0511838502785655","0.0635555734973925"
"Min 1x per week","1985","lower secondary degree","East Germany","","","",""
"Min 1x per week","1985","secondary school degree","West Germany","283","0.140251639717386","0.124491925974915","0.156011353459857"
"Min 1x per week","1985","secondary school degree","East Germany","","","",""
"Min 1x per week","1985","college entrance qualification","West Germany","177","0.135192290568757","0.115965991590959","0.154418589546554"
"Min 1x per week","1985","college entrance qualification","East Germany","","","",""
"Min 1x per week","1985","Other degree","West Germany","82","0.0878845819389829","0.0719973066929179","0.103771857185048"
"Min 1x per week","1985","Other degree","East Germany","","","",""
"Min 1x per week","1985","no degree/no degree yet","West Germany","96","0.181558903135355","0.158664114383689","0.20445369188702"
"Min 1x per week","1985","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1985","lower secondary degree","West Germany","567","0.0904025587143271","0.0827746911082643","0.0980304263203898"
"Min 1x per month","1985","lower secondary degree","East Germany","","","",""
"Min 1x per month","1985","secondary school degree","West Germany","360","0.181047557449339","0.163571866763262","0.198523248135416"
"Min 1x per month","1985","secondary school degree","East Germany","","","",""
"Min 1x per month","1985","college entrance qualification","West Germany","273","0.213362472128558","0.190326512960991","0.236398431296126"
"Min 1x per month","1985","college entrance qualification","East Germany","","","",""
"Min 1x per month","1985","Other degree","West Germany","124","0.115170289860605","0.0972572928293229","0.133083286891888"
"Min 1x per month","1985","Other degree","East Germany","","","",""
"Min 1x per month","1985","no degree/no degree yet","West Germany","124","0.200100940949467","0.176339306546795","0.22386257535214"
"Min 1x per month","1985","no degree/no degree yet","East Germany","","","",""
"Rarely","1985","lower secondary degree","West Germany","1745","0.294409894640111","0.282286043032351","0.30653374624787"
"Rarely","1985","lower secondary degree","East Germany","","","",""
"Rarely","1985","secondary school degree","West Germany","701","0.360287117267557","0.338498704805231","0.382075529729882"
"Rarely","1985","secondary school degree","East Germany","","","",""
"Rarely","1985","college entrance qualification","West Germany","435","0.344615208757764","0.317892815461741","0.371337602053788"
"Rarely","1985","college entrance qualification","East Germany","","","",""
"Rarely","1985","Other degree","West Germany","339","0.268285021781328","0.243422947383936","0.293147096178721"
"Rarely","1985","Other degree","East Germany","","","",""
"Rarely","1985","no degree/no degree yet","West Germany","209","0.222241882689426","0.197549137143791","0.24693462823506"
"Rarely","1985","no degree/no degree yet","East Germany","","","",""
"Never","1985","lower secondary degree","West Germany","2726","0.557817834757583","0.544606856464673","0.571028813050493"
"Never","1985","lower secondary degree","East Germany","","","",""
"Never","1985","secondary school degree","West Germany","521","0.318413685565719","0.29727076556232","0.339556605569117"
"Never","1985","secondary school degree","East Germany","","","",""
"Never","1985","college entrance qualification","West Germany","330","0.306830028544921","0.280898462062545","0.332761595027297"
"Never","1985","college entrance qualification","East Germany","","","",""
"Never","1985","Other degree","West Germany","675","0.528660106419083","0.500649433330795","0.556670779507371"
"Never","1985","Other degree","East Germany","","","",""
"Never","1985","no degree/no degree yet","West Germany","660","0.396098273225752","0.367050104305622","0.425146442145882"
"Never","1985","no degree/no degree yet","East Germany","","","",""
"Daily","1986","lower secondary degree","West Germany","","","",""
"Daily","1986","lower secondary degree","East Germany","","","",""
"Daily","1986","secondary school degree","West Germany","","","",""
"Daily","1986","secondary school degree","East Germany","","","",""
"Daily","1986","college entrance qualification","West Germany","","","",""
"Daily","1986","college entrance qualification","East Germany","","","",""
"Daily","1986","Other degree","West Germany","","","",""
"Daily","1986","Other degree","East Germany","","","",""
"Daily","1986","no degree/no degree yet","West Germany","","","",""
"Daily","1986","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1986","lower secondary degree","West Germany","376","0.0596728362719747","0.0531957620714621","0.0661499104724873"
"Min 1x per week","1986","lower secondary degree","East Germany","","","",""
"Min 1x per week","1986","secondary school degree","West Germany","255","0.128999453344481","0.113658527377515","0.144340379311446"
"Min 1x per week","1986","secondary school degree","East Germany","","","",""
"Min 1x per week","1986","college entrance qualification","West Germany","161","0.11754071591909","0.0996796087665854","0.135401823071594"
"Min 1x per week","1986","college entrance qualification","East Germany","","","",""
"Min 1x per week","1986","Other degree","West Germany","64","0.060246040933868","0.0465768459309036","0.0739152359368325"
"Min 1x per week","1986","Other degree","East Germany","","","",""
"Min 1x per week","1986","no degree/no degree yet","West Germany","93","0.17046362797981","0.147465290141009","0.19346196581861"
"Min 1x per week","1986","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1986","lower secondary degree","West Germany","564","0.0924370527911255","0.0845172847015491","0.100356820880702"
"Min 1x per month","1986","lower secondary degree","East Germany","","","",""
"Min 1x per month","1986","secondary school degree","West Germany","379","0.192612298280827","0.174564197934523","0.210660398627131"
"Min 1x per month","1986","secondary school degree","East Germany","","","",""
"Min 1x per month","1986","college entrance qualification","West Germany","317","0.242888676738665","0.219106567096607","0.266670786380723"
"Min 1x per month","1986","college entrance qualification","East Germany","","","",""
"Min 1x per month","1986","Other degree","West Germany","117","0.106153050258315","0.0884572820464168","0.123848818470213"
"Min 1x per month","1986","Other degree","East Germany","","","",""
"Min 1x per month","1986","no degree/no degree yet","West Germany","127","0.189261064156521","0.165303976421508","0.213218151891533"
"Min 1x per month","1986","no degree/no degree yet","East Germany","","","",""
"Rarely","1986","lower secondary degree","West Germany","1643","0.291323922296142","0.278899877696908","0.303747966895375"
"Rarely","1986","lower secondary degree","East Germany","","","",""
"Rarely","1986","secondary school degree","West Germany","674","0.341996938411002","0.320286255140153","0.363707621681851"
"Rarely","1986","secondary school degree","East Germany","","","",""
"Rarely","1986","college entrance qualification","West Germany","458","0.353387611391283","0.326877317480429","0.379897905302138"
"Rarely","1986","college entrance qualification","East Germany","","","",""
"Rarely","1986","Other degree","West Germany","299","0.262411525784467","0.237137750780713","0.28768530078822"
"Rarely","1986","Other degree","East Germany","","","",""
"Rarely","1986","no degree/no degree yet","West Germany","198","0.219513244707208","0.194198357153054","0.244828132261363"
"Rarely","1986","no degree/no degree yet","East Germany","","","",""
"Never","1986","lower secondary degree","West Germany","2555","0.556566188640758","0.54298230811895","0.570150069162566"
"Never","1986","lower secondary degree","East Germany","","","",""
"Never","1986","secondary school degree","West Germany","526","0.33639130996369","0.314767767590249","0.358014852337132"
"Never","1986","secondary school degree","East Germany","","","",""
"Never","1986","college entrance qualification","West Germany","313","0.286182995950962","0.261117157901845","0.311248834000079"
"Never","1986","college entrance qualification","East Germany","","","",""
"Never","1986","Other degree","West Germany","684","0.571189383023351","0.542758232879224","0.599620533167477"
"Never","1986","Other degree","East Germany","","","",""
"Never","1986","no degree/no degree yet","West Germany","609","0.420762063156461","0.390568827532923","0.45095529878"
"Never","1986","no degree/no degree yet","East Germany","","","",""
"Daily","1987","lower secondary degree","West Germany","","","",""
"Daily","1987","lower secondary degree","East Germany","","","",""
"Daily","1987","secondary school degree","West Germany","","","",""
"Daily","1987","secondary school degree","East Germany","","","",""
"Daily","1987","college entrance qualification","West Germany","","","",""
"Daily","1987","college entrance qualification","East Germany","","","",""
"Daily","1987","Other degree","West Germany","","","",""
"Daily","1987","Other degree","East Germany","","","",""
"Daily","1987","no degree/no degree yet","West Germany","","","",""
"Daily","1987","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1987","lower secondary degree","West Germany","","","",""
"Min 1x per week","1987","lower secondary degree","East Germany","","","",""
"Min 1x per week","1987","secondary school degree","West Germany","","","",""
"Min 1x per week","1987","secondary school degree","East Germany","","","",""
"Min 1x per week","1987","college entrance qualification","West Germany","","","",""
"Min 1x per week","1987","college entrance qualification","East Germany","","","",""
"Min 1x per week","1987","Other degree","West Germany","","","",""
"Min 1x per week","1987","Other degree","East Germany","","","",""
"Min 1x per week","1987","no degree/no degree yet","West Germany","","","",""
"Min 1x per week","1987","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1987","lower secondary degree","West Germany","","","",""
"Min 1x per month","1987","lower secondary degree","East Germany","","","",""
"Min 1x per month","1987","secondary school degree","West Germany","","","",""
"Min 1x per month","1987","secondary school degree","East Germany","","","",""
"Min 1x per month","1987","college entrance qualification","West Germany","","","",""
"Min 1x per month","1987","college entrance qualification","East Germany","","","",""
"Min 1x per month","1987","Other degree","West Germany","","","",""
"Min 1x per month","1987","Other degree","East Germany","","","",""
"Min 1x per month","1987","no degree/no degree yet","West Germany","","","",""
"Min 1x per month","1987","no degree/no degree yet","East Germany","","","",""
"Rarely","1987","lower secondary degree","West Germany","","","",""
"Rarely","1987","lower secondary degree","East Germany","","","",""
"Rarely","1987","secondary school degree","West Germany","","","",""
"Rarely","1987","secondary school degree","East Germany","","","",""
"Rarely","1987","college entrance qualification","West Germany","","","",""
"Rarely","1987","college entrance qualification","East Germany","","","",""
"Rarely","1987","Other degree","West Germany","","","",""
"Rarely","1987","Other degree","East Germany","","","",""
"Rarely","1987","no degree/no degree yet","West Germany","","","",""
"Rarely","1987","no degree/no degree yet","East Germany","","","",""
"Never","1987","lower secondary degree","West Germany","","","",""
"Never","1987","lower secondary degree","East Germany","","","",""
"Never","1987","secondary school degree","West Germany","","","",""
"Never","1987","secondary school degree","East Germany","","","",""
"Never","1987","college entrance qualification","West Germany","","","",""
"Never","1987","college entrance qualification","East Germany","","","",""
"Never","1987","Other degree","West Germany","","","",""
"Never","1987","Other degree","East Germany","","","",""
"Never","1987","no degree/no degree yet","West Germany","","","",""
"Never","1987","no degree/no degree yet","East Germany","","","",""
"Daily","1988","lower secondary degree","West Germany","","","",""
"Daily","1988","lower secondary degree","East Germany","","","",""
"Daily","1988","secondary school degree","West Germany","","","",""
"Daily","1988","secondary school degree","East Germany","","","",""
"Daily","1988","college entrance qualification","West Germany","","","",""
"Daily","1988","college entrance qualification","East Germany","","","",""
"Daily","1988","Other degree","West Germany","","","",""
"Daily","1988","Other degree","East Germany","","","",""
"Daily","1988","no degree/no degree yet","West Germany","","","",""
"Daily","1988","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1988","lower secondary degree","West Germany","335","0.0527242082561005","0.0464261989198768","0.0590222175923242"
"Min 1x per week","1988","lower secondary degree","East Germany","","","",""
"Min 1x per week","1988","secondary school degree","West Germany","228","0.109827158448202","0.095211085584811","0.124443231311594"
"Min 1x per week","1988","secondary school degree","East Germany","","","",""
"Min 1x per week","1988","college entrance qualification","West Germany","156","0.123775452751648","0.104953295398965","0.142597610104332"
"Min 1x per week","1988","college entrance qualification","East Germany","","","",""
"Min 1x per week","1988","Other degree","West Germany","39","0.0569336613415176","0.0430106570912211","0.0708566655918141"
"Min 1x per week","1988","Other degree","East Germany","","","",""
"Min 1x per week","1988","no degree/no degree yet","West Germany","80","0.176516954679742","0.151732081929712","0.201301827429772"
"Min 1x per week","1988","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1988","lower secondary degree","West Germany","605","0.102419100503122","0.0938745872624578","0.110963613743785"
"Min 1x per month","1988","lower secondary degree","East Germany","","","",""
"Min 1x per month","1988","secondary school degree","West Germany","375","0.19454324428076","0.17603914938764","0.21304733917388"
"Min 1x per month","1988","secondary school degree","East Germany","","","",""
"Min 1x per month","1988","college entrance qualification","West Germany","297","0.25268379842247","0.22784758819073","0.27752000865421"
"Min 1x per month","1988","college entrance qualification","East Germany","","","",""
"Min 1x per month","1988","Other degree","West Germany","99","0.0951604549727315","0.0775288714703774","0.112792038475086"
"Min 1x per month","1988","Other degree","East Germany","","","",""
"Min 1x per month","1988","no degree/no degree yet","West Germany","105","0.200913686607534","0.174866084037919","0.226961289177149"
"Min 1x per month","1988","no degree/no degree yet","East Germany","","","",""
"Rarely","1988","lower secondary degree","West Germany","1515","0.294542179031475","0.281696137512935","0.307388220550015"
"Rarely","1988","lower secondary degree","East Germany","","","",""
"Rarely","1988","secondary school degree","West Germany","677","0.372576572643296","0.349975617534045","0.395177527752548"
"Rarely","1988","secondary school degree","East Germany","","","",""
"Rarely","1988","college entrance qualification","West Germany","446","0.363127631608909","0.335642344235335","0.390612918982484"
"Rarely","1988","college entrance qualification","East Germany","","","",""
"Rarely","1988","Other degree","West Germany","248","0.261062821433783","0.234671961014931","0.287453681852635"
"Rarely","1988","Other degree","East Germany","","","",""
"Rarely","1988","no degree/no degree yet","West Germany","160","0.201334603503926","0.175266598514467","0.227402608493386"
"Rarely","1988","no degree/no degree yet","East Germany","","","",""
"Never","1988","lower secondary degree","West Germany","2382","0.550314512209303","0.536295417611304","0.564333606807302"
"Never","1988","lower secondary degree","East Germany","","","",""
"Never","1988","secondary school degree","West Germany","478","0.323053024627741","0.301192887220505","0.344913162034977"
"Never","1988","secondary school degree","East Germany","","","",""
"Never","1988","college entrance qualification","West Germany","277","0.260413117216973","0.235330638163525","0.285495596270421"
"Never","1988","college entrance qualification","East Germany","","","",""
"Never","1988","Other degree","West Germany","678","0.586843062251968","0.557256412586148","0.616429711917788"
"Never","1988","Other degree","East Germany","","","",""
"Never","1988","no degree/no degree yet","West Germany","564","0.421234755208797","0.389136644578929","0.453332865838666"
"Never","1988","no degree/no degree yet","East Germany","","","",""
"Daily","1989","lower secondary degree","West Germany","","","",""
"Daily","1989","lower secondary degree","East Germany","","","",""
"Daily","1989","secondary school degree","West Germany","","","",""
"Daily","1989","secondary school degree","East Germany","","","",""
"Daily","1989","college entrance qualification","West Germany","","","",""
"Daily","1989","college entrance qualification","East Germany","","","",""
"Daily","1989","Other degree","West Germany","","","",""
"Daily","1989","Other degree","East Germany","","","",""
"Daily","1989","no degree/no degree yet","West Germany","","","",""
"Daily","1989","no degree/no degree yet","East Germany","","","",""
"Min 1x per week","1989","lower secondary degree","West Germany","","","",""
"Min 1x per week","1989","lower secondary degree","East Germany","","","",""
"Min 1x per week","1989","secondary school degree","West Germany","","","",""
"Min 1x per week","1989","secondary school degree","East Germany","","","",""
"Min 1x per week","1989","college entrance qualification","West Germany","","","",""
"Min 1x per week","1989","college entrance qualification","East Germany","","","",""
"Min 1x per week","1989","Other degree","West Germany","","","",""
"Min 1x per week","1989","Other degree","East Germany","","","",""
"Min 1x per week","1989","no degree/no degree yet","West Germany","","","",""
"Min 1x per week","1989","no degree/no degree yet","East Germany","","","",""
"Min 1x per month","1989","lower secondary degree","West Germany","","","",""
"Min 1x per month","1989","lower secondary degree","East Germany","","","",""
"Min 1x per month","1989","secondary school degree","West Germany","","","",""
"Min 1x per month","1989","secondary school degree","East Germany","","","",""
