"pli0091_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","no migration background","","","","","1"
"Daily","1985","16-34 y.","direct migration background","","","","","1"
"Daily","1985","16-34 y.","indirect migration background","","","","","1"
"Daily","1985","35-65 y.","no migration background","","","","","1"
"Daily","1985","35-65 y.","direct migration background","","","","","1"
"Daily","1985","35-65 y.","indirect migration background","","","","","1"
"Daily","1985","66 and older","no migration background","","","","","1"
"Daily","1985","66 and older","direct migration background","","","","","1"
"Daily","1985","66 and older","indirect migration background","","","","","1"
"Min 1x per month","1985","16-34 y.","indirect migration background","34","0.249872098529315","0.172086149941763","0.327658047116867","3"
"Min 1x per month","1985","66 and older","direct migration background","","","","","3"
"Min 1x per month","1985","66 and older","no migration background","13","","","","3"
"Min 1x per month","1985","16-34 y.","direct migration background","202","0.21476602626833","0.190896148769492","0.238635903767167","3"
"Min 1x per month","1985","35-65 y.","indirect migration background","1","","","","3"
"Min 1x per month","1985","66 and older","indirect migration background","","","","","3"
"Min 1x per month","1985","16-34 y.","no migration background","784","0.280685846196603","0.264303778005469","0.297067914387737","3"
"Min 1x per month","1985","35-65 y.","no migration background","306","0.0733857812472035","0.0652669877369299","0.0815045747574772","3"
"Min 1x per month","1985","35-65 y.","direct migration background","129","0.0810032220188072","0.0681834114411137","0.0938230325965008","3"
"Min 1x per week","1985","66 and older","no migration background","13","","","","2"
"Min 1x per week","1985","16-34 y.","indirect migration background","38","0.283685000345648","0.202692497521917","0.36467750316938","2"
"Min 1x per week","1985","16-34 y.","no migration background","615","0.218122516277281","0.203066198495046","0.233178834059517","2"
"Min 1x per week","1985","16-34 y.","direct migration background","171","0.148312897026155","0.127654465111887","0.168971328940423","2"
"Min 1x per week","1985","35-65 y.","indirect migration background","","","","","2"
"Min 1x per week","1985","35-65 y.","direct migration background","60","0.0357329176067961","0.0270111125280044","0.0444547226855878","2"
"Min 1x per week","1985","66 and older","indirect migration background","","","","","2"
"Min 1x per week","1985","35-65 y.","no migration background","145","0.0362630158467133","0.0304426902869913","0.0420833414064353","2"
"Min 1x per week","1985","66 and older","direct migration background","","","","","2"
"Never","1985","35-65 y.","direct migration background","1158","0.60906304115357","0.586135474994042","0.631990607313098","5"
"Never","1985","16-34 y.","no migration background","376","0.122431896758152","0.110481374823121","0.134382418693182","5"
"Never","1985","16-34 y.","indirect migration background","16","","","","5"
"Never","1985","35-65 y.","no migration background","2005","0.524593158279927","0.509044959665432","0.540141356894422","5"
"Never","1985","16-34 y.","direct migration background","431","0.339995757573578","0.312461208328513","0.367530306818643","5"
"Never","1985","35-65 y.","indirect migration background","12","","","","5"
"Never","1985","66 and older","no migration background","951","0.909089372485823","0.891750264551129","0.926428480420517","5"
"Never","1985","66 and older","direct migration background","32","0.900962016111523","0.804711877120178","0.997212155102867","5"
"Never","1985","66 and older","indirect migration background","4","","","","5"
