"pli0091_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","1-pers.-HH","","","",""
"Daily","1985","Full Time","(Married) couple without C. ","","","",""
"Daily","1985","Full Time","Single parent ","","","",""
"Daily","1985","Full Time","Couple + C. LE 16 ","","","",""
"Daily","1985","Full Time","Couple + C. GT 16 ","","","",""
"Daily","1985","Full Time","Couple + C. LE and GT 16","","","",""
"Daily","1985","Part Time","1-pers.-HH","","","",""
"Daily","1985","Part Time","(Married) couple without C. ","","","",""
"Daily","1985","Part Time","Single parent ","","","",""
"Daily","1985","Part Time","Couple + C. LE 16 ","","","",""
"Daily","1985","Part Time","Couple + C. GT 16 ","","","",""
"Daily","1985","Part Time","Couple + C. LE and GT 16","","","",""
"Daily","1985","Not Working","1-pers.-HH","","","",""
"Daily","1985","Not Working","(Married) couple without C. ","","","",""
"Daily","1985","Not Working","Single parent ","","","",""
"Daily","1985","Not Working","Couple + C. LE 16 ","","","",""
"Daily","1985","Not Working","Couple + C. GT 16 ","","","",""
"Daily","1985","Not Working","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Full Time","1-pers.-HH","82","0.17742134952066","0.142548351574618","0.212294347466701"
"Min 1x per week","1985","Full Time","(Married) couple without C. ","73","0.0706559423960468","0.0549609639898156","0.0863509208022781"
"Min 1x per week","1985","Full Time","Single parent ","36","0.152188742098892","0.106263123668693","0.19811436052909"
"Min 1x per week","1985","Full Time","Couple + C. LE 16 ","72","0.0503065451257183","0.0386641394626282","0.0619489507888085"
"Min 1x per week","1985","Full Time","Couple + C. GT 16 ","150","0.164053147535434","0.140278080403667","0.1878282146672"
"Min 1x per week","1985","Full Time","Couple + C. LE and GT 16","89","0.147858893998482","0.121315942902534","0.174401845094429"
"Min 1x per week","1985","Part Time","1-pers.-HH","22","","",""
"Min 1x per week","1985","Part Time","(Married) couple without C. ","13","","",""
"Min 1x per week","1985","Part Time","Single parent ","16","","",""
"Min 1x per week","1985","Part Time","Couple + C. LE 16 ","25","","",""
"Min 1x per week","1985","Part Time","Couple + C. GT 16 ","63","0.149903750792846","0.114610463153327","0.185197038432366"
"Min 1x per week","1985","Part Time","Couple + C. LE and GT 16","50","0.229121669957949","0.178135329795396","0.280108010120502"
"Min 1x per week","1985","Not Working","1-pers.-HH","17","","",""
"Min 1x per week","1985","Not Working","(Married) couple without C. ","23","","",""
"Min 1x per week","1985","Not Working","Single parent ","23","","",""
"Min 1x per week","1985","Not Working","Couple + C. LE 16 ","22","","",""
"Min 1x per week","1985","Not Working","Couple + C. GT 16 ","111","0.160136801523505","0.132733447420988","0.187540155626021"
"Min 1x per week","1985","Not Working","Couple + C. LE and GT 16","83","0.178602998072315","0.145932778086039","0.21127321805859"
"Min 1x per month","1985","Full Time","1-pers.-HH","104","0.240081987062672","0.20109130913363","0.279072664991713"
"Min 1x per month","1985","Full Time","(Married) couple without C. ","177","0.160284613866606","0.137814250998803","0.182754976734409"
"Min 1x per month","1985","Full Time","Single parent ","46","0.203886148788969","0.152375667090051","0.255396630487887"
"Min 1x per month","1985","Full Time","Couple + C. LE 16 ","158","0.115871286457405","0.0988228552760981","0.132919717638712"
