"pli0091_h","year","n","percent","lower_confidence","upper_confidence","value"
"Daily","2017","6","","","","1"
"Min 1x per month","2017","6279","0.218000141078103","0.213491517193404","0.222508764962803","3"
"Min 1x per week","2017","1236","0.0428137559444023","0.0406031966347811","0.0450243152540235","2"
"Never","2017","10846","0.287348225047793","0.282406765690529","0.292289684405056","5"
"Rarely","2017","13849","0.451819387450767","0.446384925531844","0.45725384936969","4"
"Daily","2018","12","","","","1"
"Min 1x per month","2018","359","0.134078995853439","0.123300490383717","0.14485750132316","3"
"Min 1x per week","2018","79","0.0276457668516865","0.0224593716100924","0.0328321620932806","2"
"Never","2018","2636","0.62037991939912","0.605028713755775","0.635731125042465","5"
"Rarely","2018","753","0.21557008300405","0.202562088230239","0.228578077777862","4"
"Daily","2019","19","","","","1"
"Min 1x per month","2019","5800","0.20852615741423","0.203882284081477","0.213170030746982","3"
"Min 1x per week","2019","589","0.0198575911143942","0.0182628518609965","0.0214523303677919","2"
"Never","2019","9864","0.320518423822694","0.315183881637299","0.32585296600809","5"
"Rarely","2019","13127","0.450375093376318","0.444687844980096","0.456062341772541","4"
