"pli0091_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","","","",""
"Daily","1985","35-65 y.","","","",""
"Daily","1985","66 and older","","","",""
"Min 1x per week","1985","16-34 y.","824","0.211883549078488","0.199444784220156","0.224322313936821"
"Min 1x per week","1985","35-65 y.","205","0.0361136588697171","0.0312790563298178","0.0409482614096164"
"Min 1x per week","1985","66 and older","13","","",""
"Min 1x per month","1985","16-34 y.","1020","0.273838945811825","0.260265268335527","0.287412623288123"
"Min 1x per month","1985","35-65 y.","436","0.0743446672825185","0.067546972168859","0.0811423623961781"
"Min 1x per month","1985","66 and older","13","","",""
"Rarely","1985","16-34 y.","1479","0.369937636178265","0.355241963512599","0.38463330884393"
"Rarely","1985","35-65 y.","1905","0.355084823374892","0.342684601070381","0.367485045679403"
"Rarely","1985","66 and older","85","0.0694843086894175","0.0544441595772851","0.0845244578015499"
"Never","1985","16-34 y.","823","0.144339868931422","0.133642493354343","0.1550372445085"
"Never","1985","35-65 y.","3175","0.534456850472872","0.52153131894401","0.547382382001734"
"Never","1985","66 and older","987","0.909235355554482","0.892243397247857","0.926227313861108"
"Daily","1986","16-34 y.","","","",""
"Daily","1986","35-65 y.","","","",""
"Daily","1986","66 and older","","","",""
"Min 1x per week","1986","16-34 y.","773","0.202324588768038","0.190009711638129","0.214639465897947"
"Min 1x per week","1986","35-65 y.","188","0.0365154146108077","0.0315305993810515","0.0415002298405638"
"Min 1x per week","1986","66 and older","9","","",""
"Min 1x per month","1986","16-34 y.","1110","0.295306495918079","0.281322564618041","0.309290427218116"
"Min 1x per month","1986","35-65 y.","399","0.0739311185421401","0.0669772921250692","0.0808849449592111"
"Min 1x per month","1986","66 and older","16","","",""
"Rarely","1986","16-34 y.","1405","0.352944557629759","0.338295265506442","0.367593849753075"
"Rarely","1986","35-65 y.","1838","0.359126314154501","0.346376660253647","0.371875968055355"
"Rarely","1986","66 and older","78","0.0720238198627533","0.0562431567648802","0.0878044829606265"
"Never","1986","16-34 y.","800","0.149424357684125","0.138495876290867","0.160352839077384"
"Never","1986","35-65 y.","3014","0.530427152692551","0.517163812057216","0.543690493327887"
"Never","1986","66 and older","928","0.90579801637098","0.887967477646289","0.923628555095671"
"Daily","1987","16-34 y.","","","",""
"Daily","1987","35-65 y.","","","",""
"Daily","1987","66 and older","","","",""
"Min 1x per week","1987","16-34 y.","","","",""
"Min 1x per week","1987","35-65 y.","","","",""
"Min 1x per week","1987","66 and older","","","",""
"Min 1x per month","1987","16-34 y.","","","",""
"Min 1x per month","1987","35-65 y.","","","",""
"Min 1x per month","1987","66 and older","","","",""
"Rarely","1987","16-34 y.","","","",""
"Rarely","1987","35-65 y.","","","",""
"Rarely","1987","66 and older","","","",""
"Never","1987","16-34 y.","","","",""
"Never","1987","35-65 y.","","","",""
"Never","1987","66 and older","","","",""
"Daily","1988","16-34 y.","","","",""
"Daily","1988","35-65 y.","","","",""
"Daily","1988","66 and older","","","",""
"Min 1x per week","1988","16-34 y.","699","0.188226030014411","0.175864183721606","0.200587876307216"
"Min 1x per week","1988","35-65 y.","155","0.0331219988166351","0.0281882778874238","0.0380557197458464"
"Min 1x per week","1988","66 and older","11","","",""
"Min 1x per month","1988","16-34 y.","1092","0.309121602086698","0.294506851033809","0.323736353139587"
"Min 1x per month","1988","35-65 y.","420","0.0894241611342027","0.0815570375787733","0.0972912846896321"
"Min 1x per month","1988","66 and older","14","","",""
"Rarely","1988","16-34 y.","1287","0.360056071476663","0.344875715063886","0.37523642788944"
"Rarely","1988","35-65 y.","1704","0.369318364445502","0.356012716856143","0.382624012034861"
"Rarely","1988","66 and older","102","0.096575086756051","0.078605917514358","0.114544255997744"
