"pli0091_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1985","Not Working","higher education","10","","","","3"
"Min 1x per month","1985","Full Time","in school","","","","","3"
"Min 1x per week","1985","Not Working","higher education","13","","","","2"
"Min 1x per week","1985","Not Working","higher vocational","4","","","","2"
"Min 1x per week","1985","Full Time","in school","","","","","2"
"Min 1x per week","1985","Part Time","higher education","24","","","","2"
"Min 1x per week","1985","Not Working","general elemantary","103","0.0505432171757666","0.0395195944257612","0.061566839925772","2"
"Min 1x per week","1985","Full Time","inadequately","16","","","","2"
"Min 1x per week","1985","Full Time","general elemantary","128","0.147730589207505","0.125694116119237","0.169767062295774","2"
"Min 1x per week","1985","Full Time","middle vocational","303","0.114742768267555","0.102367751886153","0.127117784648958","2"
"Min 1x per week","1985","Full Time","vocational + Abi","14","","","","2"
"Min 1x per week","1985","Part Time","in school","3","","","","2"
"Min 1x per week","1985","Part Time","inadequately","3","","","","2"
"Min 1x per week","1985","Part Time","general elemantary","74","0.137190348311972","0.10798221762097","0.166398479002973","2"
"Min 1x per week","1985","Part Time","middle vocational","87","0.0930890994293647","0.0740534236691708","0.112124775189559","2"
"Min 1x per week","1985","Part Time","vocational + Abi","8","","","","2"
"Min 1x per week","1985","Part Time","higher vocational","8","","","","2"
"Min 1x per week","1985","Not Working","in school","62","0.335078109397912","0.265930062281806","0.404226156514018","2"
"Min 1x per week","1985","Not Working","inadequately","10","","","","2"
"Min 1x per week","1985","Not Working","middle vocational","104","0.0481622937898298","0.0379933510748055","0.058331236504854","2"
"Min 1x per week","1985","Not Working","vocational + Abi","4","","","","2"
"Min 1x per week","1985","Full Time","higher vocational","32","0.0960157135099126","0.064791850311843","0.127239576707982","2"
"Min 1x per week","1985","Full Time","higher education","32","0.0715148620508652","0.047915460886193","0.0951142632155374","2"
"Never","1985","Not Working","higher vocational","111","0.705362840068307","0.636013218581061","0.774712461555553","5"
"Never","1985","Not Working","higher education","74","0.606979343471546","0.528555233074065","0.685403453869028","5"
"Never","1985","Full Time","in school","","","","","5"
