"pli0091_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Rarely","1985","(1b) general elementary school","Female","394","0.189091130025086","0.17067090909958","0.207511350950591"
"Rarely","1985","(1c) basic vocational qualification","Male","778","0.340632307709994","0.321006351200228","0.360258264219759"
"Rarely","1985","(1c) basic vocational qualification","Female","584","0.338779866652137","0.315263234526526","0.362296498777749"
"Rarely","1985","(2b) intermediate general qualification","Male","44","0.265299669750562","0.200623387486471","0.329975952014652"
"Rarely","1985","(2b) intermediate general qualification","Female","78","0.258378186168728","0.208083654684652","0.308672717652803"
"Rarely","1985","(2a) intermediate vocational","Male","233","0.391467864349907","0.351539459358577","0.431396269341237"
"Rarely","1985","(2a) intermediate vocational","Female","317","0.388554835807948","0.353855720293818","0.423253951322078"
"Rarely","1985","(2c_gen) general maturity certificate","Male","59","0.268948956983939","0.209678586244251","0.328219327723627"
"Rarely","1985","(2c_gen) general maturity certificate","Female","48","0.269694957212413","0.201354300702128","0.338035613722697"
"Rarely","1985","(2c_voc) vocational maturity certificate","Male","79","0.303534348103172","0.246078490625352","0.360990205580993"
"Rarely","1985","(2c_voc) vocational maturity certificate","Female","53","0.317171879405338","0.244607650535906","0.38973610827477"
"Rarely","1985","(3a) lower tertiary education","Male","64","0.328226371497391","0.258655526542077","0.397797216452705"
"Rarely","1985","(3a) lower tertiary education","Female","35","0.46088644906742","0.34411513574334","0.5776577623915"
"Rarely","1985","(3b) higher tertiary education","Male","135","0.402975591458752","0.350134776345514","0.45581640657199"
"Rarely","1985","(3b) higher tertiary education","Female","85","0.453501175695045","0.379530890776696","0.527471460613393"
"Never","1985","(0) in school","Male","7","","",""
"Never","1985","(0) in school","Female","6","","",""
"Never","1985","(1a) inadequately completed","Male","245","0.55610816270036","0.507111358126605","0.605104967274115"
"Never","1985","(1a) inadequately completed","Female","404","0.726326673102841","0.687632529827863","0.76502081637782"
"Never","1985","(1b) general elementary school","Male","400","0.465267058797222","0.432084654501246","0.498449463093197"
"Never","1985","(1b) general elementary school","Female","1155","0.718760939579165","0.69761128476303","0.739910594395301"
"Never","1985","(1c) basic vocational qualification","Male","971","0.464488757724768","0.443835147266108","0.485142368183428"
