"pli0091_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","(0) in school","","","",""
"Daily","1985","16-34 y.","(1a) inadequately completed","","","",""
"Daily","1985","16-34 y.","(1b) general elementary school","","","",""
"Daily","1985","16-34 y.","(1c) basic vocational qualification","","","",""
"Daily","1985","16-34 y.","(2b) intermediate general qualification","","","",""
"Daily","1985","16-34 y.","(2a) intermediate vocational","","","",""
"Daily","1985","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1985","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","16-34 y.","(3a) lower tertiary education","","","",""
"Daily","1985","16-34 y.","(3b) higher tertiary education","","","",""
"Daily","1985","35-65 y.","(0) in school","","","",""
"Daily","1985","35-65 y.","(1a) inadequately completed","","","",""
"Daily","1985","35-65 y.","(1b) general elementary school","","","",""
"Daily","1985","35-65 y.","(1c) basic vocational qualification","","","",""
"Daily","1985","35-65 y.","(2b) intermediate general qualification","","","",""
"Daily","1985","35-65 y.","(2a) intermediate vocational","","","",""
"Daily","1985","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Daily","1985","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","35-65 y.","(3a) lower tertiary education","","","",""
"Daily","1985","35-65 y.","(3b) higher tertiary education","","","",""
"Daily","1985","66 and older","(0) in school","","","",""
"Daily","1985","66 and older","(1a) inadequately completed","","","",""
"Daily","1985","66 and older","(1b) general elementary school","","","",""
"Daily","1985","66 and older","(1c) basic vocational qualification","","","",""
"Daily","1985","66 and older","(2b) intermediate general qualification","","","",""
"Daily","1985","66 and older","(2a) intermediate vocational","","","",""
"Daily","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Daily","1985","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","66 and older","(3a) lower tertiary education","","","",""
"Daily","1985","66 and older","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","16-34 y.","(0) in school","65","0.338779649548804","0.270761724091671","0.406797575005936"
"Min 1x per week","1985","16-34 y.","(1a) inadequately completed","20","","",""
"Min 1x per week","1985","16-34 y.","(1b) general elementary school","140","0.203084330569344","0.175049093024226","0.231119568114462"
"Min 1x per week","1985","16-34 y.","(1c) basic vocational qualification","174","0.142645161447941","0.122155165534425","0.163135157361457"
"Min 1x per week","1985","16-34 y.","(2b) intermediate general qualification","127","0.329809287629068","0.281709218323224","0.377909356934913"
"Min 1x per week","1985","16-34 y.","(2a) intermediate vocational","116","0.207004961859292","0.174666821056584","0.239343102662"
"Min 1x per week","1985","16-34 y.","(2c_gen) general maturity certificate","93","0.296892372150526","0.246833215762039","0.346951528539013"
"Min 1x per week","1985","16-34 y.","(2c_voc) vocational maturity certificate","35","0.202984945331197","0.146960099154536","0.259009791507858"
"Min 1x per week","1985","16-34 y.","(3a) lower tertiary education","8","","",""
"Min 1x per week","1985","16-34 y.","(3b) higher tertiary education","35","0.200102551237473","0.140485772228121","0.259719330246825"
"Min 1x per week","1985","35-65 y.","(0) in school","","","",""
"Min 1x per week","1985","35-65 y.","(1a) inadequately completed","11","","",""
"Min 1x per week","1985","35-65 y.","(1b) general elementary school","38","0.0235412440938858","0.0156554474018701","0.0314270407859015"
"Min 1x per week","1985","35-65 y.","(1c) basic vocational qualification","89","0.0375503452138524","0.0297004569917662","0.0454002334359387"
"Min 1x per week","1985","35-65 y.","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1985","35-65 y.","(2a) intermediate vocational","31","0.0518116259053477","0.0339571066404883","0.0696661451702072"
"Min 1x per week","1985","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Min 1x per week","1985","35-65 y.","(2c_voc) vocational maturity certificate","6","","",""
"Min 1x per week","1985","35-65 y.","(3a) lower tertiary education","8","","",""
"Min 1x per week","1985","35-65 y.","(3b) higher tertiary education","16","","",""
"Min 1x per week","1985","66 and older","(0) in school","","","",""
"Min 1x per week","1985","66 and older","(1a) inadequately completed","","","",""
"Min 1x per week","1985","66 and older","(1b) general elementary school","2","","",""
"Min 1x per week","1985","66 and older","(1c) basic vocational qualification","7","","",""
"Min 1x per week","1985","66 and older","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","66 and older","(2a) intermediate vocational","1","","",""
"Min 1x per week","1985","66 and older","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1985","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","66 and older","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","66 and older","(3b) higher tertiary education","2","","",""
"Min 1x per month","1985","16-34 y.","(0) in school","65","0.388907490452435","0.318847793723506","0.458967187181364"
"Min 1x per month","1985","16-34 y.","(1a) inadequately completed","24","","",""
"Min 1x per month","1985","16-34 y.","(1b) general elementary school","155","0.219935218895431","0.191070151593113","0.248800286197748"
"Min 1x per month","1985","16-34 y.","(1c) basic vocational qualification","244","0.22981652981195","0.205166311166102","0.254466748457798"
"Min 1x per month","1985","16-34 y.","(2b) intermediate general qualification","126","0.360112114097638","0.311000312187567","0.409223916007709"
"Min 1x per month","1985","16-34 y.","(2a) intermediate vocational","161","0.271775954260666","0.236267852391185","0.307284056130147"
"Min 1x per month","1985","16-34 y.","(2c_gen) general maturity certificate","107","0.369210953967892","0.316335700522945","0.422086207412839"
"Min 1x per month","1985","16-34 y.","(2c_voc) vocational maturity certificate","57","0.3114817527438","0.246977324797384","0.375986180690215"
"Min 1x per month","1985","16-34 y.","(3a) lower tertiary education","15","","",""
"Min 1x per month","1985","16-34 y.","(3b) higher tertiary education","48","0.305229714682262","0.236608395500123","0.3738510338644"
"Min 1x per month","1985","35-65 y.","(0) in school","","","",""
"Min 1x per month","1985","35-65 y.","(1a) inadequately completed","36","0.061189357595846","0.0426494516795501","0.079729263512142"
"Min 1x per month","1985","35-65 y.","(1b) general elementary school","81","0.0534047190038892","0.0417103739629904","0.0650990640447879"
"Min 1x per month","1985","35-65 y.","(1c) basic vocational qualification","163","0.0698411288428583","0.059316623656","0.0803656340297167"
"Min 1x per month","1985","35-65 y.","(2b) intermediate general qualification","6","","",""
"Min 1x per month","1985","35-65 y.","(2a) intermediate vocational","53","0.082358255506406","0.0602131686472841","0.104503342365528"
"Min 1x per month","1985","35-65 y.","(2c_gen) general maturity certificate","5","","",""
"Min 1x per month","1985","35-65 y.","(2c_voc) vocational maturity certificate","23","","",""
"Min 1x per month","1985","35-65 y.","(3a) lower tertiary education","22","","",""
