"pli0091_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Urban Area","Male","","","",""
"Daily","1985","Urban Area","Female","","","",""
"Daily","1985","Rural Area","Male","","","",""
"Daily","1985","Rural Area","Female","","","",""
"Min 1x per week","1985","Urban Area","Male","529","0.116963454060641","0.107342094629911","0.126584813491372"
"Min 1x per week","1985","Urban Area","Female","271","0.0598656449775843","0.0528709322171089","0.0668603577380597"
"Min 1x per week","1985","Rural Area","Male","149","0.127773220189816","0.10812528366857","0.147421156711061"
"Min 1x per week","1985","Rural Area","Female","93","0.0814294090366392","0.065629399862036","0.0972294182112424"
"Min 1x per month","1985","Urban Area","Male","694","0.161043139354657","0.150038826305802","0.172047452403512"
"Min 1x per month","1985","Urban Area","Female","518","0.117937861390867","0.108428260183038","0.127447462598696"
"Min 1x per month","1985","Rural Area","Male","157","0.132398561482797","0.112451263156682","0.152345859808912"
"Min 1x per month","1985","Rural Area","Female","100","0.0788115182351146","0.0632454286453941","0.0943776078248352"
"Rarely","1985","Urban Area","Male","1383","0.334650901023348","0.320524133653973","0.348777668392722"
"Rarely","1985","Urban Area","Female","1336","0.287446676553347","0.274103064065759","0.300790289040936"
"Rarely","1985","Rural Area","Male","376","0.323483851514597","0.295951221136442","0.351016481892753"
"Rarely","1985","Rural Area","Female","374","0.301022119118925","0.274522395164652","0.327521843073197"
"Never","1985","Urban Area","Male","1680","0.387342505561355","0.372758444914036","0.401926566208673"
"Never","1985","Urban Area","Female","2294","0.534749817078201","0.520043474148056","0.549456160008347"
"Never","1985","Rural Area","Male","427","0.41634436681279","0.38733174311063","0.44535699051495"
"Never","1985","Rural Area","Female","584","0.538736953609321","0.509938236367729","0.567535670850913"
"Daily","1986","Urban Area","Male","","","",""
"Daily","1986","Urban Area","Female","","","",""
"Daily","1986","Rural Area","Male","","","",""
"Daily","1986","Rural Area","Female","","","",""
"Min 1x per week","1986","Urban Area","Male","499","0.111699597568439","0.102133246343186","0.121265948793692"
