"pli0091_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","West Germany","","","",""
"Daily","1985","Schleswig-Holstein","East Germany","","","",""
"Daily","1985","Hamburg","West Germany","","","",""
"Daily","1985","Hamburg","East Germany","","","",""
"Daily","1985","Lower Saxony","West Germany","","","",""
"Daily","1985","Lower Saxony","East Germany","","","",""
"Daily","1985","Bremen","West Germany","","","",""
"Daily","1985","Bremen","East Germany","","","",""
"Daily","1985","North Rhine-Westphalia","West Germany","","","",""
"Daily","1985","North Rhine-Westphalia","East Germany","","","",""
"Daily","1985","Hesse","West Germany","","","",""
"Daily","1985","Hesse","East Germany","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Daily","1985","Baden-Württemberg","West Germany","","","",""
"Daily","1985","Baden-Württemberg","East Germany","","","",""
"Daily","1985","Bavaria","West Germany","","","",""
"Daily","1985","Bavaria","East Germany","","","",""
"Daily","1985","Berlin","West Germany","","","",""
"Daily","1985","Berlin","East Germany","","","",""
"Daily","1985","Brandenburg","West Germany","","","",""
"Daily","1985","Brandenburg","East Germany","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Daily","1985","Saxony","West Germany","","","",""
"Daily","1985","Saxony","East Germany","","","",""
"Daily","1985","Saxony-Anhalt","West Germany","","","",""
"Daily","1985","Saxony-Anhalt","East Germany","","","",""
"Daily","1985","Thuringia","West Germany","","","",""
"Daily","1985","Thuringia","East Germany","","","",""
"Min 1x per week","1985","Schleswig-Holstein","West Germany","40","0.109352700721513","0.0767042808376364","0.14200112060539"
"Min 1x per week","1985","Schleswig-Holstein","East Germany","","","",""
"Min 1x per week","1985","Hamburg","West Germany","23","","",""
"Min 1x per week","1985","Hamburg","East Germany","","","",""
"Min 1x per week","1985","Lower Saxony","West Germany","113","0.100398029070252","0.0825732332184398","0.118222824922064"
"Min 1x per week","1985","Lower Saxony","East Germany","","","",""
"Min 1x per week","1985","Bremen","West Germany","5","","",""
"Min 1x per week","1985","Bremen","East Germany","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","West Germany","239","0.0774297737977165","0.0677752045745752","0.0870843430208577"
"Min 1x per week","1985","North Rhine-Westphalia","East Germany","","","",""
"Min 1x per week","1985","Hesse","West Germany","127","0.116911857409005","0.0980855842994075","0.135738130518602"
"Min 1x per week","1985","Hesse","East Germany","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","West Germany","62","0.0761412651079468","0.0572850673722076","0.0949974628436859"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Min 1x per week","1985","Baden-Württemberg","West Germany","198","0.0815793079112956","0.0697071118418514","0.0934515039807397"
"Min 1x per week","1985","Baden-Württemberg","East Germany","","","",""
"Min 1x per week","1985","Bavaria","West Germany","198","0.102248260956225","0.0886215293743892","0.115874992538062"
"Min 1x per week","1985","Bavaria","East Germany","","","",""
"Min 1x per week","1985","Berlin","West Germany","37","0.105622203033525","0.0741770889760929","0.137067317090958"
"Min 1x per week","1985","Berlin","East Germany","","","",""
"Min 1x per week","1985","Brandenburg","West Germany","","","",""
"Min 1x per week","1985","Brandenburg","East Germany","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","West Germany","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","East Germany","","","",""
"Min 1x per week","1985","Saxony","West Germany","","","",""
"Min 1x per week","1985","Saxony","East Germany","","","",""
