"pli0091_h","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1995","Female","931","0.123174771114404","0.115416001483375","0.130933540745433","3"
"Min 1x per week","1995","Female","400","0.0475178868304622","0.0424952424424967","0.0525405312184278","2"
"Min 1x per week","1995","Male","533","0.0743119263274082","0.0678912515837815","0.080732601071035","2"
"Never","1995","Male","2576","0.428244534607601","0.416131020396326","0.440358048818876","5"
"Never","1995","Female","3174","0.502681500133959","0.490877227939271","0.514485772328646","5"
"Rarely","1995","Female","2385","0.326246707395375","0.315177947276113","0.337315467514638","4"
"Rarely","1995","Male","2298","0.34652815453673","0.334878802231982","0.358177506841478","4"
"Daily","1996","Male","","","","","1"
"Daily","1996","Female","","","","","1"
"Min 1x per month","1996","Male","1231","0.195041192198939","0.185249939747767","0.204832444650112","3"
"Min 1x per month","1996","Female","1110","0.144532011114303","0.136154135517332","0.152909886711273","3"
"Min 1x per week","1996","Female","449","0.0595654010077088","0.0539262809998654","0.0652045210155521","2"
"Min 1x per week","1996","Male","696","0.108004608194534","0.100334690621815","0.115674525767254","2"
"Never","1996","Male","1810","0.300856571221706","0.289523408111517","0.312189734331894","5"
"Never","1996","Female","2552","0.423109626284785","0.411338362230373","0.434880890339196","5"
"Rarely","1996","Female","2656","0.372792961593204","0.361271984410273","0.384313938776136","4"
"Rarely","1996","Male","2554","0.396097628384821","0.384011902577425","0.408183354192217","4"
"Daily","1997","Male","","","","","1"
"Daily","1997","Female","","","","","1"
"Min 1x per month","1997","Male","1147","0.176953220074627","0.167455405094627","0.186451035054626","3"
"Min 1x per month","1997","Female","1076","0.151176353925628","0.142542603353868","0.159810104497389","3"
"Min 1x per week","1997","Female","413","0.0547062380416729","0.0492253535301018","0.0601871225532441","2"
"Min 1x per week","1997","Male","672","0.100877043110525","0.0933817620089133","0.108372324212136","2"
"Never","1997","Female","2567","0.4261529861325","0.414234264940805","0.438071707324195","5"
"Never","1997","Male","1876","0.327135765911441","0.315459339508259","0.338812192314623","5"
"Rarely","1997","Male","2507","0.395033970903408","0.382867491468938","0.407200450337878","4"
"Rarely","1997","Female","2557","0.367964421900199","0.356341307636363","0.379587536164034","4"
"Daily","1998","Male","4","","","","1"
"Daily","1998","Female","4","","","","1"
"Min 1x per month","1998","Male","1243","0.180112785446216","0.171044935040268","0.189180635852165","3"
"Min 1x per month","1998","Female","1200","0.15038418471874","0.142217400771917","0.158550968665563","3"
"Min 1x per week","1998","Female","352","0.0418070843299563","0.0372342011430138","0.0463799675168989","2"
"Min 1x per week","1998","Male","466","0.0565448758779959","0.0510946780053967","0.0619950737505951","2"
"Never","1998","Female","3012","0.448635051799004","0.437271741472792","0.459998362125217","5"
"Never","1998","Male","2472","0.37688291216262","0.365447730386666","0.388318093938573","5"
"Rarely","1998","Male","2714","0.385685497688234","0.374199544100006","0.397171451276463","4"
"Rarely","1998","Female","2791","0.358856852879559","0.347897704325515","0.369816001433604","4"
"Daily","1999","Male","","","","","1"
"Daily","1999","Female","","","","","1"
"Min 1x per month","1999","Male","1336","0.199367635818764","0.189739107855467","0.20899616378206","3"
"Min 1x per month","1999","Female","1168","0.144008723024507","0.135825267214932","0.152192178834083","3"
"Min 1x per week","1999","Female","447","0.0551692240996387","0.0498477356238966","0.0604907125753808","2"
"Min 1x per week","1999","Male","653","0.0891874658332218","0.0823186415412768","0.0960562901251668","2"
"Never","1999","Female","2468","0.400727751147021","0.389305690404907","0.412149811889134","5"
"Never","1999","Male","1791","0.293111298951755","0.282141269444619","0.304081328458891","5"
"Rarely","1999","Male","2834","0.41833359939626","0.406445447147788","0.430221751644731","4"
"Rarely","1999","Female","2988","0.400094301728834","0.388675241884012","0.411513361573655","4"
"Daily","2000","Male","","","","","1"
"Daily","2000","Female","","","","","1"
"Min 1x per month","2000","Female","","","","","3"
"Min 1x per month","2000","Male","","","","","3"
"Min 1x per week","2000","Male","","","","","2"
"Min 1x per week","2000","Female","","","","","2"
"Never","2000","Female","","","","","5"
"Never","2000","Male","","","","","5"
"Rarely","2000","Male","","","","","4"
"Rarely","2000","Female","","","","","4"
"Daily","2001","Male","","","","","1"
"Daily","2001","Female","","","","","1"
"Min 1x per month","2001","Female","1933","0.153526822353941","0.146905539180645","0.160148105527236","3"
"Min 1x per month","2001","Male","2041","0.196101885768931","0.188512158873612","0.20369161266425","3"
"Min 1x per week","2001","Male","984","0.087774456733647","0.0823654197825732","0.0931834936847208","2"
"Min 1x per week","2001","Female","705","0.0573498137948322","0.0530792548995446","0.0616203726901198","2"
"Never","2001","Female","4211","0.414679437092219","0.405630520781212","0.423728353403226","5"
"Never","2001","Male","3282","0.324296631925835","0.315348466182521","0.333244797669148","5"
"Rarely","2001","Male","4206","0.391827025571587","0.382495653398971","0.401158397744204","4"
"Rarely","2001","Female","4538","0.374443926759008","0.365554577933702","0.383333275584315","4"
"Daily","2002","Female","","","","","1"
"Daily","2002","Male","","","","","1"
"Min 1x per month","2002","Female","","","","","3"
"Min 1x per month","2002","Male","","","","","3"
"Min 1x per week","2002","Female","","","","","2"
"Min 1x per week","2002","Male","","","","","2"
"Never","2002","Female","","","","","5"
"Never","2002","Male","","","","","5"
"Rarely","2002","Female","","","","","4"
"Rarely","2002","Male","","","","","4"
"Daily","2003","Female","4","","","","1"
"Daily","2003","Male","2","","","","1"
"Min 1x per month","2003","Female","2023","0.155564160295051","0.14894249233883","0.162185828251272","3"
"Min 1x per month","2003","Male","1919","0.176266341235791","0.169044026527248","0.183488655944335","3"
"Min 1x per week","2003","Male","586","0.0508015740490733","0.0466394463890638","0.0549637017090828","2"
"Min 1x per week","2003","Female","508","0.0367769308891881","0.0333383402585829","0.0402155215197934","2"
"Never","2003","Male","3742","0.38082532124889","0.371621507747159","0.390029134750622","5"
"Never","2003","Female","4396","0.442590103221532","0.433515712336095","0.451664494106969","5"
"Rarely","2003","Male","4444","0.39207197501912","0.382818448156532","0.401325501881708","4"
"Rarely","2003","Female","4578","0.364514329751271","0.355721281021953","0.37330737848059","4"
"Daily","2004","Female","","","","","1"
"Daily","2004","Male","","","","","1"
"Min 1x per month","2004","Female","","","","","3"
"Min 1x per month","2004","Male","","","","","3"
"Min 1x per week","2004","Male","","","","","2"
"Min 1x per week","2004","Female","","","","","2"
"Never","2004","Male","","","","","5"
"Never","2004","Female","","","","","5"
"Rarely","2004","Male","","","","","4"
"Rarely","2004","Female","","","","","4"
"Daily","2005","Female","","","","","1"
"Daily","2005","Male","","","","","1"
"Min 1x per month","2005","Male","1918","0.195518399511247","0.187705642748408","0.203331156274087","3"
"Min 1x per month","2005","Female","1920","0.160417894007416","0.153498411724957","0.167337376289875","3"
"Min 1x per week","2005","Male","786","0.0782211610572094","0.0729314990258206","0.0835108230885983","2"
"Min 1x per week","2005","Female","572","0.045299991220251","0.0413789795797075","0.0492210028607945","2"
"Never","2005","Male","2795","0.297432615226746","0.288427470103762","0.30643776034973","5"
"Never","2005","Female","3587","0.380801363146118","0.371645909832249","0.389956816459988","5"
"Rarely","2005","Female","4727","0.413480751626214","0.404195698507621","0.422765804744808","4"
"Rarely","2005","Male","4400","0.428827824204797","0.419078434540943","0.438577213868651","4"
"Daily","2006","Female","","","","","1"
"Daily","2006","Male","","","","","1"
"Min 1x per month","2006","Male","","","","","3"
"Min 1x per month","2006","Female","","","","","3"
"Min 1x per week","2006","Male","","","","","2"
"Min 1x per week","2006","Female","","","","","2"
"Never","2006","Male","","","","","5"
"Never","2006","Female","","","","","5"
"Rarely","2006","Female","","","","","4"
"Rarely","2006","Male","","","","","4"
"Daily","2007","Female","","","","","1"
"Daily","2007","Male","","","","","1"
"Min 1x per month","2007","Male","1853","0.185948231871185","0.178231884512734","0.193664579229637","3"
"Min 1x per month","2007","Female","1826","0.15672654716534","0.149853651370876","0.163599442959805","3"
"Min 1x per week","2007","Male","693","0.07408675909862","0.0688922420382101","0.0792812761590298","2"
"Min 1x per week","2007","Female","519","0.042231502262856","0.038429321137693","0.046033683388019","2"
"Never","2007","Male","2828","0.297993737861292","0.288922557688586","0.307064918033998","5"
"Never","2007","Female","3603","0.372737284525527","0.363595932837634","0.38187863621342","5"
"Rarely","2007","Female","4800","0.428304666046277","0.418949683344003","0.437659648748551","4"
"Rarely","2007","Male","4392","0.441971271168902","0.432121751986323","0.451820790351482","4"
"Daily","2008","Male","3","","","","1"
"Daily","2008","Female","5","","","","1"
"Min 1x per month","2008","Male","1481","0.172235791674116","0.164532332366019","0.179939250982212","3"
"Min 1x per month","2008","Female","1616","0.147126290912226","0.140231231126921","0.15402135069753","3"
"Min 1x per week","2008","Female","307","0.0296486120650003","0.026347067004754","0.0329501571252466","2"
"Min 1x per week","2008","Male","336","0.0402553472618473","0.0362451992051181","0.0442654953185765","2"
"Never","2008","Male","3398","0.363795119012417","0.353979951853432","0.373610286171402","5"
"Never","2008","Female","3934","0.418965549022895","0.409361803853287","0.428569294192503","5"
"Rarely","2008","Female","4277","0.403931918660404","0.394380837203445","0.413483000117364","4"
"Rarely","2008","Male","4011","0.423415133091401","0.413334551808972","0.43349571437383","4"
"Daily","2009","Male","","","","","1"
"Daily","2009","Female","","","","","1"
"Min 1x per month","2009","Male","1625","0.199627479428778","0.191186323872582","0.208068634984974","3"
"Min 1x per month","2009","Female","1564","0.160539328442094","0.153128354751867","0.167950302132322","3"
"Min 1x per week","2009","Female","416","0.0437278173106994","0.0395996809490249","0.047855953672374","2"
"Min 1x per week","2009","Male","567","0.0689575871233903","0.0636067538575871","0.0743084203891936","2"
"Never","2009","Male","2345","0.265275653539446","0.255952634535142","0.274598672543749","5"
"Never","2009","Female","3014","0.345439689029306","0.33584026171433","0.355039116344281","5"
"Rarely","2009","Female","4432","0.450293165217901","0.440249375321329","0.460336955114473","4"
"Rarely","2009","Male","4077","0.466139279908386","0.455604693451246","0.476673866365526","4"
"Daily","2010","Male","","","","","1"
"Daily","2010","Female","","","","","1"
"Min 1x per month","2010","Male","","","","","3"
"Min 1x per month","2010","Female","","","","","3"
"Min 1x per week","2010","Female","","","","","2"
"Min 1x per week","2010","Male","","","","","2"
"Never","2010","Female","","","","","5"
"Never","2010","Male","","","","","5"
"Rarely","2010","Male","","","","","4"
"Rarely","2010","Female","","","","","4"
"Daily","2011","Male","","","","","1"
"Daily","2011","Female","","","","","1"
"Min 1x per month","2011","Male","2298","0.198252170292175","0.191359718949378","0.205144621634971","3"
"Min 1x per month","2011","Female","2584","0.172069164650587","0.166135605840023","0.178002723461151","3"
"Min 1x per week","2011","Female","621","0.0454672248381909","0.0421922245439206","0.0487422251324613","2"
"Min 1x per week","2011","Male","760","0.0649029796115762","0.0606439908762359","0.0691619683469165","2"
"Never","2011","Female","4881","0.35571788900517","0.34819200384692","0.363243774163419","5"
"Never","2011","Male","3684","0.284866500337577","0.277063527616677","0.292669473058478","5"
"Rarely","2011","Male","6111","0.451978349758672","0.443374288151294","0.460582411366049","4"
"Rarely","2011","Female","7458","0.426745721506052","0.418970282168678","0.434521160843427","4"
"Daily","2012","Male","","","","","1"
"Daily","2012","Female","","","","","1"
"Min 1x per month","2012","Male","","","","","3"
"Min 1x per month","2012","Female","","","","","3"
"Min 1x per week","2012","Female","","","","","2"
"Min 1x per week","2012","Male","","","","","2"
"Never","2012","Female","","","","","5"
"Never","2012","Male","","","","","5"
"Rarely","2012","Male","","","","","4"
"Rarely","2012","Female","","","","","4"
"Daily","2013","Male","5","","","","1"
"Daily","2013","Female","4","","","","1"
"Min 1x per month","2013","Female","2655","0.182016440843197","0.17562115471621","0.188411726970184","3"
"Min 1x per month","2013","Male","2069","0.185784282886251","0.17869156762968","0.192876998142821","3"
"Min 1x per week","2013","Male","302","0.0325291285038786","0.0292939856519493","0.0357642713558079","2"
"Min 1x per week","2013","Female","295","0.0221740222244103","0.0197334851577137","0.0246145592911069","2"
"Never","2013","Female","4400","0.369067885385071","0.361069969570661","0.37706580119948","5"
"Never","2013","Male","3725","0.337201213852451","0.328579894830735","0.345822532874167","5"
"Rarely","2013","Male","5450","0.443451939868687","0.434392258675447","0.452511621061926","4"
"Rarely","2013","Female","6630","0.426420603953368","0.418223730222833","0.434617477683902","4"
"Daily","2014","Male","","","","","1"
"Daily","2014","Female","","","","","1"
"Min 1x per month","2014","Female","","","","","3"
"Min 1x per month","2014","Male","","","","","3"
"Min 1x per week","2014","Male","","","","","2"
"Min 1x per week","2014","Female","","","","","2"
"Never","2014","Female","","","","","5"
"Never","2014","Male","","","","","5"
"Rarely","2014","Male","","","","","4"
"Rarely","2014","Female","","","","","4"
"Daily","2015","Female","","","","","1"
