"pli0091_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","lower secondary degree","","","",""
"Daily","1985","Schleswig-Holstein","secondary school degree","","","",""
"Daily","1985","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","1985","Schleswig-Holstein","Other degree","","","",""
"Daily","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Daily","1985","Hamburg","lower secondary degree","","","",""
"Daily","1985","Hamburg","secondary school degree","","","",""
"Daily","1985","Hamburg","college entrance qualification","","","",""
"Daily","1985","Hamburg","Other degree","","","",""
"Daily","1985","Hamburg","no degree/no degree yet","","","",""
"Daily","1985","Lower Saxony","lower secondary degree","","","",""
"Daily","1985","Lower Saxony","secondary school degree","","","",""
"Daily","1985","Lower Saxony","college entrance qualification","","","",""
"Daily","1985","Lower Saxony","Other degree","","","",""
"Daily","1985","Lower Saxony","no degree/no degree yet","","","",""
"Daily","1985","Bremen","lower secondary degree","","","",""
"Daily","1985","Bremen","secondary school degree","","","",""
"Daily","1985","Bremen","college entrance qualification","","","",""
"Daily","1985","Bremen","Other degree","","","",""
"Daily","1985","Bremen","no degree/no degree yet","","","",""
"Daily","1985","North Rhine-Westphalia","lower secondary degree","","","",""
"Daily","1985","North Rhine-Westphalia","secondary school degree","","","",""
"Daily","1985","North Rhine-Westphalia","college entrance qualification","","","",""
"Daily","1985","North Rhine-Westphalia","Other degree","","","",""
"Daily","1985","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Daily","1985","Hesse","lower secondary degree","","","",""
"Daily","1985","Hesse","secondary school degree","","","",""
"Daily","1985","Hesse","college entrance qualification","","","",""
"Daily","1985","Hesse","Other degree","","","",""
"Daily","1985","Hesse","no degree/no degree yet","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Daily","1985","Baden-Württemberg","lower secondary degree","","","",""
"Daily","1985","Baden-Württemberg","secondary school degree","","","",""
"Daily","1985","Baden-Württemberg","college entrance qualification","","","",""
"Daily","1985","Baden-Württemberg","Other degree","","","",""
"Daily","1985","Baden-Württemberg","no degree/no degree yet","","","",""
"Daily","1985","Bavaria","lower secondary degree","","","",""
"Daily","1985","Bavaria","secondary school degree","","","",""
"Daily","1985","Bavaria","college entrance qualification","","","",""
"Daily","1985","Bavaria","Other degree","","","",""
"Daily","1985","Bavaria","no degree/no degree yet","","","",""
"Daily","1985","Berlin","lower secondary degree","","","",""
"Daily","1985","Berlin","secondary school degree","","","",""
"Daily","1985","Berlin","college entrance qualification","","","",""
"Daily","1985","Berlin","Other degree","","","",""
"Daily","1985","Berlin","no degree/no degree yet","","","",""
"Daily","1985","Brandenburg","lower secondary degree","","","",""
"Daily","1985","Brandenburg","secondary school degree","","","",""
"Daily","1985","Brandenburg","college entrance qualification","","","",""
"Daily","1985","Brandenburg","Other degree","","","",""
"Daily","1985","Brandenburg","no degree/no degree yet","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Daily","1985","Saxony","lower secondary degree","","","",""
"Daily","1985","Saxony","secondary school degree","","","",""
"Daily","1985","Saxony","college entrance qualification","","","",""
"Daily","1985","Saxony","Other degree","","","",""
"Daily","1985","Saxony","no degree/no degree yet","","","",""
"Daily","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Daily","1985","Saxony-Anhalt","secondary school degree","","","",""
"Daily","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Daily","1985","Saxony-Anhalt","Other degree","","","",""
"Daily","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Daily","1985","Thuringia","lower secondary degree","","","",""
"Daily","1985","Thuringia","secondary school degree","","","",""
"Daily","1985","Thuringia","college entrance qualification","","","",""
"Daily","1985","Thuringia","Other degree","","","",""
"Daily","1985","Thuringia","no degree/no degree yet","","","",""
"Min 1x per week","1985","Schleswig-Holstein","lower secondary degree","20","","",""
"Min 1x per week","1985","Schleswig-Holstein","secondary school degree","14","","",""
"Min 1x per week","1985","Schleswig-Holstein","college entrance qualification","3","","",""
"Min 1x per week","1985","Schleswig-Holstein","Other degree","1","","",""
"Min 1x per week","1985","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Min 1x per week","1985","Hamburg","lower secondary degree","8","","",""
"Min 1x per week","1985","Hamburg","secondary school degree","5","","",""
"Min 1x per week","1985","Hamburg","college entrance qualification","3","","",""
"Min 1x per week","1985","Hamburg","Other degree","5","","",""
"Min 1x per week","1985","Hamburg","no degree/no degree yet","2","","",""
"Min 1x per week","1985","Lower Saxony","lower secondary degree","41","0.05941808342165","0.0404227360425314","0.0784134308007687"
"Min 1x per week","1985","Lower Saxony","secondary school degree","36","0.144601352230249","0.0983374713998416","0.190865233060657"
"Min 1x per week","1985","Lower Saxony","college entrance qualification","17","","",""
"Min 1x per week","1985","Lower Saxony","Other degree","4","","",""
"Min 1x per week","1985","Lower Saxony","no degree/no degree yet","13","","",""
"Min 1x per week","1985","Bremen","lower secondary degree","2","","",""
"Min 1x per week","1985","Bremen","secondary school degree","3","","",""
"Min 1x per week","1985","Bremen","college entrance qualification","","","",""
"Min 1x per week","1985","Bremen","Other degree","","","",""
"Min 1x per week","1985","Bremen","no degree/no degree yet","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","lower secondary degree","63","0.0314564305610652","0.0223001375272032","0.0406127235949273"
"Min 1x per week","1985","North Rhine-Westphalia","secondary school degree","66","0.125892393029074","0.0959339091010674","0.155850876957081"
"Min 1x per week","1985","North Rhine-Westphalia","college entrance qualification","69","0.179214742255648","0.140396658133525","0.218032826377771"
"Min 1x per week","1985","North Rhine-Westphalia","Other degree","14","","",""
"Min 1x per week","1985","North Rhine-Westphalia","no degree/no degree yet","23","","",""
"Min 1x per week","1985","Hesse","lower secondary degree","41","0.0660064482911026","0.0439770162052465","0.0880358803769587"
"Min 1x per week","1985","Hesse","secondary school degree","37","0.197661809557845","0.13980526224631","0.255518356869379"
"Min 1x per week","1985","Hesse","college entrance qualification","30","0.157607158191117","0.0974643312448357","0.217749985137398"
"Min 1x per week","1985","Hesse","Other degree","11","","",""
"Min 1x per week","1985","Hesse","no degree/no degree yet","7","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","lower secondary degree","38","0.0619995292176798","0.04040339298737","0.0835956654479897"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","secondary school degree","11","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","college entrance qualification","6","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Other degree","3","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","3","","",""
"Min 1x per week","1985","Baden-Württemberg","lower secondary degree","86","0.0604474053673168","0.0452851305173618","0.0756096802172718"
"Min 1x per week","1985","Baden-Württemberg","secondary school degree","37","0.113803613575939","0.0766725025174627","0.150934724634415"
"Min 1x per week","1985","Baden-Württemberg","college entrance qualification","16","","",""
"Min 1x per week","1985","Baden-Württemberg","Other degree","30","0.101671406303047","0.0676428280808136","0.135699984525281"
"Min 1x per week","1985","Baden-Württemberg","no degree/no degree yet","27","","",""
"Min 1x per week","1985","Bavaria","lower secondary degree","85","0.0791225268569491","0.062341988198467","0.0959030655154312"
"Min 1x per week","1985","Bavaria","secondary school degree","65","0.170319602973928","0.131702016139253","0.208937189808602"
"Min 1x per week","1985","Bavaria","college entrance qualification","21","","",""
"Min 1x per week","1985","Bavaria","Other degree","11","","",""
"Min 1x per week","1985","Bavaria","no degree/no degree yet","14","","",""
"Min 1x per week","1985","Berlin","lower secondary degree","7","","",""
"Min 1x per week","1985","Berlin","secondary school degree","9","","",""
"Min 1x per week","1985","Berlin","college entrance qualification","12","","",""
"Min 1x per week","1985","Berlin","Other degree","3","","",""
"Min 1x per week","1985","Berlin","no degree/no degree yet","5","","",""
"Min 1x per week","1985","Brandenburg","lower secondary degree","","","",""
"Min 1x per week","1985","Brandenburg","secondary school degree","","","",""
"Min 1x per week","1985","Brandenburg","college entrance qualification","","","",""
"Min 1x per week","1985","Brandenburg","Other degree","","","",""
"Min 1x per week","1985","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per week","1985","Saxony","lower secondary degree","","","",""
"Min 1x per week","1985","Saxony","secondary school degree","","","",""
"Min 1x per week","1985","Saxony","college entrance qualification","","","",""
"Min 1x per week","1985","Saxony","Other degree","","","",""
"Min 1x per week","1985","Saxony","no degree/no degree yet","","","",""
"Min 1x per week","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per week","1985","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per week","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Other degree","","","",""
"Min 1x per week","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per week","1985","Thuringia","lower secondary degree","","","",""
"Min 1x per week","1985","Thuringia","secondary school degree","","","",""
"Min 1x per week","1985","Thuringia","college entrance qualification","","","",""
"Min 1x per week","1985","Thuringia","Other degree","","","",""
"Min 1x per week","1985","Thuringia","no degree/no degree yet","","","",""
"Min 1x per month","1985","Schleswig-Holstein","lower secondary degree","25","","",""
"Min 1x per month","1985","Schleswig-Holstein","secondary school degree","10","","",""
"Min 1x per month","1985","Schleswig-Holstein","college entrance qualification","7","","",""
"Min 1x per month","1985","Schleswig-Holstein","Other degree","1","","",""
"Min 1x per month","1985","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Min 1x per month","1985","Hamburg","lower secondary degree","12","","",""
"Min 1x per month","1985","Hamburg","secondary school degree","15","","",""
"Min 1x per month","1985","Hamburg","college entrance qualification","9","","",""
"Min 1x per month","1985","Hamburg","Other degree","7","","",""
"Min 1x per month","1985","Hamburg","no degree/no degree yet","5","","",""
"Min 1x per month","1985","Lower Saxony","lower secondary degree","47","0.0735960678523164","0.0526155062737705","0.0945766294308623"
"Min 1x per month","1985","Lower Saxony","secondary school degree","45","0.18961101015461","0.138046589133286","0.241175431175934"
"Min 1x per month","1985","Lower Saxony","college entrance qualification","26","","",""
"Min 1x per month","1985","Lower Saxony","Other degree","9","","",""
"Min 1x per month","1985","Lower Saxony","no degree/no degree yet","11","","",""
"Min 1x per month","1985","Bremen","lower secondary degree","4","","",""
"Min 1x per month","1985","Bremen","secondary school degree","4","","",""
"Min 1x per month","1985","Bremen","college entrance qualification","1","","",""
"Min 1x per month","1985","Bremen","Other degree","3","","",""
"Min 1x per month","1985","Bremen","no degree/no degree yet","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","lower secondary degree","138","0.0823076647523731","0.0678906921189611","0.0967246373857851"
"Min 1x per month","1985","North Rhine-Westphalia","secondary school degree","85","0.172234618394808","0.138134845167088","0.206334391622529"
"Min 1x per month","1985","North Rhine-Westphalia","college entrance qualification","87","0.22496276513915","0.182700860887021","0.267224669391279"
"Min 1x per month","1985","North Rhine-Westphalia","Other degree","33","0.110120003330122","0.0757680387200815","0.144471967940163"
"Min 1x per month","1985","North Rhine-Westphalia","no degree/no degree yet","33","0.221266200489591","0.17707861274569","0.265453788233491"
"Min 1x per month","1985","Hesse","lower secondary degree","50","0.0829884173997298","0.0585127618917492","0.10746407290771"
"Min 1x per month","1985","Hesse","secondary school degree","31","0.158046950682716","0.105050181507085","0.211043719858347"
"Min 1x per month","1985","Hesse","college entrance qualification","35","0.241739710547008","0.171071891268402","0.312407529825613"
"Min 1x per month","1985","Hesse","Other degree","21","","",""
"Min 1x per month","1985","Hesse","no degree/no degree yet","11","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","lower secondary degree","52","0.0989374493050487","0.0721988804049193","0.125676018205178"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","secondary school degree","24","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","college entrance qualification","13","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","10","","",""
"Min 1x per month","1985","Baden-Württemberg","lower secondary degree","101","0.0868004728780657","0.0688878629205482","0.104713082835583"
"Min 1x per month","1985","Baden-Württemberg","secondary school degree","61","0.212693801747714","0.164847961778322","0.260539641717105"
"Min 1x per month","1985","Baden-Württemberg","college entrance qualification","39","0.203211675454587","0.143763631933821","0.262659718975352"
"Min 1x per month","1985","Baden-Württemberg","Other degree","23","","",""
"Min 1x per month","1985","Baden-Württemberg","no degree/no degree yet","34","0.238235335367501","0.190109493080566","0.286361177654437"
"Min 1x per month","1985","Bavaria","lower secondary degree","125","0.109159647024945","0.0897737500300654","0.128545544019825"
"Min 1x per month","1985","Bavaria","secondary school degree","67","0.170317479285115","0.1317000837862","0.208934874784029"
"Min 1x per month","1985","Bavaria","college entrance qualification","39","0.167179790084828","0.117418832289805","0.216940747879851"
"Min 1x per month","1985","Bavaria","Other degree","23","","",""
"Min 1x per month","1985","Bavaria","no degree/no degree yet","13","","",""
"Min 1x per month","1985","Berlin","lower secondary degree","13","","",""
"Min 1x per month","1985","Berlin","secondary school degree","18","","",""
"Min 1x per month","1985","Berlin","college entrance qualification","17","","",""
"Min 1x per month","1985","Berlin","Other degree","2","","",""
"Min 1x per month","1985","Berlin","no degree/no degree yet","5","","",""
"Min 1x per month","1985","Brandenburg","lower secondary degree","","","",""
"Min 1x per month","1985","Brandenburg","secondary school degree","","","",""
"Min 1x per month","1985","Brandenburg","college entrance qualification","","","",""
"Min 1x per month","1985","Brandenburg","Other degree","","","",""
"Min 1x per month","1985","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per month","1985","Saxony","lower secondary degree","","","",""
"Min 1x per month","1985","Saxony","secondary school degree","","","",""
"Min 1x per month","1985","Saxony","college entrance qualification","","","",""
"Min 1x per month","1985","Saxony","Other degree","","","",""
"Min 1x per month","1985","Saxony","no degree/no degree yet","","","",""
"Min 1x per month","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per month","1985","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per month","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Other degree","","","",""
"Min 1x per month","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per month","1985","Thuringia","lower secondary degree","","","",""
"Min 1x per month","1985","Thuringia","secondary school degree","","","",""
"Min 1x per month","1985","Thuringia","college entrance qualification","","","",""
"Min 1x per month","1985","Thuringia","Other degree","","","",""
"Min 1x per month","1985","Thuringia","no degree/no degree yet","","","",""
"Rarely","1985","Schleswig-Holstein","lower secondary degree","73","0.337350093031891","0.271659370210509","0.403040815853273"
"Rarely","1985","Schleswig-Holstein","secondary school degree","32","0.358759745964136","0.254307490021335","0.463212001906937"
"Rarely","1985","Schleswig-Holstein","college entrance qualification","17","","",""
"Rarely","1985","Schleswig-Holstein","Other degree","9","","",""
"Rarely","1985","Schleswig-Holstein","no degree/no degree yet","6","","",""
"Rarely","1985","Hamburg","lower secondary degree","38","0.283347547204597","0.202041824978529","0.364653269430664"
"Rarely","1985","Hamburg","secondary school degree","19","","",""
"Rarely","1985","Hamburg","college entrance qualification","14","","",""
"Rarely","1985","Hamburg","Other degree","7","","",""
"Rarely","1985","Hamburg","no degree/no degree yet","","","",""
"Rarely","1985","Lower Saxony","lower secondary degree","240","0.370006454392683","0.331212655671027","0.408800253114339"
"Rarely","1985","Lower Saxony","secondary school degree","85","0.372486876640164","0.308889602976214","0.436084150304115"
"Rarely","1985","Lower Saxony","college entrance qualification","44","0.335702249157907","0.251210172480414","0.420194325835401"
"Rarely","1985","Lower Saxony","Other degree","18","","",""
"Rarely","1985","Lower Saxony","no degree/no degree yet","26","","",""
"Rarely","1985","Bremen","lower secondary degree","23","","",""
"Rarely","1985","Bremen","secondary school degree","9","","",""
"Rarely","1985","Bremen","college entrance qualification","1","","",""
"Rarely","1985","Bremen","Other degree","6","","",""
"Rarely","1985","Bremen","no degree/no degree yet","2","","",""
"Rarely","1985","North Rhine-Westphalia","lower secondary degree","456","0.294074823862489","0.270173957693572","0.317975690031406"
"Rarely","1985","North Rhine-Westphalia","secondary school degree","186","0.384873390677585","0.340931490055632","0.428815291299537"
"Rarely","1985","North Rhine-Westphalia","college entrance qualification","125","0.320844675908403","0.273598742830014","0.368090608986792"
"Rarely","1985","North Rhine-Westphalia","Other degree","89","0.277045733609094","0.227934154857995","0.326157312360193"
"Rarely","1985","North Rhine-Westphalia","no degree/no degree yet","62","0.243994730243597","0.198275292941906","0.289714167545287"
"Rarely","1985","Hesse","lower secondary degree","178","0.351400905604109","0.309043652585021","0.393758158623198"
"Rarely","1985","Hesse","secondary school degree","61","0.314221148538055","0.24678043651221","0.3816618605639"
"Rarely","1985","Hesse","college entrance qualification","45","0.32522605056798","0.24790275579839","0.40254934533757"
"Rarely","1985","Hesse","Other degree","53","0.238641228982995","0.175306650719877","0.301975807246114"
"Rarely","1985","Hesse","no degree/no degree yet","18","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","lower secondary degree","127","0.243599847985775","0.205158850846524","0.282040845125027"
"Rarely","1985","Rhineland-Palatinate,Saarland","secondary school degree","44","0.398295626076273","0.304658560689249","0.491932691463297"
"Rarely","1985","Rhineland-Palatinate,Saarland","college entrance qualification","21","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Other degree","12","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","20","","",""
"Rarely","1985","Baden-Württemberg","lower secondary degree","270","0.263964303874534","0.235920493374079","0.292008114374989"
"Rarely","1985","Baden-Württemberg","secondary school degree","96","0.318813208825442","0.264325795234328","0.373300622416556"
"Rarely","1985","Baden-Württemberg","college entrance qualification","71","0.405188598966706","0.332659879860264","0.477717318073148"
"Rarely","1985","Baden-Württemberg","Other degree","75","0.24983649167126","0.201091199238048","0.298581784104472"
"Rarely","1985","Baden-Württemberg","no degree/no degree yet","41","0.118641618586524","0.0821107798032259","0.155172457369823"
"Rarely","1985","Bavaria","lower secondary degree","286","0.260691391245536","0.233399657521612","0.287983124969461"
"Rarely","1985","Bavaria","secondary school degree","139","0.371645987051135","0.322002266806923","0.421289707295347"
"Rarely","1985","Bavaria","college entrance qualification","83","0.351985889925262","0.288295182341223","0.415676597509301"
"Rarely","1985","Bavaria","Other degree","51","0.283680074195375","0.221205827936903","0.346154320453847"
"Rarely","1985","Bavaria","no degree/no degree yet","25","","",""
"Rarely","1985","Berlin","lower secondary degree","54","0.327092608710058","0.249928217631972","0.404256999788143"
"Rarely","1985","Berlin","secondary school degree","30","0.321351764583916","0.217715083541464","0.424988445626368"
