"pli0091_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","in school","","","",""
"Daily","1985","16-34 y.","inadequately","","","",""
"Daily","1985","16-34 y.","general elemantary","","","",""
"Daily","1985","16-34 y.","middle vocational","","","",""
"Daily","1985","16-34 y.","vocational + Abi","","","",""
"Daily","1985","16-34 y.","higher vocational","","","",""
"Daily","1985","16-34 y.","higher education","","","",""
"Daily","1985","35-65 y.","in school","","","",""
"Daily","1985","35-65 y.","inadequately","","","",""
"Daily","1985","35-65 y.","general elemantary","","","",""
"Daily","1985","35-65 y.","middle vocational","","","",""
"Daily","1985","35-65 y.","vocational + Abi","","","",""
"Daily","1985","35-65 y.","higher vocational","","","",""
"Daily","1985","35-65 y.","higher education","","","",""
"Daily","1985","66 and older","in school","","","",""
"Daily","1985","66 and older","inadequately","","","",""
"Daily","1985","66 and older","general elemantary","","","",""
"Daily","1985","66 and older","middle vocational","","","",""
"Daily","1985","66 and older","vocational + Abi","","","",""
"Daily","1985","66 and older","higher vocational","","","",""
"Daily","1985","66 and older","higher education","","","",""
"Min 1x per week","1985","16-34 y.","in school","65","0.338779649548804","0.270761724091671","0.406797575005936"
"Min 1x per week","1985","16-34 y.","inadequately","20","","",""
"Min 1x per week","1985","16-34 y.","general elemantary","263","0.259142303823514","0.23367374240135","0.284610865245678"
"Min 1x per week","1985","16-34 y.","middle vocational","369","0.188423250222372","0.171031010127884","0.205815490316859"
"Min 1x per week","1985","16-34 y.","vocational + Abi","22","","",""
"Min 1x per week","1985","16-34 y.","higher vocational","32","0.173546993636438","0.120391468300869","0.226702518972006"
"Min 1x per week","1985","16-34 y.","higher education","43","0.183754502888341","0.134238730920828","0.233270274855854"
"Min 1x per week","1985","35-65 y.","in school","","","",""
"Min 1x per week","1985","35-65 y.","inadequately","9","","",""
"Min 1x per week","1985","35-65 y.","general elemantary","40","0.0240278926846127","0.0162471120700682","0.0318086732991572"
"Min 1x per week","1985","35-65 y.","middle vocational","116","0.0409113556591373","0.0334299841029471","0.0483927272153275"
"Min 1x per week","1985","35-65 y.","vocational + Abi","4","","",""
"Min 1x per week","1985","35-65 y.","higher vocational","12","","",""
"Min 1x per week","1985","35-65 y.","higher education","24","","",""
"Min 1x per week","1985","66 and older","in school","","","",""
"Min 1x per week","1985","66 and older","inadequately","","","",""
"Min 1x per week","1985","66 and older","general elemantary","2","","",""
"Min 1x per week","1985","66 and older","middle vocational","9","","",""
"Min 1x per week","1985","66 and older","vocational + Abi","","","",""
"Min 1x per week","1985","66 and older","higher vocational","","","",""
"Min 1x per week","1985","66 and older","higher education","2","","",""
"Min 1x per month","1985","16-34 y.","in school","65","0.388907490452435","0.318847793723506","0.458967187181364"
"Min 1x per month","1985","16-34 y.","inadequately","23","","",""
"Min 1x per month","1985","16-34 y.","general elemantary","278","0.28245398691703","0.256286224313153","0.308621749520908"
"Min 1x per month","1985","16-34 y.","middle vocational","491","0.268167054506988","0.248464063123064","0.287870045890913"
"Min 1x per month","1985","16-34 y.","vocational + Abi","38","0.27569219939863","0.203207643332282","0.348176755464977"
"Min 1x per month","1985","16-34 y.","higher vocational","47","0.246858471940746","0.186339282721869","0.307377661159623"
"Min 1x per month","1985","16-34 y.","higher education","63","0.29284807907484","0.234665668266997","0.351030489882683"
"Min 1x per month","1985","35-65 y.","in school","","","",""
"Min 1x per month","1985","35-65 y.","inadequately","29","","",""
"Min 1x per month","1985","35-65 y.","general elemantary","86","0.0536899879346807","0.0422372322540691","0.0651427436152922"
"Min 1x per month","1985","35-65 y.","middle vocational","207","0.0715917861941493","0.061854655474379","0.0813289169139196"
"Min 1x per month","1985","35-65 y.","vocational + Abi","17","","",""
"Min 1x per month","1985","35-65 y.","higher vocational","29","","",""
"Min 1x per month","1985","35-65 y.","higher education","67","0.13906118361632","0.107407019224435","0.170715348008205"
"Min 1x per month","1985","66 and older","in school","","","",""
"Min 1x per month","1985","66 and older","inadequately","","","",""
"Min 1x per month","1985","66 and older","general elemantary","3","","",""
"Min 1x per month","1985","66 and older","middle vocational","7","","",""
"Min 1x per month","1985","66 and older","vocational + Abi","1","","",""
"Min 1x per month","1985","66 and older","higher vocational","2","","",""
"Min 1x per month","1985","66 and older","higher education","","","",""
"Rarely","1985","16-34 y.","in school","43","0.21445038269966","0.155465347570505","0.273435417828814"
"Rarely","1985","16-34 y.","inadequately","70","0.362182100158466","0.301120039623267","0.423244160693665"
"Rarely","1985","16-34 y.","general elemantary","344","0.314317662953779","0.287333202854661","0.341302123052897"
"Rarely","1985","16-34 y.","middle vocational","754","0.400508075456052","0.378714886444561","0.422301264467543"
"Rarely","1985","16-34 y.","vocational + Abi","56","0.395859086376808","0.316533900918676","0.475184271834941"
"Rarely","1985","16-34 y.","higher vocational","87","0.430411125440117","0.360916170350919","0.499906080529314"
"Rarely","1985","16-34 y.","higher education","101","0.418090499937439","0.355027150514844","0.481153849360033"
"Rarely","1985","35-65 y.","in school","","","",""
"Rarely","1985","35-65 y.","inadequately","84","0.145089671537801","0.116622916857117","0.173556426218485"
"Rarely","1985","35-65 y.","general elemantary","377","0.257666208143298","0.235444626150464","0.279887790136133"
"Rarely","1985","35-65 y.","middle vocational","1046","0.389904951856519","0.37148417084023","0.408325732872807"
"Rarely","1985","35-65 y.","vocational + Abi","35","0.312214065948921","0.22522038258752","0.399207749310323"
"Rarely","1985","35-65 y.","higher vocational","150","0.427642376112972","0.375054850626364","0.48022990159958"
"Rarely","1985","35-65 y.","higher education","211","0.445749690941125","0.400278089926667","0.491221291955582"
"Rarely","1985","66 and older","in school","","","",""
"Rarely","1985","66 and older","inadequately","","","",""
"Rarely","1985","66 and older","general elemantary","21","","",""
"Rarely","1985","66 and older","middle vocational","49","0.0828155319120084","0.058919714862508","0.106711348961509"
"Rarely","1985","66 and older","vocational + Abi","1","","",""
"Rarely","1985","66 and older","higher vocational","7","","",""
"Rarely","1985","66 and older","higher education","7","","",""
"Never","1985","16-34 y.","in school","13","","",""
"Never","1985","16-34 y.","inadequately","125","0.396859394904132","0.334702797936477","0.459015991871786"
"Never","1985","16-34 y.","general elemantary","252","0.144086046305676","0.123673655512817","0.164498437098536"
"Never","1985","16-34 y.","middle vocational","328","0.142901619814588","0.127336323553493","0.158466916075682"
"Never","1985","16-34 y.","vocational + Abi","30","0.141495365556769","0.0849607956135106","0.198029935500027"
"Never","1985","16-34 y.","higher vocational","29","","",""
"Never","1985","16-34 y.","higher education","28","","",""
"Never","1985","35-65 y.","in school","","","",""
"Never","1985","35-65 y.","inadequately","466","0.766772608666735","0.732591786842329","0.800953430491141"
"Never","1985","35-65 y.","general elemantary","985","0.664615911237408","0.64062740418502","0.688604418289797"
"Never","1985","35-65 y.","middle vocational","1324","0.497591906290195","0.478707867592946","0.516475944987443"
"Never","1985","35-65 y.","vocational + Abi","53","0.52915084749907","0.435445260275941","0.622856434722198"
"Never","1985","35-65 y.","higher vocational","149","0.45244789468984","0.399541807304026","0.505353982075653"
"Never","1985","35-65 y.","higher education","157","0.368631450938696","0.324496828752343","0.412766073125049"
"Never","1985","66 and older","in school","","","",""
"Never","1985","66 and older","inadequately","14","","",""
"Never","1985","66 and older","general elemantary","395","0.944489567714969","0.922617344446621","0.966361790983317"
"Never","1985","66 and older","middle vocational","446","0.888480677165344","0.861188593350479","0.915772760980209"
"Never","1985","66 and older","vocational + Abi","15","","",""
"Never","1985","66 and older","higher vocational","68","0.885175759834057","0.813966860209618","0.956384659458496"
"Never","1985","66 and older","higher education","47","0.842188331620928","0.746704850701817","0.937671812540039"
"Daily","1986","16-34 y.","in school","","","",""
"Daily","1986","16-34 y.","inadequately","","","",""
"Daily","1986","16-34 y.","general elemantary","","","",""
"Daily","1986","16-34 y.","middle vocational","","","",""
"Daily","1986","16-34 y.","vocational + Abi","","","",""
"Daily","1986","16-34 y.","higher vocational","","","",""
"Daily","1986","16-34 y.","higher education","","","",""
"Daily","1986","35-65 y.","in school","","","",""
"Daily","1986","35-65 y.","inadequately","","","",""
"Daily","1986","35-65 y.","general elemantary","","","",""
"Daily","1986","35-65 y.","middle vocational","","","",""
"Daily","1986","35-65 y.","vocational + Abi","","","",""
"Daily","1986","35-65 y.","higher vocational","","","",""
"Daily","1986","35-65 y.","higher education","","","",""
"Daily","1986","66 and older","in school","","","",""
"Daily","1986","66 and older","inadequately","","","",""
"Daily","1986","66 and older","general elemantary","","","",""
"Daily","1986","66 and older","middle vocational","","","",""
"Daily","1986","66 and older","vocational + Abi","","","",""
"Daily","1986","66 and older","higher vocational","","","",""
"Daily","1986","66 and older","higher education","","","",""
"Min 1x per week","1986","16-34 y.","in school","62","0.326300095950302","0.259100117892325","0.393500074008279"
"Min 1x per week","1986","16-34 y.","inadequately","27","","",""
"Min 1x per week","1986","16-34 y.","general elemantary","261","0.261576672691827","0.235917754474247","0.287235590909408"
"Min 1x per week","1986","16-34 y.","middle vocational","337","0.184203569633634","0.166773014780303","0.201634124486965"
"Min 1x per week","1986","16-34 y.","vocational + Abi","19","","",""
"Min 1x per week","1986","16-34 y.","higher vocational","18","","",""
"Min 1x per week","1986","16-34 y.","higher education","34","0.167149395125422","0.118719154713627","0.215579635537217"
"Min 1x per week","1986","35-65 y.","in school","","","",""
"Min 1x per week","1986","35-65 y.","inadequately","6","","",""
"Min 1x per week","1986","35-65 y.","general elemantary","31","0.0224969967670618","0.014664459966919","0.0303295335672045"
"Min 1x per week","1986","35-65 y.","middle vocational","108","0.0419864881267585","0.0342862974814361","0.0496866787720809"
"Min 1x per week","1986","35-65 y.","vocational + Abi","3","","",""
"Min 1x per week","1986","35-65 y.","higher vocational","13","","",""
"Min 1x per week","1986","35-65 y.","higher education","27","","",""
"Min 1x per week","1986","66 and older","in school","","","",""
"Min 1x per week","1986","66 and older","inadequately","","","",""
"Min 1x per week","1986","66 and older","general elemantary","1","","",""
"Min 1x per week","1986","66 and older","middle vocational","7","","",""
