"pli0091_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","1-pers.-HH","Urban Area","","","","","1"
"Daily","1985","1-pers.-HH","Rural Area","","","","","1"
"Daily","1985","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1985","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1985","Single parent ","Urban Area","","","","","1"
"Daily","1985","Single parent ","Rural Area","","","","","1"
"Daily","1985","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1985","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1985","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1985","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1985","(Married) couple without C. ","Urban Area","239","0.108969425023628","0.0950024363776711","0.122936413669584","3"
"Min 1x per month","1985","(Married) couple without C. ","Rural Area","43","0.0710381474756885","0.0483619941300738","0.0937143008213031","3"
"Min 1x per month","1985","1-pers.-HH","Urban Area","159","0.13580535907937","0.114443755209996","0.157166962948743","3"
"Min 1x per month","1985","1-pers.-HH","Rural Area","16","","","","3"
"Min 1x per month","1985","Single parent ","Urban Area","81","0.204536457382222","0.166277805890787","0.242795108873657","3"
"Min 1x per month","1985","Couple + C. LE 16 ","Urban Area","205","0.0945268235544902","0.0820437310102137","0.107009916098767","3"
"Min 1x per month","1985","Single parent ","Rural Area","18","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","Rural Area","53","0.100501353275205","0.0751654921147543","0.125837214435657","3"
"Min 1x per month","1985","Couple + C. GT 16 ","Urban Area","287","0.188013659526181","0.169057206594338","0.206970112458024","3"
"Min 1x per month","1985","Couple + C. GT 16 ","Rural Area","53","0.138131542473637","0.103485588243497","0.172777496703777","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","Urban Area","176","0.185874433146842","0.163352207383817","0.208396658909867","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","Rural Area","49","0.136674092888422","0.0996127110536543","0.173735474723191","3"
"Min 1x per week","1985","1-pers.-HH","Rural Area","13","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","Urban Area","87","0.0400691829742388","0.0312783635787584","0.0488600023697193","2"
"Min 1x per week","1985","(Married) couple without C. ","Rural Area","22","","","","2"
"Min 1x per week","1985","1-pers.-HH","Urban Area","108","0.0867411059413108","0.0691910279222441","0.104291183960377","2"
"Min 1x per week","1985","Single parent ","Urban Area","55","0.131435030349451","0.0993877726051368","0.163482288093764","2"
"Min 1x per week","1985","Single parent ","Rural Area","20","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","Urban Area","90","0.0386485644865234","0.0304239673012376","0.0468731616718091","2"
"Min 1x per week","1985","Couple + C. LE 16 ","Rural Area","29","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","Urban Area","251","0.153409777235689","0.135925360157612","0.170894194313767","2"
"Min 1x per week","1985","Couple + C. GT 16 ","Rural Area","73","0.182271472888587","0.143505603422656","0.221037342354519","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","Urban Area","154","0.150217593101813","0.129531901310971","0.170903284892654","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","Rural Area","68","0.230147689983671","0.184732813244454","0.275562566722888","2"
"Never","1985","Couple + C. LE 16 ","Urban Area","910","0.373760656889397","0.353117608539193","0.394403705239601","5"
"Never","1985","Single parent ","Urban Area","172","0.363502938472925","0.317879678102929","0.409126198842922","5"
"Never","1985","Single parent ","Rural Area","41","0.372971670319911","0.28458624113331","0.461357099506511","5"
"Never","1985","1-pers.-HH","Urban Area","551","0.624027849511907","0.593824893995812","0.654230805028002","5"
"Never","1985","(Married) couple without C. ","Urban Area","1017","0.561355431077396","0.539113141547931","0.583597720606862","5"
"Never","1985","Couple + C. LE 16 ","Rural Area","198","0.320359400323038","0.281039912533384","0.359678888112691","5"
"Never","1985","1-pers.-HH","Rural Area","122","0.746466881224018","0.682377795037808","0.810555967410227","5"
"Never","1985","(Married) couple without C. ","Rural Area","284","0.623194123306929","0.58041861886643","0.665969627747428","5"
"Never","1985","Couple + C. GT 16 ","Urban Area","586","0.341526378967815","0.318518884232628","0.364533873703001","5"
"Never","1985","Couple + C. GT 16 ","Rural Area","148","0.405905045175928","0.356596094564328","0.455213995787527","5"
"Never","1985","Couple + C. LE and GT 16","Urban Area","491","0.319059317240751","0.292072843570764","0.346045790910739","5"
"Never","1985","Couple + C. LE and GT 16","Rural Area","98","0.269748383181952","0.221862576290108","0.317634190073795","5"
"Rarely","1985","1-pers.-HH","Rural Area","26","","","","4"
"Rarely","1985","(Married) couple without C. ","Urban Area","569","0.289605960924737","0.269275016664871","0.309936905184603","4"
"Rarely","1985","1-pers.-HH","Urban Area","170","0.153425685467412","0.130953195320428","0.175898175614397","4"
"Rarely","1985","(Married) couple without C. ","Rural Area","144","0.264186150291941","0.225266974578494","0.303105326005388","4"
"Rarely","1985","Couple + C. LE and GT 16","Rural Area","115","0.363429833945954","0.311534949491835","0.415324718400074","4"
"Rarely","1985","Single parent ","Urban Area","119","0.300525573795403","0.257038439321066","0.344012708269739","4"
"Rarely","1985","Couple + C. LE 16 ","Urban Area","905","0.493063955069589","0.47173178305639","0.514396127082788","4"
"Rarely","1985","Single parent ","Rural Area","36","0.333929689649886","0.247733766433086","0.420125612866687","4"
"Rarely","1985","Couple + C. LE 16 ","Rural Area","261","0.518410377701384","0.476306231817942","0.560514523584826","4"
"Rarely","1985","Couple + C. GT 16 ","Urban Area","508","0.317050184270315","0.294474214500517","0.339626154040113","4"
"Rarely","1985","Couple + C. GT 16 ","Rural Area","107","0.273691939461848","0.228922976053861","0.318460902869835","4"
"Rarely","1985","Couple + C. LE and GT 16","Urban Area","325","0.344848656510594","0.3173291355748","0.372368177446388","4"
"Daily","1986","1-pers.-HH","Urban Area","","","","","1"
"Daily","1986","1-pers.-HH","Rural Area","","","","","1"
"Daily","1986","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1986","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1986","Single parent ","Urban Area","","","","","1"
"Daily","1986","Single parent ","Rural Area","","","","","1"
"Daily","1986","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1986","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1986","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1986","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1986","(Married) couple without C. ","Urban Area","260","0.109565937023927","0.0956019299348552","0.123529944112998","3"
"Min 1x per month","1986","1-pers.-HH","Urban Area","179","0.15926543514779","0.135947357696552","0.182583512599027","3"
"Min 1x per month","1986","1-pers.-HH","Rural Area","17","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","Rural Area","37","0.0713098379665693","0.047264443834971","0.0953552320981677","3"
"Min 1x per month","1986","Single parent ","Urban Area","73","0.194470650285347","0.155289897574571","0.233651402996122","3"
"Min 1x per month","1986","Single parent ","Rural Area","20","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","Urban Area","162","0.0907360903347077","0.0778376972267364","0.103634483442679","3"
"Min 1x per month","1986","Couple + C. LE 16 ","Rural Area","52","0.116580705231985","0.0882235723084994","0.14493783815547","3"
"Min 1x per month","1986","Couple + C. GT 16 ","Urban Area","335","0.204612536182983","0.185287253545213","0.223937818820753","3"
"Min 1x per month","1986","Couple + C. GT 16 ","Rural Area","70","0.16603935177182","0.130535934294357","0.201542769249284","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","Urban Area","180","0.176293651166083","0.153545649389945","0.199041652942222","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","Rural Area","54","0.176261817103042","0.134182708199712","0.218340926006372","3"
"Min 1x per week","1986","(Married) couple without C. ","Urban Area","85","0.0360994051932062","0.02775995255513","0.0444388578312824","2"
"Min 1x per week","1986","1-pers.-HH","Rural Area","13","","","","2"
"Min 1x per week","1986","1-pers.-HH","Urban Area","82","0.0693629035441653","0.0531725498993539","0.0855532571889766","2"
"Min 1x per week","1986","Single parent ","Urban Area","58","0.147240006223857","0.112162284379116","0.182317728068598","2"
"Min 1x per week","1986","Single parent ","Rural Area","27","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","Rural Area","18","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","Urban Area","80","0.0428628497494036","0.0337673156043177","0.0519583838944895","2"
"Min 1x per week","1986","Couple + C. LE 16 ","Rural Area","21","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","Urban Area","242","0.147053611697258","0.130088017329717","0.164019206064799","2"
"Min 1x per week","1986","Couple + C. GT 16 ","Rural Area","73","0.170234588413867","0.134375979985238","0.206093196842497","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","Urban Area","146","0.144786608500462","0.123780763595076","0.165792453405847","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","Rural Area","62","0.214818289914485","0.169464505749689","0.260172074079281","2"
"Never","1986","Couple + C. LE 16 ","Urban Area","839","0.384696489986306","0.36284885611476","0.406544123857852","5"
"Never","1986","Single parent ","Rural Area","35","0.330690068900877","0.244704933067022","0.416675204734732","5"
"Never","1986","Single parent ","Urban Area","144","0.361592090570758","0.314029702936639","0.409154478204876","5"
"Never","1986","1-pers.-HH","Urban Area","494","0.590868690190449","0.559537321315329","0.62220005906557","5"
"Never","1986","(Married) couple without C. ","Urban Area","1002","0.567804760888587","0.54565796498099","0.589951556796184","5"
"Never","1986","1-pers.-HH","Rural Area","105","0.664056460971457","0.592205977169512","0.735906944773402","5"
"Never","1986","Couple + C. LE 16 ","Rural Area","199","0.346935835879086","0.304875954163309","0.388995717594864","5"
"Never","1986","(Married) couple without C. ","Rural Area","258","0.624433818836758","0.579184900715994","0.669682736957521","5"
"Never","1986","Couple + C. GT 16 ","Urban Area","609","0.347011592919001","0.324208429919166","0.369814755918835","5"
"Never","1986","Couple + C. GT 16 ","Rural Area","150","0.363874907492857","0.317972106918096","0.409777708067617","5"
"Never","1986","Couple + C. LE and GT 16","Urban Area","446","0.345700383249639","0.317309626150343","0.374091140348936","5"
"Never","1986","Couple + C. LE and GT 16","Rural Area","90","0.247009334066027","0.199383313749039","0.294635354383015","5"
"Rarely","1986","1-pers.-HH","Rural Area","31","0.178314789869427","0.120085637922982","0.236543941815871","4"
"Rarely","1986","1-pers.-HH","Urban Area","191","0.180502971117596","0.155994377432603","0.205011564802589","4"
"Rarely","1986","(Married) couple without C. ","Urban Area","575","0.28652989689428","0.266316269273059","0.306743524515501","4"
