"pli0091_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Not Employed","Male","","","","","1"
"Daily","1985","Not Employed","Female","","","","","1"
"Daily","1985","Employed","Male","","","","","1"
"Daily","1985","Employed","Female","","","","","1"
"Min 1x per month","1985","Employed","Female","385","0.164039170377014","0.149832425432156","0.178245915321871","3"
"Min 1x per month","1985","Not Employed","Male","193","0.13094071518721","0.111996068809118","0.149885361565302","3"
"Min 1x per month","1985","Not Employed","Female","233","0.0687187743117734","0.0596053757963755","0.0778321728271712","3"
"Min 1x per month","1985","Employed","Male","658","0.163217415502518","0.15201000142096","0.174424829584076","3"
"Min 1x per week","1985","Employed","Male","506","0.121715270737352","0.111799966282864","0.131630575191839","2"
"Min 1x per week","1985","Not Employed","Male","172","0.11385556487579","0.0960172496051196","0.131693880146461","2"
"Min 1x per week","1985","Not Employed","Female","130","0.0372556693211538","0.0304330065515946","0.0440783320907129","2"
"Min 1x per week","1985","Employed","Female","234","0.103005904699385","0.0913444242133305","0.114667385185439","2"
"Never","1985","Not Employed","Male","611","0.577632359170399","0.549893057533979","0.605371660806819","5"
"Never","1985","Not Employed","Female","1864","0.678469976104125","0.661644075509821","0.695295876698429","5"
"Never","1985","Employed","Male","1496","0.323588890198363","0.309400993402599","0.337776786994128","5"
"Never","1985","Employed","Female","1014","0.338884414849351","0.320725397934822","0.357043431763881","5"
"Rarely","1985","Employed","Male","1517","0.391478423561767","0.376676854371307","0.406279992752228","4"
"Rarely","1985","Not Employed","Female","733","0.215555580262948","0.200741900240596","0.2303692602853","4"
"Rarely","1985","Employed","Female","977","0.39407051007425","0.375323766015557","0.412817254132944","4"
"Rarely","1985","Not Employed","Male","242","0.177571360766601","0.156109863324853","0.199032858208348","4"
"Daily","1986","Not Employed","Male","","","","","1"
"Daily","1986","Not Employed","Female","","","","","1"
"Daily","1986","Employed","Male","","","","","1"
"Daily","1986","Employed","Female","","","","","1"
"Min 1x per month","1986","Employed","Female","450","0.189170213844432","0.174127755219611","0.204212672469252","3"
"Min 1x per month","1986","Not Employed","Female","206","0.0633622080953582","0.0542154787595112","0.0725089374312053","3"
"Min 1x per month","1986","Employed","Male","649","0.163944886717844","0.152552571874107","0.17533720156158","3"
"Min 1x per month","1986","Not Employed","Male","220","0.153560834443815","0.132920230905264","0.174201437982365","3"
"Min 1x per week","1986","Employed","Male","483","0.123970416963571","0.113829808741192","0.134111025185951","2"
"Min 1x per week","1986","Employed","Female","205","0.0921247706842985","0.0810169491256752","0.103232592242922","2"
"Min 1x per week","1986","Not Employed","Male","157","0.0970546402862072","0.080106456198603","0.114002824373811","2"
"Min 1x per week","1986","Not Employed","Female","125","0.0372858361001935","0.0301723012829476","0.0443993709174395","2"
"Never","1986","Not Employed","Male","577","0.571446655244577","0.543114828506748","0.599778481982406","5"
"Never","1986","Not Employed","Female","1742","0.697961564743811","0.680722579521927","0.715200549965695","5"
"Never","1986","Employed","Male","1452","0.326745142772897","0.312312697977456","0.341177587568337","5"
"Never","1986","Employed","Female","971","0.320080937193717","0.302163078186832","0.337998796200602","5"
"Rarely","1986","Employed","Male","1473","0.385339553545688","0.370363926506341","0.400315180585036","4"
"Rarely","1986","Not Employed","Female","652","0.201390391060637","0.18633293945596","0.216447842665314","4"
"Rarely","1986","Not Employed","Male","218","0.177937870025401","0.156041566733753","0.199834173317048","4"
"Rarely","1986","Employed","Female","978","0.398624078277553","0.379818686619032","0.417429469936074","4"
"Daily","1987","Not Employed","Male","","","","","1"
"Daily","1987","Employed","Female","","","","","1"
"Daily","1987","Not Employed","Female","","","","","1"
"Daily","1987","Employed","Male","","","","","1"
"Min 1x per month","1987","Employed","Female","","","","","3"
"Min 1x per month","1987","Employed","Male","","","","","3"
"Min 1x per month","1987","Not Employed","Male","","","","","3"
"Min 1x per month","1987","Not Employed","Female","","","","","3"
"Min 1x per week","1987","Employed","Female","","","","","2"
"Min 1x per week","1987","Not Employed","Female","","","","","2"
"Min 1x per week","1987","Not Employed","Male","","","","","2"
"Min 1x per week","1987","Employed","Male","","","","","2"
"Never","1987","Not Employed","Male","","","","","5"
"Never","1987","Not Employed","Female","","","","","5"
"Never","1987","Employed","Male","","","","","5"
"Never","1987","Employed","Female","","","","","5"
"Rarely","1987","Not Employed","Male","","","","","4"
