"ple0182","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Schleswig-Holstein","lower secondary degree","7","","",""
"Yes, vegetarian","2016","Schleswig-Holstein","secondary school degree","14","","",""
"Yes, vegetarian","2016","Schleswig-Holstein","college entrance qualification","20","","",""
"Yes, vegetarian","2016","Schleswig-Holstein","Other degree","2","","",""
"Yes, vegetarian","2016","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes, vegetarian","2016","Hamburg","lower secondary degree","","","",""
"Yes, vegetarian","2016","Hamburg","secondary school degree","5","","",""
"Yes, vegetarian","2016","Hamburg","college entrance qualification","13","","",""
"Yes, vegetarian","2016","Hamburg","Other degree","3","","",""
"Yes, vegetarian","2016","Hamburg","no degree/no degree yet","2","","",""
"Yes, vegetarian","2016","Lower Saxony","lower secondary degree","7","","",""
"Yes, vegetarian","2016","Lower Saxony","secondary school degree","19","","",""
"Yes, vegetarian","2016","Lower Saxony","college entrance qualification","43","0.0636417590013462","0.0449470139479511","0.0823365040547413"
"Yes, vegetarian","2016","Lower Saxony","Other degree","10","","",""
"Yes, vegetarian","2016","Lower Saxony","no degree/no degree yet","3","","",""
"Yes, vegetarian","2016","Bremen","lower secondary degree","","","",""
"Yes, vegetarian","2016","Bremen","secondary school degree","1","","",""
"Yes, vegetarian","2016","Bremen","college entrance qualification","6","","",""
"Yes, vegetarian","2016","Bremen","Other degree","1","","",""
"Yes, vegetarian","2016","Bremen","no degree/no degree yet","","","",""
"Yes, vegetarian","2016","North Rhine-Westphalia","lower secondary degree","31","0.0250066451934637","0.0162231515448386","0.0337901388420887"
"Yes, vegetarian","2016","North Rhine-Westphalia","secondary school degree","38","0.0479201124364991","0.0347210005504437","0.0611192243225545"
"Yes, vegetarian","2016","North Rhine-Westphalia","college entrance qualification","124","0.0759361390128323","0.0629320725282182","0.0889402054974465"
"Yes, vegetarian","2016","North Rhine-Westphalia","Other degree","23","","",""
"Yes, vegetarian","2016","North Rhine-Westphalia","no degree/no degree yet","9","","",""
"Yes, vegetarian","2016","Hesse","lower secondary degree","7","","",""
"Yes, vegetarian","2016","Hesse","secondary school degree","17","","",""
"Yes, vegetarian","2016","Hesse","college entrance qualification","44","0.0776708291513881","0.0551998610732737","0.100141797229503"
"Yes, vegetarian","2016","Hesse","Other degree","15","","",""
"Yes, vegetarian","2016","Hesse","no degree/no degree yet","4","","",""
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","lower secondary degree","6","","",""
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","secondary school degree","10","","",""
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","college entrance qualification","33","0.152692559200538","0.1145715415964","0.190813576804676"
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes, vegetarian","2016","Baden-Württemberg","lower secondary degree","26","","",""
"Yes, vegetarian","2016","Baden-Württemberg","secondary school degree","43","0.0478333903277957","0.031839942575668","0.0638268380799233"
"Yes, vegetarian","2016","Baden-Württemberg","college entrance qualification","75","0.0829755951517263","0.0641981517909144","0.101753038512538"
"Yes, vegetarian","2016","Baden-Württemberg","Other degree","14","","",""
"Yes, vegetarian","2016","Baden-Württemberg","no degree/no degree yet","4","","",""
"Yes, vegetarian","2016","Bavaria","lower secondary degree","19","","",""
"Yes, vegetarian","2016","Bavaria","secondary school degree","57","0.0671971261475742","0.0511236273363686","0.0832706249587799"
"Yes, vegetarian","2016","Bavaria","college entrance qualification","88","0.0996991503365861","0.0803606768630736","0.119037623810099"
"Yes, vegetarian","2016","Bavaria","Other degree","26","","",""
