"ple0182","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Not Employed","Full Time","","","",""
"Yes, vegetarian","2016","Not Employed","Part Time","","","",""
"Yes, vegetarian","2016","Not Employed","Not Working","330","0.0438020773327659","0.0393501832911065","0.0482539713744252"
"Yes, vegetarian","2016","Employed","Full Time","388","0.040112493228876","0.0360934610638511","0.0441315253939008"
"Yes, vegetarian","2016","Employed","Part Time","463","0.0762820301287867","0.0700444245900678","0.0825196356675056"
"Yes, vegetarian","2016","Employed","Not Working","","","",""
"Yes, vegan","2016","Not Employed","Full Time","","","",""
"Yes, vegan","2016","Not Employed","Part Time","","","",""
"Yes, vegan","2016","Not Employed","Not Working","40","0.0048673701786957","0.0033534211998693","0.00638131915752209"
"Yes, vegan","2016","Employed","Full Time","50","0.00557812507054193","0.00405266465571555","0.00710358548536831"
"Yes, vegan","2016","Employed","Part Time","44","0.00934058885686223","0.00708018311261711","0.0116009946011073"
"Yes, vegan","2016","Employed","Not Working","","","",""
"No","2016","Not Employed","Full Time","","","",""
"No","2016","Not Employed","Part Time","","","",""
"No","2016","Not Employed","Not Working","7748","0.951330552488538","0.94664978037289","0.956011324604186"
"No","2016","Employed","Full Time","8719","0.954309381700582","0.950032476754986","0.958586286646178"
"No","2016","Employed","Part Time","6450","0.914377381014351","0.907802406400027","0.920952355628676"
"No","2016","Employed","Not Working","","","",""
"Yes, vegetarian","2017","Not Employed","Full Time","","","",""
"Yes, vegetarian","2017","Not Employed","Part Time","","","",""
"Yes, vegetarian","2017","Not Employed","Not Working","","","",""
"Yes, vegetarian","2017","Employed","Full Time","","","",""
"Yes, vegetarian","2017","Employed","Part Time","","","",""
"Yes, vegetarian","2017","Employed","Not Working","","","",""
"Yes, vegan","2017","Not Employed","Full Time","","","",""
"Yes, vegan","2017","Not Employed","Part Time","","","",""
"Yes, vegan","2017","Not Employed","Not Working","","","",""
"Yes, vegan","2017","Employed","Full Time","","","",""
"Yes, vegan","2017","Employed","Part Time","","","",""
"Yes, vegan","2017","Employed","Not Working","","","",""
"No","2017","Not Employed","Full Time","","","",""
"No","2017","Not Employed","Part Time","","","",""
"No","2017","Not Employed","Not Working","","","",""
"No","2017","Employed","Full Time","","","",""
"No","2017","Employed","Part Time","","","",""
"No","2017","Employed","Not Working","","","",""
"Yes, vegetarian","2018","Not Employed","Full Time","","","",""
"Yes, vegetarian","2018","Not Employed","Part Time","","","",""
"Yes, vegetarian","2018","Not Employed","Not Working","358","0.0394219156924144","0.0352304287070007","0.0436134026778281"
"Yes, vegetarian","2018","Employed","Full Time","479","0.0516845155993948","0.0473261456603648","0.0560428855384248"
"Yes, vegetarian","2018","Employed","Part Time","569","0.0772818557107161","0.0712527770872894","0.0833109343341429"
"Yes, vegetarian","2018","Employed","Not Working","","","",""
"Yes, vegan","2018","Not Employed","Full Time","","","",""
"Yes, vegan","2018","Not Employed","Part Time","","","",""
"Yes, vegan","2018","Not Employed","Not Working","54","0.00665479236230044","0.00490353377518006","0.00840605094942082"
"Yes, vegan","2018","Employed","Full Time","50","0.00626290884407781","0.00470983809659835","0.00781597959155728"
"Yes, vegan","2018","Employed","Part Time","56","0.00851371074235985","0.00643936832587313","0.0105880531588466"
"Yes, vegan","2018","Employed","Not Working","","","",""
"No","2018","Not Employed","Full Time","","","",""
"No","2018","Not Employed","Part Time","","","",""
"No","2018","Not Employed","Not Working","7868","0.953923291945285","0.949407536951455","0.958439046939116"
"No","2018","Employed","Full Time","9383","0.942052575556527","0.937452954177462","0.946652196935593"
"No","2018","Employed","Part Time","6911","0.914204433546924","0.907881309080862","0.920527558012986"
"No","2018","Employed","Not Working","","","",""
