"ple0182","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Full Time","Male","136","0.0202136673430637","0.0166315021348295","0.0237958325512979"
"Yes, vegetarian","2016","Full Time","Female","252","0.0781962896696153","0.0689345274439274","0.0874580518953032"
"Yes, vegetarian","2016","Part Time","Male","72","0.047531959361991","0.0377727245138432","0.0572911942101388"
"Yes, vegetarian","2016","Part Time","Female","391","0.0894538825645528","0.0816448424347755","0.0972629226943301"
"Yes, vegetarian","2016","Not Working","Male","78","0.026801895282427","0.0213131844772313","0.0322906060876227"
"Yes, vegetarian","2016","Not Working","Female","252","0.056463521000619","0.0499284093397003","0.0629986326615376"
"Yes, vegan","2016","Full Time","Male","19","","",""
"Yes, vegan","2016","Full Time","Female","31","0.0089744146833095","0.00572109434644745","0.0122277350201715"
"Yes, vegan","2016","Part Time","Male","11","","",""
"Yes, vegan","2016","Part Time","Female","33","0.00801273384044009","0.00557329187407233","0.0104521758068079"
"Yes, vegan","2016","Not Working","Male","10","","",""
"Yes, vegan","2016","Not Working","Female","30","0.00645838904304247","0.00419037981110963","0.00872639827497531"
"No","2016","Full Time","Male","5774","0.975982772676495","0.972085687696489","0.979879857656502"
"No","2016","Full Time","Female","2945","0.912829295647075","0.90309820786274","0.92256038343141"
"No","2016","Part Time","Male","1743","0.940229155897834","0.929355908837864","0.951102402957805"
"No","2016","Part Time","Female","4707","0.902533383595007","0.894418044600091","0.910648722589923"
"No","2016","Not Working","Male","3238","0.970466953049891","0.964713461599959","0.976220444499822"
"No","2016","Not Working","Female","4510","0.937078089956338","0.930202997753804","0.943953182158873"
"Yes, vegetarian","2017","Full Time","Male","","","",""
"Yes, vegetarian","2017","Full Time","Female","","","",""
"Yes, vegetarian","2017","Part Time","Male","","","",""
"Yes, vegetarian","2017","Part Time","Female","","","",""
"Yes, vegetarian","2017","Not Working","Male","","","",""
"Yes, vegetarian","2017","Not Working","Female","","","",""
"Yes, vegan","2017","Full Time","Male","","","",""
"Yes, vegan","2017","Full Time","Female","","","",""
"Yes, vegan","2017","Part Time","Male","","","",""
"Yes, vegan","2017","Part Time","Female","","","",""
"Yes, vegan","2017","Not Working","Male","","","",""
"Yes, vegan","2017","Not Working","Female","","","",""
"No","2017","Full Time","Male","","","",""
"No","2017","Full Time","Female","","","",""
"No","2017","Part Time","Male","","","",""
"No","2017","Part Time","Female","","","",""
"No","2017","Not Working","Male","","","",""
"No","2017","Not Working","Female","","","",""
"Yes, vegetarian","2018","Full Time","Male","172","0.0287677911854617","0.0246438373221064","0.032891745048817"
"Yes, vegetarian","2018","Full Time","Female","307","0.0941980854891787","0.0846575184942776","0.10373865248408"
"Yes, vegetarian","2018","Part Time","Male","96","0.0476684737622511","0.0384810735154256","0.0568558740090766"
"Yes, vegetarian","2018","Part Time","Female","473","0.0920465327073115","0.0843854537124844","0.0997076117021386"
"Yes, vegetarian","2018","Not Working","Male","87","0.0258242977430888","0.020550741364405","0.0310978541217726"
"Yes, vegetarian","2018","Not Working","Female","271","0.0495046884230226","0.0433713129768019","0.0556380638692433"
"Yes, vegan","2018","Full Time","Male","20","","",""
"Yes, vegan","2018","Full Time","Female","30","0.00979584351132318","0.00657907490137876","0.0130126121212676"
"Yes, vegan","2018","Part Time","Male","8","","",""
"Yes, vegan","2018","Part Time","Female","48","0.00906649364188688","0.00655462823319348","0.0115783590505803"
"Yes, vegan","2018","Not Working","Male","19","","",""
"Yes, vegan","2018","Not Working","Female","35","0.00716979964107979","0.0047842283788192","0.00955537090334037"
"No","2018","Full Time","Male","6119","0.966873710499889","0.962458308262961","0.971289112736817"
"No","2018","Full Time","Female","3264","0.896006070999498","0.886036051681882","0.905976090317114"
"No","2018","Part Time","Male","1962","0.944926527263486","0.935089742149558","0.954763312377414"
"No","2018","Part Time","Female","4949","0.898886973650802","0.890897640601568","0.906876306700035"
"No","2018","Not Working","Male","3369","0.96821544823293","0.962382814086471","0.974048082379388"
"No","2018","Not Working","Female","4499","0.943325511935898","0.936787796882245","0.949863226989551"
