"ple0182","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","16-34 y.","in school","28","","",""
"Yes, vegetarian","2016","16-34 y.","inadequately","2","","",""
"Yes, vegetarian","2016","16-34 y.","general elemantary","31","0.0423592610409521","0.0294770387461087","0.0552414833357955"
"Yes, vegetarian","2016","16-34 y.","middle vocational","140","0.0771991600403952","0.0659536348974107","0.0884446851833798"
"Yes, vegetarian","2016","16-34 y.","vocational + Abi","37","0.0966253852494252","0.0701672096300177","0.123083560868833"
"Yes, vegetarian","2016","16-34 y.","higher vocational","5","","",""
"Yes, vegetarian","2016","16-34 y.","higher education","120","0.124639791337838","0.103535292846678","0.145744289828999"
"Yes, vegetarian","2016","35-65 y.","in school","","","",""
"Yes, vegetarian","2016","35-65 y.","inadequately","1","","",""
"Yes, vegetarian","2016","35-65 y.","general elemantary","14","","",""
"Yes, vegetarian","2016","35-65 y.","middle vocational","197","0.0287046149269425","0.0246182689089359","0.0327909609449491"
"Yes, vegetarian","2016","35-65 y.","vocational + Abi","84","0.055376072901841","0.0434508211006114","0.0673013247030707"
"Yes, vegetarian","2016","35-65 y.","higher vocational","42","0.0496890725544106","0.0359716385006732","0.063406506608148"
"Yes, vegetarian","2016","35-65 y.","higher education","301","0.0830244824787091","0.0742004467466345","0.0918485182107837"
"Yes, vegetarian","2016","66 and older","in school","","","",""
"Yes, vegetarian","2016","66 and older","inadequately","","","",""
"Yes, vegetarian","2016","66 and older","general elemantary","11","","",""
"Yes, vegetarian","2016","66 and older","middle vocational","68","0.0374168850169861","0.0298696605307228","0.0449641095032495"
"Yes, vegetarian","2016","66 and older","vocational + Abi","4","","",""
"Yes, vegetarian","2016","66 and older","higher vocational","13","","",""
"Yes, vegetarian","2016","66 and older","higher education","48","0.0558931142934114","0.0428797150860832","0.0689065135007397"
"Yes, vegan","2016","16-34 y.","in school","3","","",""
"Yes, vegan","2016","16-34 y.","inadequately","","","",""
"Yes, vegan","2016","16-34 y.","general elemantary","6","","",""
"Yes, vegan","2016","16-34 y.","middle vocational","16","","",""
"Yes, vegan","2016","16-34 y.","vocational + Abi","","","",""
"Yes, vegan","2016","16-34 y.","higher vocational","1","","",""
"Yes, vegan","2016","16-34 y.","higher education","7","","",""
"Yes, vegan","2016","35-65 y.","in school","","","",""
"Yes, vegan","2016","35-65 y.","inadequately","1","","",""
"Yes, vegan","2016","35-65 y.","general elemantary","5","","",""
"Yes, vegan","2016","35-65 y.","middle vocational","32","0.00497998313122016","0.00325726804148873","0.00670269822095159"
"Yes, vegan","2016","35-65 y.","vocational + Abi","8","","",""
"Yes, vegan","2016","35-65 y.","higher vocational","3","","",""
"Yes, vegan","2016","35-65 y.","higher education","27","","",""
"Yes, vegan","2016","66 and older","in school","","","",""
"Yes, vegan","2016","66 and older","inadequately","","","",""
"Yes, vegan","2016","66 and older","general elemantary","","","",""
"Yes, vegan","2016","66 and older","middle vocational","16","","",""
"Yes, vegan","2016","66 and older","vocational + Abi","1","","",""
"Yes, vegan","2016","66 and older","higher vocational","","","",""
"Yes, vegan","2016","66 and older","higher education","3","","",""
"No","2016","16-34 y.","in school","302","0.937071775374599","0.910990120580216","0.963153430168982"
"No","2016","16-34 y.","inadequately","116","0.995109039861308","0.982521539825613","1.007696539897"
"No","2016","16-34 y.","general elemantary","902","0.952521792662767","0.938919882204436","0.966123703121099"
"No","2016","16-34 y.","middle vocational","2008","0.915046304201615","0.903299164408828","0.926793443994402"
"No","2016","16-34 y.","vocational + Abi","442","0.903374614750575","0.876916439131167","0.929832790369982"
"No","2016","16-34 y.","higher vocational","107","0.966673642021502","0.933580139407879","0.999767144635125"
"No","2016","16-34 y.","higher education","814","0.858435961684968","0.83616270601674","0.880709217353196"
"No","2016","35-65 y.","in school","","","",""
"No","2016","35-65 y.","inadequately","243","0.983853688524814","0.968071509300544","0.999635867749085"
"No","2016","35-65 y.","general elemantary","989","0.9817973311475","0.973544626877319","0.990050035417681"
"No","2016","35-65 y.","middle vocational","6185","0.966315401941837","0.961900116870978","0.970730687012696"
"No","2016","35-65 y.","vocational + Abi","1321","0.936934517473946","0.924260115084239","0.949608919863652"
"No","2016","35-65 y.","higher vocational","919","0.948111210592559","0.934109664829582","0.962112756355536"
"No","2016","35-65 y.","higher education","3428","0.908499978616654","0.899279396122491","0.917720561110818"
"No","2016","66 and older","in school","","","",""
"No","2016","66 and older","inadequately","39","1","1","1"
"No","2016","66 and older","general elemantary","614","0.985666386140609","0.976347781083888","0.99498499119733"
"No","2016","66 and older","middle vocational","2345","0.954727177358745","0.94645932405118","0.962995030666309"
"No","2016","66 and older","vocational + Abi","125","0.973833419476476","0.946392905721996","1.00127393323096"
"No","2016","66 and older","higher vocational","314","0.958588660511974","0.936993820169724","0.980183500854223"
"No","2016","66 and older","higher education","1146","0.941623881354858","0.928342068517339","0.954905694192376"
"Yes, vegetarian","2017","16-34 y.","in school","","","",""
"Yes, vegetarian","2017","16-34 y.","inadequately","","","",""
"Yes, vegetarian","2017","16-34 y.","general elemantary","","","",""
