"ple0182","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Schleswig-Holstein","West Germany","49","0.0685041774690945","0.0511932465605544","0.0858151083776346"
"Yes, vegetarian","2016","Schleswig-Holstein","East Germany","","","",""
"Yes, vegetarian","2016","Hamburg","West Germany","23","","",""
"Yes, vegetarian","2016","Hamburg","East Germany","","","",""
"Yes, vegetarian","2016","Lower Saxony","West Germany","87","0.0373495416681204","0.0297203913617948","0.044978691974446"
"Yes, vegetarian","2016","Lower Saxony","East Germany","","","",""
"Yes, vegetarian","2016","Bremen","West Germany","9","","",""
"Yes, vegetarian","2016","Bremen","East Germany","","","",""
"Yes, vegetarian","2016","North Rhine-Westphalia","West Germany","238","0.0491782139533563","0.0432118408802391","0.0551445870264736"
"Yes, vegetarian","2016","North Rhine-Westphalia","East Germany","","","",""
"Yes, vegetarian","2016","Hesse","West Germany","95","0.0535206595198212","0.0425267679170211","0.0645145511226212"
"Yes, vegetarian","2016","Hesse","East Germany","","","",""
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","West Germany","55","0.0517276282919971","0.0404517125720338","0.0630035440119604"
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes, vegetarian","2016","Baden-Württemberg","West Germany","165","0.05284003477886","0.0446252709861381","0.0610547985715819"
"Yes, vegetarian","2016","Baden-Württemberg","East Germany","","","",""
"Yes, vegetarian","2016","Bavaria","West Germany","202","0.0546334826101159","0.0474899256181248","0.061777039602107"
"Yes, vegetarian","2016","Bavaria","East Germany","","","",""
"Yes, vegetarian","2016","Berlin","West Germany","70","0.145918848483862","0.115517805959752","0.176319891007973"
"Yes, vegetarian","2016","Berlin","East Germany","32","0.0707309309008765","0.0453191477774082","0.0961427140243449"
"Yes, vegetarian","2016","Brandenburg","West Germany","","","",""
"Yes, vegetarian","2016","Brandenburg","East Germany","27","","",""
"Yes, vegetarian","2016","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes, vegetarian","2016","Mecklenburg-Western Pomerania","East Germany","9","","",""
"Yes, vegetarian","2016","Saxony","West Germany","","","",""
"Yes, vegetarian","2016","Saxony","East Germany","60","0.0450942630207955","0.0344391217242939","0.0557494043172971"
"Yes, vegetarian","2016","Saxony-Anhalt","West Germany","","","",""
"Yes, vegetarian","2016","Saxony-Anhalt","East Germany","23","","",""
"Yes, vegetarian","2016","Thuringia","West Germany","","","",""
"Yes, vegetarian","2016","Thuringia","East Germany","37","0.0389607747042603","0.0263399258764733","0.0515816235320474"
"Yes, vegan","2016","Schleswig-Holstein","West Germany","3","","",""
"Yes, vegan","2016","Schleswig-Holstein","East Germany","","","",""
"Yes, vegan","2016","Hamburg","West Germany","","","",""
"Yes, vegan","2016","Hamburg","East Germany","","","",""
"Yes, vegan","2016","Lower Saxony","West Germany","17","","",""
"Yes, vegan","2016","Lower Saxony","East Germany","","","",""
"Yes, vegan","2016","Bremen","West Germany","1","","",""
"Yes, vegan","2016","Bremen","East Germany","","","",""
"Yes, vegan","2016","North Rhine-Westphalia","West Germany","23","","",""
"Yes, vegan","2016","North Rhine-Westphalia","East Germany","","","",""
"Yes, vegan","2016","Hesse","West Germany","7","","",""
"Yes, vegan","2016","Hesse","East Germany","","","",""
"Yes, vegan","2016","Rhineland-Palatinate,Saarland","West Germany","6","","",""
"Yes, vegan","2016","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Yes, vegan","2016","Baden-Württemberg","West Germany","18","","",""
"Yes, vegan","2016","Baden-Württemberg","East Germany","","","",""
"Yes, vegan","2016","Bavaria","West Germany","25","","",""
"Yes, vegan","2016","Bavaria","East Germany","","","",""
"Yes, vegan","2016","Berlin","West Germany","5","","",""
"Yes, vegan","2016","Berlin","East Germany","4","","",""
"Yes, vegan","2016","Brandenburg","West Germany","","","",""
"Yes, vegan","2016","Brandenburg","East Germany","4","","",""
"Yes, vegan","2016","Mecklenburg-Western Pomerania","West Germany","","","",""
"Yes, vegan","2016","Mecklenburg-Western Pomerania","East Germany","3","","",""
"Yes, vegan","2016","Saxony","West Germany","","","",""
"Yes, vegan","2016","Saxony","East Germany","5","","",""
"Yes, vegan","2016","Saxony-Anhalt","West Germany","","","",""
"Yes, vegan","2016","Saxony-Anhalt","East Germany","5","","",""
"Yes, vegan","2016","Thuringia","West Germany","","","",""
"Yes, vegan","2016","Thuringia","East Germany","8","","",""
"No","2016","Schleswig-Holstein","West Germany","766","0.930482394422018","0.913053376282753","0.947911412561283"
