"ple0182","year","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Male","286","0.0266915344002831","0.0236905023456467","0.0296925664549194"
"Yes, vegetarian","2016","Female","895","0.0731738261613918","0.0687229477623012","0.0776247045604823"
"Yes, vegan","2016","Male","40","0.00482198842667887","0.00353218929183649","0.00611178756152126"
"Yes, vegan","2016","Female","94","0.00763449619080906","0.00614686689243258","0.00912212548918554"
"No","2016","Male","10755","0.968486477173038","0.965233703311033","0.971739251035043"
"No","2016","Female","12162","0.919191677647799","0.914533674376418","0.92384968091918"
"Yes, vegetarian","2017","Male","","","",""
"Yes, vegetarian","2017","Female","","","",""
"Yes, vegan","2017","Male","","","",""
"Yes, vegan","2017","Female","","","",""
"No","2017","Male","","","",""
"No","2017","Female","","","",""
"Yes, vegetarian","2018","Male","355","0.0312082250605758","0.0280778092688866","0.034338640852265"
"Yes, vegetarian","2018","Female","1051","0.0759771492531894","0.0715685685208346","0.0803857299855442"
"Yes, vegan","2018","Male","47","0.00537992430554736","0.00406297528780051","0.00669687332329421"
"Yes, vegan","2018","Female","113","0.0085207948197593","0.00699147680550283","0.0100501128340158"
"No","2018","Male","11450","0.963411850633877","0.96003175892795","0.966791942339803"
"No","2018","Female","12712","0.915502055927051","0.910874318830954","0.920129793023149"
