"ple0182","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","1-pers.-HH","257","0.0694991788933907","0.0610550037027717","0.0779433540840097"
"Yes, vegetarian","2016","(Married) couple without C. ","281","0.0405786733168206","0.0360662919520591","0.0450910546815822"
"Yes, vegetarian","2016","Single parent ","147","0.0612324274298603","0.0510838427807048","0.0713810120790158"
"Yes, vegetarian","2016","Couple + C. LE 16 ","266","0.0520880122501186","0.0463585716360281","0.0578174528642091"
"Yes, vegetarian","2016","Couple + C. GT 16 ","115","0.0445183325885422","0.0368029486812229","0.0522337164958614"
"Yes, vegetarian","2016","Couple + C. LE and GT 16","91","0.0312357515918794","0.0237708176199804","0.0387006855637783"
"Yes, vegan","2016","1-pers.-HH","28","","",""
"Yes, vegan","2016","(Married) couple without C. ","40","0.00684764210775144","0.00496169001341978","0.00873359420208309"
"Yes, vegan","2016","Single parent ","15","","",""
"Yes, vegan","2016","Couple + C. LE 16 ","24","","",""
"Yes, vegan","2016","Couple + C. GT 16 ","11","","",""
"Yes, vegan","2016","Couple + C. LE and GT 16","10","","",""
"No","2016","1-pers.-HH","3199","0.92264664480079","0.913775773077228","0.931517516524352"
"No","2016","(Married) couple without C. ","7024","0.952573684575428","0.947712846282491","0.957434522868365"
"No","2016","Single parent ","1982","0.931956596542444","0.921297348754376","0.942615844330511"
"No","2016","Couple + C. LE 16 ","5488","0.941710481579577","0.935669420065224","0.94775154309393"
"No","2016","Couple + C. GT 16 ","2619","0.952633495108498","0.944687002014007","0.96057998820299"
"No","2016","Couple + C. LE and GT 16","1985","0.966809026943861","0.959121772084256","0.974496281803466"
"Yes, vegetarian","2017","1-pers.-HH","","","",""
"Yes, vegetarian","2017","(Married) couple without C. ","","","",""
"Yes, vegetarian","2017","Single parent ","","","",""
"Yes, vegetarian","2017","Couple + C. LE 16 ","","","",""
"Yes, vegetarian","2017","Couple + C. GT 16 ","","","",""
"Yes, vegetarian","2017","Couple + C. LE and GT 16","","","",""
"Yes, vegan","2017","1-pers.-HH","","","",""
"Yes, vegan","2017","(Married) couple without C. ","","","",""
"Yes, vegan","2017","Single parent ","","","",""
"Yes, vegan","2017","Couple + C. LE 16 ","","","",""
"Yes, vegan","2017","Couple + C. GT 16 ","","","",""
"Yes, vegan","2017","Couple + C. LE and GT 16","","","",""
"No","2017","1-pers.-HH","","","",""
"No","2017","(Married) couple without C. ","","","",""
"No","2017","Single parent ","","","",""
"No","2017","Couple + C. LE 16 ","","","",""
"No","2017","Couple + C. GT 16 ","","","",""
"No","2017","Couple + C. LE and GT 16","","","",""
"Yes, vegetarian","2018","1-pers.-HH","349","0.07994914309129","0.0716715974051946","0.0882266887773854"
"Yes, vegetarian","2018","(Married) couple without C. ","354","0.0443300289972284","0.0398202859765988","0.0488397720178579"
"Yes, vegetarian","2018","Single parent ","169","0.0694399842494984","0.0588586058548577","0.0800213626441391"
"Yes, vegetarian","2018","Couple + C. LE 16 ","250","0.0432659796564042","0.0378698685625565","0.0486620907502519"
"Yes, vegetarian","2018","Couple + C. GT 16 ","135","0.0428531682302297","0.0356180506363448","0.0500882858241146"
"Yes, vegetarian","2018","Couple + C. LE and GT 16","125","0.0357546345930178","0.0279763261229124","0.0435329430631233"
"Yes, vegan","2018","1-pers.-HH","46","0.0121292906238028","0.00878844415237236","0.0154701370952332"
"Yes, vegan","2018","(Married) couple without C. ","38","0.00591110267772375","0.0042315420676628","0.0075906632877847"
"Yes, vegan","2018","Single parent ","21","","",""
"Yes, vegan","2018","Couple + C. LE 16 ","21","","",""
"Yes, vegan","2018","Couple + C. GT 16 ","15","","",""
"Yes, vegan","2018","Couple + C. LE and GT 16","15","","",""
"No","2018","1-pers.-HH","3729","0.907921566284907","0.89909703005624","0.916746102513574"
"No","2018","(Married) couple without C. ","7610","0.949758868325048","0.944972730476374","0.954545006173721"
"No","2018","Single parent ","2027","0.922852894217022","0.911746034089016","0.933959754345029"
"No","2018","Couple + C. LE 16 ","5190","0.95376495089437","0.948195423507909","0.95933447828083"
"No","2018","Couple + C. GT 16 ","2860","0.951351719740756","0.943666272541877","0.959037166939635"
"No","2018","Couple + C. LE and GT 16","2049","0.960429069843683","0.95226238139453","0.968595758292835"
