"ple0182","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2017","Part Time","1-pers.-HH","","","",""
"Yes, vegetarian","2017","Part Time","(Married) couple without C. ","","","",""
"Yes, vegetarian","2017","Part Time","Single parent ","","","",""
"Yes, vegetarian","2017","Part Time","Couple + C. LE 16 ","","","",""
"Yes, vegetarian","2017","Part Time","Couple + C. GT 16 ","","","",""
"Yes, vegetarian","2017","Part Time","Couple + C. LE and GT 16","","","",""
"Yes, vegetarian","2017","Not Working","1-pers.-HH","","","",""
"Yes, vegetarian","2017","Not Working","(Married) couple without C. ","","","",""
"Yes, vegetarian","2017","Not Working","Single parent ","","","",""
"Yes, vegetarian","2017","Not Working","Couple + C. LE 16 ","","","",""
"Yes, vegetarian","2017","Not Working","Couple + C. GT 16 ","","","",""
"Yes, vegetarian","2017","Not Working","Couple + C. LE and GT 16","","","",""
"Yes, vegan","2017","Full Time","1-pers.-HH","","","",""
"Yes, vegan","2017","Full Time","(Married) couple without C. ","","","",""
"Yes, vegan","2017","Full Time","Single parent ","","","",""
"Yes, vegan","2017","Full Time","Couple + C. LE 16 ","","","",""
"Yes, vegan","2017","Full Time","Couple + C. GT 16 ","","","",""
"Yes, vegan","2017","Full Time","Couple + C. LE and GT 16","","","",""
"Yes, vegan","2017","Part Time","1-pers.-HH","","","",""
"Yes, vegan","2017","Part Time","(Married) couple without C. ","","","",""
"Yes, vegan","2017","Part Time","Single parent ","","","",""
"Yes, vegan","2017","Part Time","Couple + C. LE 16 ","","","",""
"Yes, vegan","2017","Part Time","Couple + C. GT 16 ","","","",""
"Yes, vegan","2017","Part Time","Couple + C. LE and GT 16","","","",""
"Yes, vegan","2017","Not Working","1-pers.-HH","","","",""
"Yes, vegan","2017","Not Working","(Married) couple without C. ","","","",""
"Yes, vegan","2017","Not Working","Single parent ","","","",""
"Yes, vegan","2017","Not Working","Couple + C. LE 16 ","","","",""
"Yes, vegan","2017","Not Working","Couple + C. GT 16 ","","","",""
"Yes, vegan","2017","Not Working","Couple + C. LE and GT 16","","","",""
"No","2017","Full Time","1-pers.-HH","","","",""
"No","2017","Full Time","(Married) couple without C. ","","","",""
"No","2017","Full Time","Single parent ","","","",""
"No","2017","Full Time","Couple + C. LE 16 ","","","",""
"No","2017","Full Time","Couple + C. GT 16 ","","","",""
"No","2017","Full Time","Couple + C. LE and GT 16","","","",""
"No","2017","Part Time","1-pers.-HH","","","",""
"No","2017","Part Time","(Married) couple without C. ","","","",""
"No","2017","Part Time","Single parent ","","","",""
"No","2017","Part Time","Couple + C. LE 16 ","","","",""
"No","2017","Part Time","Couple + C. GT 16 ","","","",""
"No","2017","Part Time","Couple + C. LE and GT 16","","","",""
"No","2017","Not Working","1-pers.-HH","","","",""
"No","2017","Not Working","(Married) couple without C. ","","","",""
"No","2017","Not Working","Single parent ","","","",""
"No","2017","Not Working","Couple + C. LE 16 ","","","",""
"No","2017","Not Working","Couple + C. GT 16 ","","","",""
"No","2017","Not Working","Couple + C. LE and GT 16","","","",""
"Yes, vegetarian","2018","Full Time","1-pers.-HH","122","0.0879416322847285","0.0732113016162788","0.102671962953178"
"Yes, vegetarian","2018","Full Time","(Married) couple without C. ","142","0.0555793941826216","0.0469772945359606","0.0641814938292825"
"Yes, vegetarian","2018","Full Time","Single parent ","58","0.0708101187366685","0.0521899237695768","0.0894303137037602"
"Yes, vegetarian","2018","Full Time","Couple + C. LE 16 ","94","0.0309926378441025","0.0243619438650953","0.0376233318231097"
"Yes, vegetarian","2018","Full Time","Couple + C. GT 16 ","28","","",""
"Yes, vegetarian","2018","Full Time","Couple + C. LE and GT 16","34","0.0229908389764551","0.0130031096285605","0.0329785683243498"
"Yes, vegetarian","2018","Part Time","1-pers.-HH","132","0.131140791167824","0.109185016210107","0.153096566125541"
"Yes, vegetarian","2018","Part Time","(Married) couple without C. ","108","0.0684914574938185","0.0563515999237549","0.0806313150638821"
"Yes, vegetarian","2018","Part Time","Single parent ","65","0.0711568439335141","0.0537193373472338","0.0885943505197945"
"Yes, vegetarian","2018","Part Time","Couple + C. LE 16 ","133","0.0658337110243061","0.0552872415807915","0.0763801804678206"
"Yes, vegetarian","2018","Part Time","Couple + C. GT 16 ","65","0.060620950971774","0.0458820478875764","0.0753598540559716"
"Yes, vegetarian","2018","Part Time","Couple + C. LE and GT 16","56","0.0404856228585828","0.0268872332671054","0.0540840124500601"
"Yes, vegetarian","2018","Not Working","1-pers.-HH","95","0.051376171788303","0.0411662407258658","0.0615861028507402"
"Yes, vegetarian","2018","Not Working","(Married) couple without C. ","104","0.0232624300340271","0.0183480300216797","0.0281768300463745"
"Yes, vegetarian","2018","Not Working","Single parent ","46","0.0658446159162819","0.0468223961273667","0.084866835705197"
"Yes, vegetarian","2018","Not Working","Couple + C. LE 16 ","23","","",""
"Yes, vegetarian","2018","Not Working","Couple + C. GT 16 ","42","0.0567484722270042","0.0395970416889078","0.0738999027651005"
