"ple0182","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Not Employed","Male","78","0.026801895282427","0.0213131844772313","0.0322906060876227"
"Yes, vegetarian","2016","Not Employed","Female","252","0.056463521000619","0.0499284093397003","0.0629986326615376"
"Yes, vegetarian","2016","Employed","Male","208","0.0266405428439727","0.0230565647096923","0.0302245209782532"
"Yes, vegetarian","2016","Employed","Female","643","0.0845273611611671","0.078563984128249","0.0904907381940852"
"Yes, vegan","2016","Not Employed","Male","10","","",""
"Yes, vegan","2016","Not Employed","Female","30","0.00645838904304247","0.00419037981110963","0.00872639827497531"
"Yes, vegan","2016","Employed","Male","30","0.00578804649237148","0.00409969570148411","0.00747639728325884"
"Yes, vegan","2016","Employed","Female","64","0.0084335823557344","0.00647321312044234","0.0103939515910265"
"No","2016","Not Employed","Male","3238","0.970466953049891","0.964713461599959","0.976220444499822"
"No","2016","Not Employed","Female","4510","0.937078089956338","0.930202997753804","0.943953182158873"
"No","2016","Employed","Male","7517","0.967571410663656","0.963628992089915","0.971513829237396"
"No","2016","Employed","Female","7652","0.907039056483099","0.900814130614944","0.913263982351253"
"Yes, vegetarian","2017","Not Employed","Male","","","",""
"Yes, vegetarian","2017","Not Employed","Female","","","",""
"Yes, vegetarian","2017","Employed","Male","","","",""
"Yes, vegetarian","2017","Employed","Female","","","",""
"Yes, vegan","2017","Not Employed","Male","","","",""
"Yes, vegan","2017","Not Employed","Female","","","",""
"Yes, vegan","2017","Employed","Male","","","",""
"Yes, vegan","2017","Employed","Female","","","",""
"No","2017","Not Employed","Male","","","",""
"No","2017","Not Employed","Female","","","",""
"No","2017","Employed","Male","","","",""
"No","2017","Employed","Female","","","",""
"Yes, vegetarian","2018","Not Employed","Male","87","0.0258242977430888","0.020550741364405","0.0310978541217726"
"Yes, vegetarian","2018","Not Employed","Female","271","0.0495046884230226","0.0433713129768019","0.0556380638692433"
"Yes, vegetarian","2018","Employed","Male","268","0.0335432665658813","0.0296876155484915","0.0373989175832712"
"Yes, vegetarian","2018","Employed","Female","780","0.092999414612878","0.0870226741299222","0.0989761550958338"
"Yes, vegan","2018","Not Employed","Male","19","","",""
"Yes, vegan","2018","Not Employed","Female","35","0.00716979964107979","0.0047842283788192","0.00955537090334037"
"Yes, vegan","2018","Employed","Male","28","","",""
"Yes, vegan","2018","Employed","Female","78","0.00938950886106732","0.00740481554472501","0.0113742021774096"
"No","2018","Not Employed","Male","3369","0.96821544823293","0.962382814086471","0.974048082379388"
"No","2018","Not Employed","Female","4499","0.943325511935898","0.936787796882245","0.949863226989551"
"No","2018","Employed","Male","8081","0.961328501601258","0.957199593254573","0.965457409947944"
"No","2018","Employed","Female","8213","0.897611076526055","0.891372419689034","0.903849733363076"
