"ple0182","year","e11102","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Not Employed","330","0.0438020773327659","0.0393501832911065","0.0482539713744252"
"Yes, vegetarian","2016","Employed","851","0.0542688502163197","0.0507709648833323","0.0577667355493071"
"Yes, vegan","2016","Not Employed","40","0.0048673701786957","0.0033534211998693","0.00638131915752209"
"Yes, vegan","2016","Employed","94","0.00705071181277392","0.0057588191617946","0.00834260446375323"
"No","2016","Not Employed","7748","0.951330552488538","0.94664978037289","0.956011324604186"
"No","2016","Employed","15169","0.938680437970906","0.934976149353234","0.942384726588578"
"Yes, vegetarian","2017","Not Employed","","","",""
"Yes, vegetarian","2017","Employed","","","",""
"Yes, vegan","2017","Not Employed","","","",""
"Yes, vegan","2017","Employed","","","",""
"No","2017","Not Employed","","","",""
"No","2017","Employed","","","",""
"Yes, vegetarian","2018","Not Employed","358","0.0394219156924144","0.0352304287070007","0.0436134026778281"
"Yes, vegetarian","2018","Employed","1048","0.0618641839876037","0.0582895813829149","0.0654387865922925"
"Yes, vegan","2018","Not Employed","54","0.00665479236230044","0.00490353377518006","0.00840605094942082"
"Yes, vegan","2018","Employed","106","0.00715801813404378","0.00590714942592967","0.0084088868421579"
"No","2018","Not Employed","7868","0.953923291945285","0.949407536951455","0.958439046939116"
"No","2018","Employed","16294","0.930977797878353","0.927216486114401","0.934739109642304"
