"ple0182","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Full Time","in school","","","",""
"Yes, vegetarian","2016","Full Time","inadequately","","","",""
"Yes, vegetarian","2016","Full Time","general elemantary","10","","",""
"Yes, vegetarian","2016","Full Time","middle vocational","110","0.0272908404350079","0.0222111226953555","0.0323705581746604"
"Yes, vegetarian","2016","Full Time","vocational + Abi","48","0.0440423349069129","0.0308619604758198","0.057222709338006"
"Yes, vegetarian","2016","Full Time","higher vocational","22","","",""
"Yes, vegetarian","2016","Full Time","higher education","196","0.0724607156619238","0.06270541498087","0.0822160163429775"
"Yes, vegetarian","2016","Part Time","in school","8","","",""
"Yes, vegetarian","2016","Part Time","inadequately","1","","",""
"Yes, vegetarian","2016","Part Time","general elemantary","14","","",""
"Yes, vegetarian","2016","Part Time","middle vocational","155","0.0587689091415833","0.0506085995455767","0.0669292187375899"
"Yes, vegetarian","2016","Part Time","vocational + Abi","61","0.112101693681413","0.088992793283395","0.13521059407943"
"Yes, vegetarian","2016","Part Time","higher vocational","22","","",""
"Yes, vegetarian","2016","Part Time","higher education","181","0.121585567723868","0.105976829673959","0.137194305773776"
"Yes, vegetarian","2016","Not Working","in school","20","","",""
"Yes, vegetarian","2016","Not Working","inadequately","2","","",""
"Yes, vegetarian","2016","Not Working","general elemantary","32","0.0249976861834346","0.0163187747656062","0.033676597601263"
"Yes, vegetarian","2016","Not Working","middle vocational","140","0.0411027279130535","0.0348430657207032","0.0473623901054038"
"Yes, vegetarian","2016","Not Working","vocational + Abi","16","","",""
"Yes, vegetarian","2016","Not Working","higher vocational","16","","",""
"Yes, vegetarian","2016","Not Working","higher education","92","0.0756583685301781","0.0622621589378863","0.08905457812247"
"Yes, vegan","2016","Full Time","in school","","","",""
"Yes, vegan","2016","Full Time","inadequately","1","","",""
"Yes, vegan","2016","Full Time","general elemantary","6","","",""
"Yes, vegan","2016","Full Time","middle vocational","14","","",""
"Yes, vegan","2016","Full Time","vocational + Abi","5","","",""
"Yes, vegan","2016","Full Time","higher vocational","3","","",""
"Yes, vegan","2016","Full Time","higher education","21","","",""
"Yes, vegan","2016","Part Time","in school","2","","",""
"Yes, vegan","2016","Part Time","inadequately","","","",""
"Yes, vegan","2016","Part Time","general elemantary","1","","",""
"Yes, vegan","2016","Part Time","middle vocational","25","","",""
"Yes, vegan","2016","Part Time","vocational + Abi","2","","",""
"Yes, vegan","2016","Part Time","higher vocational","1","","",""
"Yes, vegan","2016","Part Time","higher education","10","","",""
"Yes, vegan","2016","Not Working","in school","1","","",""
"Yes, vegan","2016","Not Working","inadequately","","","",""
"Yes, vegan","2016","Not Working","general elemantary","4","","",""
"Yes, vegan","2016","Not Working","middle vocational","25","","",""
"Yes, vegan","2016","Not Working","vocational + Abi","2","","",""
"Yes, vegan","2016","Not Working","higher vocational","","","",""
"Yes, vegan","2016","Not Working","higher education","6","","",""
"No","2016","Full Time","in school","1","","",""
"No","2016","Full Time","inadequately","72","0.997150145916582","0.984921503336799","1.00937878849637"
"No","2016","Full Time","general elemantary","619","0.978105409715207","0.966723307795235","0.98948751163518"
"No","2016","Full Time","middle vocational","3828","0.969493907923809","0.964132171588351","0.974855644259268"
"No","2016","Full Time","vocational + Abi","878","0.947298300900176","0.932945755204983","0.961650846595369"
"No","2016","Full Time","higher vocational","685","0.968093051353471","0.955165385898937","0.981020716808006"
"No","2016","Full Time","higher education","2496","0.918032421235657","0.90771019776725","0.928354644704065"
"No","2016","Part Time","in school","60","0.897008281455479","0.825805255614843","0.968211307296114"
"No","2016","Part Time","inadequately","111","0.998033497284621","0.989828868925096","1.00623812564415"
"No","2016","Part Time","general elemantary","679","0.980664590828596","0.970419748320864","0.990909433336328"
"No","2016","Part Time","middle vocational","3011","0.931019145349824","0.922226323374552","0.939811967325095"
"No","2016","Part Time","vocational + Abi","653","0.887200942454786","0.864029380349341","0.910372504560231"
