"ple0182","year","education","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","lower secondary degree","117","0.0218833401902231","0.0181326778551016","0.0256340025253447"
"Yes, vegetarian","2016","secondary school degree","268","0.0441174772957956","0.0391691554532613","0.0490657991383299"
"Yes, vegetarian","2016","college entrance qualification","581","0.0886319061734551","0.0818712765879671","0.095392535758943"
"Yes, vegetarian","2016","Other degree","125","0.0463944894525655","0.0391608367026701","0.053628142202461"
"Yes, vegetarian","2016","no degree/no degree yet","35","0.0279394342178195","0.0166321455943282","0.0392467228413107"
"Yes, vegan","2016","lower secondary degree","27","","",""
"Yes, vegan","2016","secondary school degree","40","0.00635344673972062","0.00443887781876983","0.00826801566067142"
"Yes, vegan","2016","college entrance qualification","44","0.00834306843734442","0.00617940943673663","0.0105067274379522"
"Yes, vegan","2016","Other degree","11","","",""
"Yes, vegan","2016","no degree/no degree yet","4","","",""
"No","2016","lower secondary degree","5701","0.973550598510204","0.969436799949945","0.977664397070464"
"No","2016","secondary school degree","6308","0.949529075964484","0.944254043889161","0.954804108039807"
"No","2016","college entrance qualification","6164","0.9030250253892","0.895985799256705","0.910064251521696"
"No","2016","Other degree","3112","0.947783802981691","0.940133170478385","0.955434435484996"
"No","2016","no degree/no degree yet","777","0.968258438892214","0.956229902175483","0.980286975608944"
"Yes, vegetarian","2017","lower secondary degree","","","",""
"Yes, vegetarian","2017","secondary school degree","","","",""
"Yes, vegetarian","2017","college entrance qualification","","","",""
"Yes, vegetarian","2017","Other degree","","","",""
"Yes, vegetarian","2017","no degree/no degree yet","","","",""
"Yes, vegan","2017","lower secondary degree","","","",""
"Yes, vegan","2017","secondary school degree","","","",""
"Yes, vegan","2017","college entrance qualification","","","",""
"Yes, vegan","2017","Other degree","","","",""
"Yes, vegan","2017","no degree/no degree yet","","","",""
"No","2017","lower secondary degree","","","",""
"No","2017","secondary school degree","","","",""
"No","2017","college entrance qualification","","","",""
"No","2017","Other degree","","","",""
"No","2017","no degree/no degree yet","","","",""
"Yes, vegetarian","2018","lower secondary degree","127","0.0239241375076992","0.0199660777140004","0.0278821973013979"
"Yes, vegetarian","2018","secondary school degree","280","0.0384706751089152","0.0340389277545796","0.0429024224632509"
"Yes, vegetarian","2018","college entrance qualification","723","0.0942739672119359","0.0877331851857073","0.100814749238164"
"Yes, vegetarian","2018","Other degree","134","0.0435021978263932","0.0361387377045664","0.0508656579482199"
"Yes, vegetarian","2018","no degree/no degree yet","51","0.0529575327104454","0.0382610210880358","0.0676540443328551"
"Yes, vegan","2018","lower secondary degree","23","","",""
"Yes, vegan","2018","secondary school degree","31","0.0041004354189079","0.00262794803445623","0.00557292280335956"
"Yes, vegan","2018","college entrance qualification","74","0.0108585584138802","0.00853875787906044","0.0131783589486999"
"Yes, vegan","2018","Other degree","17","","",""
"Yes, vegan","2018","no degree/no degree yet","6","","",""
"No","2018","lower secondary degree","5576","0.970746791434235","0.966382013482648","0.975111569385822"
"No","2018","secondary school degree","6924","0.957428889472177","0.952776890855389","0.962080888088965"
"No","2018","college entrance qualification","6870","0.894867474374184","0.888001798925187","0.90173314982318"
"No","2018","Other degree","2797","0.947453149906308","0.93939868734523","0.955507612467386"
"No","2018","no degree/no degree yet","835","0.938771930400187","0.923038587962792","0.954505272837582"
