"ple0182","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","lower secondary degree","(0) in school","","","",""
"Yes, vegetarian","2016","lower secondary degree","(1a) inadequately completed","","","",""
"Yes, vegetarian","2016","lower secondary degree","(1b) general elementary school","19","","",""
"Yes, vegetarian","2016","lower secondary degree","(1c) basic vocational qualification","96","0.0251084079448257","0.0204542518104545","0.0297625640791969"
"Yes, vegetarian","2016","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes, vegetarian","2016","lower secondary degree","(2a) intermediate vocational","1","","",""
"Yes, vegetarian","2016","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes, vegetarian","2016","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes, vegetarian","2016","lower secondary degree","(3a) lower tertiary education","1","","",""
"Yes, vegetarian","2016","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes, vegetarian","2016","secondary school degree","(0) in school","","","",""
"Yes, vegetarian","2016","secondary school degree","(1a) inadequately completed","","","",""
"Yes, vegetarian","2016","secondary school degree","(1b) general elementary school","","","",""
"Yes, vegetarian","2016","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes, vegetarian","2016","secondary school degree","(2b) intermediate general qualification","31","0.0504124249679178","0.034110783026506","0.0667140669093295"
"Yes, vegetarian","2016","secondary school degree","(2a) intermediate vocational","200","0.0414730704506562","0.0361143737286317","0.0468317671726808"
"Yes, vegetarian","2016","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes, vegetarian","2016","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Yes, vegetarian","2016","secondary school degree","(3a) lower tertiary education","25","","",""
"Yes, vegetarian","2016","secondary school degree","(3b) higher tertiary education","11","","",""
"Yes, vegetarian","2016","college entrance qualification","(0) in school","","","",""
"Yes, vegetarian","2016","college entrance qualification","(1a) inadequately completed","","","",""
"Yes, vegetarian","2016","college entrance qualification","(1b) general elementary school","","","",""
"Yes, vegetarian","2016","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes, vegetarian","2016","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes, vegetarian","2016","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes, vegetarian","2016","college entrance qualification","(2c_gen) general maturity certificate","103","0.123358060466697","0.102479693392247","0.144236427541147"
"Yes, vegetarian","2016","college entrance qualification","(2c_voc) vocational maturity certificate","130","0.0686962787167092","0.0569161215270387","0.0804764359063796"
"Yes, vegetarian","2016","college entrance qualification","(3a) lower tertiary education","91","0.0902441939546417","0.0742573563180063","0.106231031591277"
"Yes, vegetarian","2016","college entrance qualification","(3b) higher tertiary education","257","0.0894087330682544","0.0788980759839352","0.0999193901525736"
"Yes, vegetarian","2016","Other degree","(0) in school","","","",""
"Yes, vegetarian","2016","Other degree","(1a) inadequately completed","","","",""
"Yes, vegetarian","2016","Other degree","(1b) general elementary school","6","","",""
"Yes, vegetarian","2016","Other degree","(1c) basic vocational qualification","15","","",""
"Yes, vegetarian","2016","Other degree","(2b) intermediate general qualification","","","",""
"Yes, vegetarian","2016","Other degree","(2a) intermediate vocational","","","",""
"Yes, vegetarian","2016","Other degree","(2c_gen) general maturity certificate","13","","",""
"Yes, vegetarian","2016","Other degree","(2c_voc) vocational maturity certificate","21","","",""
"Yes, vegetarian","2016","Other degree","(3a) lower tertiary education","2","","",""
"Yes, vegetarian","2016","Other degree","(3b) higher tertiary education","68","0.0899854983095373","0.0720418301631618","0.107929166455913"
"Yes, vegetarian","2016","no degree/no degree yet","(0) in school","28","","",""
"Yes, vegetarian","2016","no degree/no degree yet","(1a) inadequately completed","7","","",""
"Yes, vegetarian","2016","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes, vegetarian","2016","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes, vegetarian","2016","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes, vegetarian","2016","no degree/no degree yet","(2a) intermediate vocational","","","",""
