"ple0182","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","1-pers.-HH","Male","64","0.0399757080616581","0.030005213313","0.0499462028103162"
"Yes, vegetarian","2016","1-pers.-HH","Female","193","0.0938589516179971","0.0810810276860441","0.10663687554995"
"Yes, vegetarian","2016","(Married) couple without C. ","Male","90","0.0259224813269176","0.0207596004054573","0.0310853622483779"
"Yes, vegetarian","2016","(Married) couple without C. ","Female","191","0.0557932061856329","0.0484036287657468","0.0631827836055189"
"Yes, vegetarian","2016","Single parent ","Male","12","","",""
"Yes, vegetarian","2016","Single parent ","Female","135","0.0801348046423721","0.0670306066000925","0.0932390026846516"
"Yes, vegetarian","2016","Couple + C. LE 16 ","Male","69","0.0237278199274202","0.0180185425476935","0.0294370973071469"
"Yes, vegetarian","2016","Couple + C. LE 16 ","Female","197","0.0803944732919207","0.0707416469498282","0.0900472996340131"
"Yes, vegetarian","2016","Couple + C. GT 16 ","Male","31","0.0213263158116786","0.0137287610065807","0.0289238706167766"
"Yes, vegetarian","2016","Couple + C. GT 16 ","Female","84","0.0731534067917908","0.0592941655837006","0.0870126479998811"
"Yes, vegetarian","2016","Couple + C. LE and GT 16","Male","15","","",""
"Yes, vegetarian","2016","Couple + C. LE and GT 16","Female","76","0.0539905182161791","0.0402684136581639","0.0677126227741942"
"Yes, vegan","2016","1-pers.-HH","Male","7","","",""
"Yes, vegan","2016","1-pers.-HH","Female","21","","",""
"Yes, vegan","2016","(Married) couple without C. ","Male","13","","",""
"Yes, vegan","2016","(Married) couple without C. ","Female","27","","",""
"Yes, vegan","2016","Single parent ","Male","2","","",""
"Yes, vegan","2016","Single parent ","Female","13","","",""
"Yes, vegan","2016","Couple + C. LE 16 ","Male","10","","",""
"Yes, vegan","2016","Couple + C. LE 16 ","Female","14","","",""
"Yes, vegan","2016","Couple + C. GT 16 ","Male","4","","",""
"Yes, vegan","2016","Couple + C. GT 16 ","Female","7","","",""
"Yes, vegan","2016","Couple + C. LE and GT 16","Male","3","","",""
"Yes, vegan","2016","Couple + C. LE and GT 16","Female","7","","",""
"No","2016","1-pers.-HH","Male","1412","0.954453023003263","0.943841332543333","0.965064713463194"
"No","2016","1-pers.-HH","Female","1787","0.896403248534103","0.883051156224061","0.909755340844145"
"No","2016","(Married) couple without C. ","Male","3536","0.969334572317194","0.963732890618068","0.97493625401632"
"No","2016","(Married) couple without C. ","Female","3488","0.935174275668036","0.927247157201523","0.943101394134548"
"No","2016","Single parent ","Male","481","0.978732085835811","0.96602225254887","0.991441919122752"
"No","2016","Single parent ","Female","1501","0.911566283431881","0.89786248921175","0.925270077652012"
"No","2016","Couple + C. LE 16 ","Male","2651","0.966958282684569","0.960253233899655","0.973663331469482"
"No","2016","Couple + C. LE 16 ","Female","2837","0.916510515012439","0.906690204351846","0.926330825673032"
"No","2016","Couple + C. GT 16 ","Male","1354","0.977231780953946","0.969387370860227","0.985076191047666"
