"ple0182","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","16-34 y.","395","0.0786613772655265","0.0715997516527098","0.0857230028783431"
"Yes, vegetarian","2016","35-65 y.","642","0.0443174921710158","0.0408936525763117","0.04774133176572"
"Yes, vegetarian","2016","66 and older","144","0.0366900706251717","0.0313549260368536","0.0420252152134897"
"Yes, vegan","2016","16-34 y.","38","0.0083914715789965","0.00599868773468331","0.0107842554233097"
"Yes, vegan","2016","35-65 y.","76","0.00605232366216812","0.00476196085410102","0.00734268647023522"
"Yes, vegan","2016","66 and older","20","","",""
"No","2016","16-34 y.","5150","0.912947151155477","0.905552314419202","0.920341987891752"
"No","2016","35-65 y.","13161","0.949630184166816","0.945991608257519","0.953268760076113"
"No","2016","66 and older","4606","0.958636277114154","0.952985272767812","0.964287281460496"
"Yes, vegetarian","2017","16-34 y.","","","",""
"Yes, vegetarian","2017","35-65 y.","","","",""
"Yes, vegetarian","2017","66 and older","","","",""
"Yes, vegan","2017","16-34 y.","","","",""
"Yes, vegan","2017","35-65 y.","","","",""
"Yes, vegan","2017","66 and older","","","",""
"No","2017","16-34 y.","","","",""
"No","2017","35-65 y.","","","",""
"No","2017","66 and older","","","",""
"Yes, vegetarian","2018","16-34 y.","481","0.0872557939433718","0.080138133659513","0.0943734542272305"
"Yes, vegetarian","2018","35-65 y.","765","0.0494737991951909","0.0459612892139872","0.0529863091763947"
"Yes, vegetarian","2018","66 and older","160","0.0329929667340593","0.0280651228627819","0.0379208106053367"
"Yes, vegan","2018","16-34 y.","66","0.00936970460871443","0.00693982739380631","0.0117995818236226"
"Yes, vegan","2018","35-65 y.","77","0.00710258757932039","0.00574237001674665","0.00846280514189412"
"Yes, vegan","2018","66 and older","17","","",""
"No","2018","16-34 y.","5492","0.903374501447914","0.895922972994918","0.91082602990091"
"No","2018","35-65 y.","13800","0.943423613225489","0.939681483275573","0.947165743175404"
"No","2018","66 and older","4870","0.962459262973793","0.957215126149037","0.967703399798548"
