"ple0182","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","no migration background","912","0.0513636105681698","0.048129552840369","0.0545976682959707"
"Yes, vegetarian","2016","direct migration background","184","0.0410620972842659","0.0354443760744414","0.0466798184940905"
"Yes, vegetarian","2016","indirect migration background","85","0.063920291584151","0.0517152035235823","0.0761253796447197"
"Yes, vegan","2016","no migration background","103","0.0062335690100433","0.00508043268644359","0.007386705333643"
"Yes, vegan","2016","direct migration background","22","","",""
"Yes, vegan","2016","indirect migration background","9","","",""
"No","2016","no migration background","16881","0.942402820421787","0.938989406128059","0.945816234715515"
"No","2016","direct migration background","4587","0.951889653119648","0.945831267350195","0.957948038889101"
"No","2016","indirect migration background","1449","0.931618215976815","0.919024487449259","0.94421194450437"
"Yes, vegetarian","2017","no migration background","","","",""
"Yes, vegetarian","2017","direct migration background","","","",""
"Yes, vegetarian","2017","indirect migration background","","","",""
"Yes, vegan","2017","no migration background","","","",""
"Yes, vegan","2017","direct migration background","","","",""
"Yes, vegan","2017","indirect migration background","","","",""
"No","2017","no migration background","","","",""
"No","2017","direct migration background","","","",""
"No","2017","indirect migration background","","","",""
"Yes, vegetarian","2018","no migration background","1116","0.0556083772656744","0.0523990773602956","0.0588176771710533"
"Yes, vegetarian","2018","direct migration background","189","0.0430412583106796","0.0370649180674799","0.0490175985538794"
"Yes, vegetarian","2018","indirect migration background","101","0.0621941844744731","0.0507508014183705","0.0736375675305756"
"Yes, vegan","2018","no migration background","118","0.00677666879487271","0.00562773311672764","0.00792560447301778"
"Yes, vegan","2018","direct migration background","24","","",""
"Yes, vegan","2018","indirect migration background","18","","",""
"No","2018","no migration background","18353","0.937614953939453","0.934227942667151","0.941001965211755"
"No","2018","direct migration background","4217","0.95078199091664","0.944411854652602","0.957152127180678"
"No","2018","indirect migration background","1592","0.925928439186942","0.913519417432063","0.93833746094182"
