"ple0182","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","in school","28","","",""
"Yes, vegetarian","2016","inadequately","3","","",""
"Yes, vegetarian","2016","general elemantary","56","0.0209483597717078","0.0154137064791803","0.0264830130642353"
"Yes, vegetarian","2016","middle vocational","405","0.0405707352987666","0.0368849797514446","0.0442564908460887"
"Yes, vegetarian","2016","vocational + Abi","125","0.0637986733039571","0.053146261054567","0.0744510855533472"
"Yes, vegetarian","2016","higher vocational","60","0.0452479452348699","0.0343759496076504","0.0561199408620893"
"Yes, vegetarian","2016","higher education","469","0.0859314858321443","0.0787765035830609","0.0930864680812277"
"Yes, vegan","2016","in school","3","","",""
"Yes, vegan","2016","inadequately","1","","",""
"Yes, vegan","2016","general elemantary","11","","",""
"Yes, vegan","2016","middle vocational","64","0.00630245956642886","0.00482404664626798","0.00778087248658974"
"Yes, vegan","2016","vocational + Abi","9","","",""
"Yes, vegan","2016","higher vocational","4","","",""
"Yes, vegan","2016","higher education","37","0.00896004087085062","0.0065543290427379","0.0113657526989633"
"No","2016","in school","302","0.937071775374599","0.910990120580216","0.963153430168982"
"No","2016","inadequately","398","0.989789364277","0.979962095208033","0.999616633345966"
"No","2016","general elemantary","2505","0.974428453634711","0.968327944480273","0.980528962789149"
"No","2016","middle vocational","10538","0.953126805134805","0.949178131613259","0.95707547865635"
"No","2016","vocational + Abi","1888","0.931472284348754","0.92046004577761","0.942484522919898"
"No","2016","higher vocational","1340","0.952765385704762","0.941668842481489","0.963861928928036"
"No","2016","higher education","5388","0.905108473297005","0.897626656708183","0.912590289885827"
"Yes, vegetarian","2017","in school","","","",""
"Yes, vegetarian","2017","inadequately","","","",""
"Yes, vegetarian","2017","general elemantary","","","",""
"Yes, vegetarian","2017","middle vocational","","","",""
"Yes, vegetarian","2017","vocational + Abi","","","",""
"Yes, vegetarian","2017","higher vocational","","","",""
"Yes, vegetarian","2017","higher education","","","",""
"Yes, vegan","2017","in school","","","",""
"Yes, vegan","2017","inadequately","","","",""
"Yes, vegan","2017","general elemantary","","","",""
"Yes, vegan","2017","middle vocational","","","",""
"Yes, vegan","2017","vocational + Abi","","","",""
"Yes, vegan","2017","higher vocational","","","",""
"Yes, vegan","2017","higher education","","","",""
"No","2017","in school","","","",""
"No","2017","inadequately","","","",""
"No","2017","general elemantary","","","",""
"No","2017","middle vocational","","","",""
"No","2017","vocational + Abi","","","",""
"No","2017","higher vocational","","","",""
"No","2017","higher education","","","",""
"Yes, vegetarian","2018","in school","34","0.0915152613991049","0.0610451213713576","0.121985401426852"
"Yes, vegetarian","2018","inadequately","14","","",""
"Yes, vegetarian","2018","general elemantary","65","0.0203035724185546","0.0149609325943849","0.0256462122427243"
"Yes, vegetarian","2018","middle vocational","469","0.0409396424346182","0.0373158886858825","0.0445633961833538"
"Yes, vegetarian","2018","vocational + Abi","135","0.060407304109107","0.0502515975763561","0.070563010641858"
"Yes, vegetarian","2018","higher vocational","59","0.0429765558514019","0.0325307751855747","0.0534223365172291"
"Yes, vegetarian","2018","higher education","575","0.0925513299283843","0.0854115815033255","0.099691078353443"
"Yes, vegan","2018","in school","2","","",""
"Yes, vegan","2018","inadequately","4","","",""
"Yes, vegan","2018","general elemantary","16","","",""
"Yes, vegan","2018","middle vocational","64","0.00577239411621658","0.00438696413546811","0.00715782409696504"
"Yes, vegan","2018","vocational + Abi","21","","",""
"Yes, vegan","2018","higher vocational","6","","",""
"Yes, vegan","2018","higher education","43","0.00760002939631885","0.00546043451319786","0.00973962427943984"
"No","2018","in school","308","0.904820866755737","0.873809490066273","0.935832243445202"
"No","2018","inadequately","465","0.953619044236724","0.934863406735946","0.972374681737501"
"No","2018","general elemantary","2596","0.97285176070885","0.966695484818177","0.979008036599522"
"No","2018","middle vocational","10953","0.953287963449165","0.949428826942689","0.957147099955642"
"No","2018","vocational + Abi","1958","0.925212695193109","0.913999475467384","0.936425914918833"
"No","2018","higher vocational","1383","0.951345654866233","0.940264276206665","0.9624270335258"
"No","2018","higher education","5711","0.899848640675297","0.892452695217217","0.907244586133377"
