"pgnation","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1985","Urban Area","West Germany","6375","0.927365149312139","0.921943509651514","0.932786788972763"
"1","1985","Urban Area","East Germany","","","",""
"1","1985","Rural Area","West Germany","1984","0.969090498344448","0.961992625571028","0.976188371117867"
"1","1985","Rural Area","East Germany","","","",""
"2","1985","Urban Area","West Germany","786","0.0243024959561764","0.021085757309095","0.0275192346032578"
"2","1985","Urban Area","East Germany","","","",""
"2","1985","Rural Area","West Germany","76","0.00647752856617447","0.00318754630080039","0.00976751083154855"
"2","1985","Rural Area","East Germany","","","",""
"3","1985","Urban Area","West Germany","418","0.0127035688267007","0.0103640885071811","0.0150430491462203"
"3","1985","Urban Area","East Germany","","","",""
"3","1985","Rural Area","West Germany","71","0.00717673621229358","0.00371495588533597","0.0106385165392512"
"3","1985","Rural Area","East Germany","","","",""
"4","1985","Urban Area","West Germany","373","0.0059346634663399","0.00433016888976329","0.00753915804291652"
"4","1985","Urban Area","East Germany","","","",""
"4","1985","Rural Area","West Germany","39","0.00205699539403199","0.000198893312069909","0.00391509747599407"
"4","1985","Rural Area","East Germany","","","",""
"5","1985","Urban Area","West Germany","466","0.0118378284054496","0.00957848174010831","0.0140971750707909"
"5","1985","Urban Area","East Germany","","","",""
"5","1985","Rural Area","West Germany","63","0.00585153572599883","0.00272358001889598","0.00897949143310167"
"5","1985","Rural Area","East Germany","","","",""
"6","1985","Urban Area","West Germany","284","0.00300526301095898","0.00186180448783411","0.00414872153408384"
"6","1985","Urban Area","East Germany","","","",""
"6","1985","Rural Area","West Germany","37","0.00137226445098654","-0.000145906787804804","0.00289043568977789"
"6","1985","Rural Area","East Germany","","","",""
"10","1985","Urban Area","West Germany","28","","",""
"10","1985","Urban Area","East Germany","","","",""
"10","1985","Rural Area","West Germany","3","","",""
"10","1985","Rural Area","East Germany","","","",""
"11","1985","Urban Area","West Germany","11","","",""
"11","1985","Urban Area","East Germany","","","",""
"11","1985","Rural Area","West Germany","1","","",""
"11","1985","Rural Area","East Germany","","","",""
"12","1985","Urban Area","West Germany","11","","",""
"12","1985","Urban Area","East Germany","","","",""
"12","1985","Rural Area","West Germany","","","",""
"12","1985","Rural Area","East Germany","","","",""
"13","1985","Urban Area","West Germany","","","",""
"13","1985","Urban Area","East Germany","","","",""
"13","1985","Rural Area","West Germany","","","",""
"13","1985","Rural Area","East Germany","","","",""
"14","1985","Urban Area","West Germany","5","","",""
"14","1985","Urban Area","East Germany","","","",""
"14","1985","Rural Area","West Germany","","","",""
"14","1985","Rural Area","East Germany","","","",""
"15","1985","Urban Area","West Germany","","","",""
"15","1985","Urban Area","East Germany","","","",""
"15","1985","Rural Area","West Germany","","","",""
"15","1985","Rural Area","East Germany","","","",""
"16","1985","Urban Area","West Germany","","","",""
"16","1985","Urban Area","East Germany","","","",""
"16","1985","Rural Area","West Germany","","","",""
"16","1985","Rural Area","East Germany","","","",""
"17","1985","Urban Area","West Germany","","","",""
"17","1985","Urban Area","East Germany","","","",""
"17","1985","Rural Area","West Germany","1","","",""
"17","1985","Rural Area","East Germany","","","",""
"18","1985","Urban Area","West Germany","7","","",""
"18","1985","Urban Area","East Germany","","","",""
"18","1985","Rural Area","West Germany","1","","",""
"18","1985","Rural Area","East Germany","","","",""
"19","1985","Urban Area","West Germany","5","","",""
"19","1985","Urban Area","East Germany","","","",""
"19","1985","Rural Area","West Germany","2","","",""
"19","1985","Rural Area","East Germany","","","",""
"20","1985","Urban Area","West Germany","2","","",""
"20","1985","Urban Area","East Germany","","","",""
"20","1985","Rural Area","West Germany","","","",""
"20","1985","Rural Area","East Germany","","","",""
"21","1985","Urban Area","West Germany","2","","",""
"21","1985","Urban Area","East Germany","","","",""
"21","1985","Rural Area","West Germany","","","",""
