"pgnation","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","West Germany","3220","0.912646602079801","0.904494247175937","0.920798956983664"
"1","1984","16-34 y.","East Germany","","","",""
"1","1984","35-65 y.","West Germany","4559","0.929845886513574","0.923560488370676","0.936131284656473"
"1","1984","35-65 y.","East Germany","","","",""
"1","1984","66 and older","West Germany","1259","0.990818236273896","0.985593033384986","0.996043439162805"
"1","1984","66 and older","East Germany","","","",""
"2","1984","16-34 y.","West Germany","491","0.0308575145342108","0.0258644619106671","0.0358505671577545"
"2","1984","16-34 y.","East Germany","","","",""
"2","1984","35-65 y.","West Germany","525","0.0237315902260483","0.0199857540984633","0.0274774263536332"
"2","1984","35-65 y.","East Germany","","","",""
"2","1984","66 and older","West Germany","4","","",""
"2","1984","66 and older","East Germany","","","",""
"3","1984","16-34 y.","West Germany","188","0.0113278978864516","0.00827232492479979","0.0143834708481033"
"3","1984","16-34 y.","East Germany","","","",""
"3","1984","35-65 y.","West Germany","363","0.0142709138662694","0.0113521066348121","0.0171897210977267"
"3","1984","35-65 y.","East Germany","","","",""
"3","1984","66 and older","West Germany","2","","",""
"3","1984","66 and older","East Germany","","","",""
"4","1984","16-34 y.","West Germany","160","0.00482302664992782","0.00282269573970383","0.00682335756015181"
"4","1984","16-34 y.","East Germany","","","",""
"4","1984","35-65 y.","West Germany","294","0.00650549973133702","0.00452705555562457","0.00848394390704946"
"4","1984","35-65 y.","East Germany","","","",""
"4","1984","66 and older","West Germany","2","","",""
"4","1984","66 and older","East Germany","","","",""
"5","1984","16-34 y.","West Germany","313","0.0158312532606301","0.0122272573557131","0.0194352491655471"
"5","1984","16-34 y.","East Germany","","","",""
"5","1984","35-65 y.","West Germany","303","0.0104286635118959","0.00792867152666918","0.0129286554971227"
"5","1984","35-65 y.","East Germany","","","",""
"5","1984","66 and older","West Germany","2","","",""
"5","1984","66 and older","East Germany","","","",""
"6","1984","16-34 y.","West Germany","165","0.00355522229918498","0.0018367131281581","0.00527373147021187"
"6","1984","16-34 y.","East Germany","","","",""
"6","1984","35-65 y.","West Germany","240","0.00349012764402321","0.00203881094131148","0.00494144434673494"
"6","1984","35-65 y.","East Germany","","","",""
"6","1984","66 and older","West Germany","2","","",""
"6","1984","66 and older","East Germany","","","",""
"10","1984","16-34 y.","West Germany","14","","",""
"10","1984","16-34 y.","East Germany","","","",""
"10","1984","35-65 y.","West Germany","18","","",""
"10","1984","35-65 y.","East Germany","","","",""
"10","1984","66 and older","West Germany","","","",""
"10","1984","66 and older","East Germany","","","",""
"11","1984","16-34 y.","West Germany","7","","",""
"11","1984","16-34 y.","East Germany","","","",""
"11","1984","35-65 y.","West Germany","5","","",""
"11","1984","35-65 y.","East Germany","","","",""
"11","1984","66 and older","West Germany","1","","",""
"11","1984","66 and older","East Germany","","","",""
"12","1984","16-34 y.","West Germany","6","","",""
"12","1984","16-34 y.","East Germany","","","",""
"12","1984","35-65 y.","West Germany","1","","",""
"12","1984","35-65 y.","East Germany","","","",""
"12","1984","66 and older","West Germany","3","","",""
"12","1984","66 and older","East Germany","","","",""
"13","1984","16-34 y.","West Germany","","","",""
"13","1984","16-34 y.","East Germany","","","",""
"13","1984","35-65 y.","West Germany","","","",""
"13","1984","35-65 y.","East Germany","","","",""
"13","1984","66 and older","West Germany","","","",""
"13","1984","66 and older","East Germany","","","",""
"14","1984","16-34 y.","West Germany","","","",""
"14","1984","16-34 y.","East Germany","","","",""
"14","1984","35-65 y.","West Germany","5","","",""
"14","1984","35-65 y.","East Germany","","","",""
"14","1984","66 and older","West Germany","","","",""
"14","1984","66 and older","East Germany","","","",""
"15","1984","16-34 y.","West Germany","","","",""
"15","1984","16-34 y.","East Germany","","","",""
"15","1984","35-65 y.","West Germany","","","",""
"15","1984","35-65 y.","East Germany","","","",""
"15","1984","66 and older","West Germany","","","",""
"15","1984","66 and older","East Germany","","","",""
"16","1984","16-34 y.","West Germany","","","",""
"16","1984","16-34 y.","East Germany","","","",""
"16","1984","35-65 y.","West Germany","","","",""
"16","1984","35-65 y.","East Germany","","","",""
"16","1984","66 and older","West Germany","","","",""
"16","1984","66 and older","East Germany","","","",""
"17","1984","16-34 y.","West Germany","1","","",""
