"pgnation","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","3220","0.912646602079801","0.904494247175937","0.920798956983664"
"1","1984","35-65 y.","4559","0.929845886513574","0.923560488370676","0.936131284656473"
"1","1984","66 and older","1259","0.990818236273896","0.985593033384986","0.996043439162805"
"2","1984","16-34 y.","491","0.0308575145342108","0.0258644619106671","0.0358505671577545"
"2","1984","35-65 y.","525","0.0237315902260483","0.0199857540984633","0.0274774263536332"
"2","1984","66 and older","4","","",""
"3","1984","16-34 y.","188","0.0113278978864516","0.00827232492479979","0.0143834708481033"
"3","1984","35-65 y.","363","0.0142709138662694","0.0113521066348121","0.0171897210977267"
"3","1984","66 and older","2","","",""
"4","1984","16-34 y.","160","0.00482302664992782","0.00282269573970383","0.00682335756015181"
"4","1984","35-65 y.","294","0.00650549973133702","0.00452705555562457","0.00848394390704946"
"4","1984","66 and older","2","","",""
"5","1984","16-34 y.","313","0.0158312532606301","0.0122272573557131","0.0194352491655471"
"5","1984","35-65 y.","303","0.0104286635118959","0.00792867152666918","0.0129286554971227"
"5","1984","66 and older","2","","",""
"6","1984","16-34 y.","165","0.00355522229918498","0.0018367131281581","0.00527373147021187"
"6","1984","35-65 y.","240","0.00349012764402321","0.00203881094131148","0.00494144434673494"
"6","1984","66 and older","2","","",""
"10","1984","16-34 y.","14","","",""
"10","1984","35-65 y.","18","","",""
"10","1984","66 and older","","","",""
"11","1984","16-34 y.","7","","",""
"11","1984","35-65 y.","5","","",""
"11","1984","66 and older","1","","",""
"12","1984","16-34 y.","6","","",""
"12","1984","35-65 y.","1","","",""
"12","1984","66 and older","3","","",""
"13","1984","16-34 y.","","","",""
"13","1984","35-65 y.","","","",""
"13","1984","66 and older","","","",""
"14","1984","16-34 y.","","","",""
"14","1984","35-65 y.","5","","",""
"14","1984","66 and older","","","",""
"15","1984","16-34 y.","","","",""
"15","1984","35-65 y.","","","",""
"15","1984","66 and older","","","",""
"16","1984","16-34 y.","","","",""
"16","1984","35-65 y.","","","",""
"16","1984","66 and older","","","",""
"17","1984","16-34 y.","1","","",""
"17","1984","35-65 y.","","","",""
"17","1984","66 and older","","","",""
"18","1984","16-34 y.","9","","",""
"18","1984","35-65 y.","6","","",""
"18","1984","66 and older","1","","",""
"19","1984","16-34 y.","2","","",""
"19","1984","35-65 y.","5","","",""
"19","1984","66 and older","1","","",""
"20","1984","16-34 y.","1","","",""
"20","1984","35-65 y.","1","","",""
"20","1984","66 and older","","","",""
