"pgnation","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1","1984","1-pers.-HH","1125","0.946417465199982","0.93433764532127","0.958497285078694"
"1","1984","(Married) couple without C. ","2319","0.964584249962334","0.957619063273814","0.971549436650854"
"1","1984","Single parent ","458","0.945019991169371","0.926453419871317","0.963586562467426"
"1","1984","Couple + C. LE 16 ","1958","0.878051857159518","0.866499264723703","0.889604449595333"
"1","1984","Couple + C. GT 16 ","1530","0.955788172527474","0.94676322883501","0.964813116219938"
"1","1984","Couple + C. LE and GT 16","1048","0.908911741963491","0.895313714219414","0.922509769707567"
"2","1984","1-pers.-HH","29","","",""
"2","1984","(Married) couple without C. ","57","0.0058788399130152","0.0029979283128432","0.0087597515131872"
"2","1984","Single parent ","39","0.0203905120290674","0.00887854952608282","0.031902474532052"
"2","1984","Couple + C. LE 16 ","329","0.0441239207474884","0.0368733930063093","0.0513744484886675"
"2","1984","Couple + C. GT 16 ","117","0.010803139426588","0.00626465554964559","0.0153416233035304"
"2","1984","Couple + C. LE and GT 16","316","0.0460579882129731","0.0361520107057215","0.0559639657202248"
"3","1984","1-pers.-HH","61","0.0133125813124579","0.00716465872819428","0.0194605038967215"
"3","1984","(Married) couple without C. ","118","0.00782265423822739","0.00450266881392846","0.0111426396625263"
"3","1984","Single parent ","15","","",""
"3","1984","Couple + C. LE 16 ","224","0.0175118347559068","0.0128809789003803","0.0221426906114334"
"3","1984","Couple + C. GT 16 ","52","0.00693828424477847","0.00329403052869511","0.0105825379608618"
"3","1984","Couple + C. LE and GT 16","62","0.0114921123534499","0.00645509010983863","0.0165291345970611"
"4","1984","1-pers.-HH","23","","",""
"4","1984","(Married) couple without C. ","57","0.00339732067342675","0.00120454728242668","0.00559009406442681"
"4","1984","Single parent ","8","","",""
"4","1984","Couple + C. LE 16 ","129","0.00761234823553637","0.00454380834529576","0.010680888125777"
"4","1984","Couple + C. GT 16 ","123","0.00609030520051695","0.00267454453189574","0.00950606586913816"
"4","1984","Couple + C. LE and GT 16","86","0.00617958454657357","0.0024760409293817","0.00988312816376545"
"5","1984","1-pers.-HH","50","0.0111199676073804","0.00549485756214571","0.0167450776526151"
"5","1984","(Married) couple without C. ","58","0.00398252083399954","0.00160908789944123","0.00635595376855784"
"5","1984","Single parent ","36","0.00835460943131766","0.000940652072464748","0.0157685667901706"
"5","1984","Couple + C. LE 16 ","257","0.0221968780323145","0.0169956794985063","0.0273980765661228"
"5","1984","Couple + C. GT 16 ","83","0.00606083594052008","0.00265329872622545","0.00946837315481471"
"5","1984","Couple + C. LE and GT 16","124","0.014366429503805","0.00874280863164524","0.0199900503759647"
"6","1984","1-pers.-HH","33","0.00164954269914336","-0.000527318556460831","0.00382640395474755"
"6","1984","(Married) couple without C. ","64","0.0015302114004778","5.71948135534525e-05","0.00300322798740214"
"6","1984","Single parent ","16","","",""
"6","1984","Couple + C. LE 16 ","126","0.00385201395796079","0.0016650701185129","0.00603895779740868"
"6","1984","Couple + C. GT 16 ","72","0.00355819621421422","0.000944016995564755","0.00617237543286369"
"6","1984","Couple + C. LE and GT 16","76","0.00572390498622672","0.00215870763987987","0.00928910233257358"
"10","1984","1-pers.-HH","3","","",""
"10","1984","(Married) couple without C. ","6","","",""
"10","1984","Single parent ","1","","",""
"10","1984","Couple + C. LE 16 ","9","","",""
"10","1984","Couple + C. GT 16 ","12","","",""
"10","1984","Couple + C. LE and GT 16","1","","",""
"11","1984","1-pers.-HH","1","","",""
"11","1984","(Married) couple without C. ","6","","",""
"11","1984","Single parent ","","","",""
"11","1984","Couple + C. LE 16 ","5","","",""
"11","1984","Couple + C. GT 16 ","1","","",""
"11","1984","Couple + C. LE and GT 16","","","",""
"12","1984","1-pers.-HH","1","","",""
"12","1984","(Married) couple without C. ","5","","",""
"12","1984","Single parent ","","","",""
"12","1984","Couple + C. LE 16 ","4","","",""
"12","1984","Couple + C. GT 16 ","","","",""
"12","1984","Couple + C. LE and GT 16","","","",""
"13","1984","1-pers.-HH","","","",""
"13","1984","(Married) couple without C. ","","","",""
"13","1984","Single parent ","","","",""
"13","1984","Couple + C. LE 16 ","","","",""
"13","1984","Couple + C. GT 16 ","","","",""
"13","1984","Couple + C. LE and GT 16","","","",""
"14","1984","1-pers.-HH","","","",""
"14","1984","(Married) couple without C. ","2","","",""
"14","1984","Single parent ","","","",""
"14","1984","Couple + C. LE 16 ","2","","",""
"14","1984","Couple + C. GT 16 ","1","","",""
"14","1984","Couple + C. LE and GT 16","","","",""
"15","1984","1-pers.-HH","","","",""
"15","1984","(Married) couple without C. ","","","",""
"15","1984","Single parent ","","","",""
"15","1984","Couple + C. LE 16 ","","","",""
"15","1984","Couple + C. GT 16 ","","","",""
"15","1984","Couple + C. LE and GT 16","","","",""
"16","1984","1-pers.-HH","","","",""
"16","1984","(Married) couple without C. ","","","",""
"16","1984","Single parent ","","","",""
"16","1984","Couple + C. LE 16 ","","","",""
"16","1984","Couple + C. GT 16 ","","","",""
"16","1984","Couple + C. LE and GT 16","","","",""
"17","1984","1-pers.-HH","","","",""
"17","1984","(Married) couple without C. ","1","","",""
"17","1984","Single parent ","","","",""
"17","1984","Couple + C. LE 16 ","","","",""
"17","1984","Couple + C. GT 16 ","","","",""
"17","1984","Couple + C. LE and GT 16","","","",""
"18","1984","1-pers.-HH","1","","",""
"18","1984","(Married) couple without C. ","2","","",""
"18","1984","Single parent ","3","","",""
"18","1984","Couple + C. LE 16 ","6","","",""
"18","1984","Couple + C. GT 16 ","","","",""
"18","1984","Couple + C. LE and GT 16","3","","",""
"19","1984","1-pers.-HH","","","",""
"19","1984","(Married) couple without C. ","2","","",""
"19","1984","Single parent ","1","","",""
"19","1984","Couple + C. LE 16 ","4","","",""
"19","1984","Couple + C. GT 16 ","","","",""
"19","1984","Couple + C. LE and GT 16","1","","",""
"20","1984","1-pers.-HH","","","",""
"20","1984","(Married) couple without C. ","","","",""
"20","1984","Single parent ","","","",""
"20","1984","Couple + C. LE 16 ","","","",""
"20","1984","Couple + C. GT 16 ","2","","",""
"20","1984","Couple + C. LE and GT 16","","","",""
"21","1984","1-pers.-HH","","","",""
"21","1984","(Married) couple without C. ","1","","",""
"21","1984","Single parent ","","","",""
"21","1984","Couple + C. LE 16 ","","","",""
"21","1984","Couple + C. GT 16 ","","","",""
"21","1984","Couple + C. LE and GT 16","","","",""
"22","1984","1-pers.-HH","4","","",""
"22","1984","(Married) couple without C. ","","","",""
"22","1984","Single parent ","","","",""
"22","1984","Couple + C. LE 16 ","3","","",""
"22","1984","Couple + C. GT 16 ","","","",""
