"pgnation","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Not Employed","1000","0.896393543548143","0.880904115672636","0.91188297142365"
"1","1984","16-34 y.","Employed","2220","0.919950336405677","0.910429761955315","0.92947091085604"
"1","1984","35-65 y.","Not Employed","1544","0.953174287255272","0.943821341559113","0.962527232951432"
"1","1984","35-65 y.","Employed","3015","0.917717171797069","0.909581912683243","0.925852430910894"
"1","1984","66 and older","Not Employed","1198","0.990587075291362","0.985159699106959","0.996014451475765"
"1","1984","66 and older","Employed","61","0.99577294789691","0.979878074746477","1.01166782104734"
"2","1984","16-34 y.","Not Employed","203","0.0412871888436051","0.0311750149571331","0.051399362730077"
"2","1984","16-34 y.","Employed","288","0.0261706692790324","0.020569869509501","0.0317714690485638"
"2","1984","35-65 y.","Not Employed","156","0.0189494124051215","0.0129132122762462","0.0249856125339969"
"2","1984","35-65 y.","Employed","369","0.0262179017034547","0.0214875632620899","0.0309482401448194"
"2","1984","66 and older","Not Employed","3","","",""
"2","1984","66 and older","Employed","1","","",""
"3","1984","16-34 y.","Not Employed","56","0.0100972241146599","0.00501574814985654","0.0151787000794634"
"3","1984","16-34 y.","Employed","132","0.0118809331353853","0.0080796420921261","0.0156822241786445"
"3","1984","35-65 y.","Not Employed","57","0.00566913606717957","0.00234526663322472","0.00899300550113441"
"3","1984","35-65 y.","Employed","306","0.0187430810814635","0.0147281858796503","0.0227579762832766"
"3","1984","66 and older","Not Employed","2","","",""
"3","1984","66 and older","Employed","","","",""
"4","1984","16-34 y.","Not Employed","60","0.0060416668308215","0.00210294706510344","0.00998038659653955"
"4","1984","16-34 y.","Employed","100","0.00427539900785977","0.00198632859828891","0.00656446941743063"
"4","1984","35-65 y.","Not Employed","51","0.00289663597597345","0.000517402256498761","0.00527586969544813"
"4","1984","35-65 y.","Employed","243","0.00838179118501149","0.00568279033870438","0.0110807920313186"
"4","1984","66 and older","Not Employed","2","","",""
"4","1984","66 and older","Employed","","","",""
"5","1984","16-34 y.","Not Employed","84","0.0148079004377196","0.00866886967166849","0.0209469312037708"
"5","1984","16-34 y.","Employed","229","0.0162911234521769","0.0118498243787479","0.0207324225256059"
"5","1984","35-65 y.","Not Employed","74","0.00631924829401279","0.00281111405007147","0.00982738253795411"
"5","1984","35-65 y.","Employed","229","0.0125651976610321","0.00926757291813715","0.015862822403927"
"5","1984","66 and older","Not Employed","2","","",""
"5","1984","66 and older","Employed","","","",""
"6","1984","16-34 y.","Not Employed","55","0.00400102301225625","0.000792482128087366","0.00720956389642514"
"6","1984","16-34 y.","Employed","110","0.00335489016082365","0.00132622379106192","0.00538355653058537"
"6","1984","35-65 y.","Not Employed","61","0.00254610878005222","0.000315081158991636","0.00477713640111279"
"6","1984","35-65 y.","Employed","179","0.00398093434847243","0.00211675072142861","0.00584511797551626"
"6","1984","66 and older","Not Employed","","","",""
"6","1984","66 and older","Employed","2","","",""
"10","1984","16-34 y.","Not Employed","3","","",""
"10","1984","16-34 y.","Employed","11","","",""
"10","1984","35-65 y.","Not Employed","3","","",""
"10","1984","35-65 y.","Employed","15","","",""
"10","1984","66 and older","Not Employed","","","",""
"10","1984","66 and older","Employed","","","",""
"11","1984","16-34 y.","Not Employed","1","","",""
"11","1984","16-34 y.","Employed","6","","",""
"11","1984","35-65 y.","Not Employed","","","",""
"11","1984","35-65 y.","Employed","5","","",""
"11","1984","66 and older","Not Employed","1","","",""
"11","1984","66 and older","Employed","","","",""
"12","1984","16-34 y.","Not Employed","1","","",""
"12","1984","16-34 y.","Employed","5","","",""
"12","1984","35-65 y.","Not Employed","1","","",""
