"pgnation","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","1-pers.-HH","Male","380","0.883922282822595","0.856930539905621","0.91091402573957"
"1","1984","1-pers.-HH","Female","745","0.975829135393351","0.965146686518505","0.986511584268198"
"1","1984","(Married) couple without C. ","Male","1147","0.960447424819863","0.950062021352879","0.970832828286847"
"1","1984","(Married) couple without C. ","Female","1172","0.968778290421292","0.959507851773743","0.978048729068842"
"1","1984","Single parent ","Male","155","0.95910599354396","0.931520635263849","0.986691351824072"
"1","1984","Single parent ","Female","303","0.937797415418666","0.913545595532563","0.962049235304769"
"1","1984","Couple + C. LE 16 ","Male","966","0.87891254447889","0.862629773580603","0.895195315377177"
"1","1984","Couple + C. LE 16 ","Female","992","0.877154059546219","0.860759261393389","0.893548857699049"
"1","1984","Couple + C. GT 16 ","Male","826","0.951171317607752","0.938348008903727","0.963994626311777"
"1","1984","Couple + C. GT 16 ","Female","704","0.961414557883883","0.948886831652854","0.973942284114913"
"1","1984","Couple + C. LE and GT 16","Male","558","0.908407921152328","0.889829362748076","0.926986479556581"
"1","1984","Couple + C. LE and GT 16","Female","490","0.909500141106248","0.889544615264575","0.929455666947922"
"2","1984","1-pers.-HH","Male","24","","",""
"2","1984","1-pers.-HH","Female","5","","",""
"2","1984","(Married) couple without C. ","Male","30","0.00616282075652009","0.00199271968846313","0.010332921824577"
"2","1984","(Married) couple without C. ","Female","27","","",""
"2","1984","Single parent ","Male","18","","",""
"2","1984","Single parent ","Female","21","","",""
"2","1984","Couple + C. LE 16 ","Male","166","0.0446147109793696","0.0343100378322147","0.0549193841265245"
"2","1984","Couple + C. LE 16 ","Female","163","0.0436119690910675","0.0334117935802963","0.0538121446018387"
"2","1984","Couple + C. GT 16 ","Male","64","0.0108450056999843","0.00468217427683053","0.017007837123138"
"2","1984","Couple + C. GT 16 ","Female","53","0.0107521185927823","0.00404393787227535","0.0174602993132893"
"2","1984","Couple + C. LE and GT 16","Male","168","0.0454832360034155","0.0320630030123733","0.0589034689944577"
"2","1984","Couple + C. LE and GT 16","Female","148","0.0467292262799791","0.0320487456605849","0.0614097068993733"
