"pgnation","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"6","1984","Full Time","direct migration background","235","0.0353143350158393","0.0270734156914733","0.0435552543402053"
"6","1984","Full Time","indirect migration background","9","","",""
"6","1984","Part Time","no migration background","","","",""
"6","1984","Part Time","direct migration background","45","0.0207239293622976","0.00811034042190964","0.0333375183026855"
"6","1984","Part Time","indirect migration background","2","","",""
"6","1984","Not Working","no migration background","","","",""
"6","1984","Not Working","direct migration background","108","0.0241678501195755","0.0146496537240972","0.0336860465150539"
"6","1984","Not Working","indirect migration background","8","","",""
"10","1984","Full Time","no migration background","1","","",""
"10","1984","Full Time","direct migration background","15","","",""
"10","1984","Full Time","indirect migration background","","","",""
"10","1984","Part Time","no migration background","1","","",""
"10","1984","Part Time","direct migration background","8","","",""
"10","1984","Part Time","indirect migration background","1","","",""
"10","1984","Not Working","no migration background","","","",""
"10","1984","Not Working","direct migration background","5","","",""
"10","1984","Not Working","indirect migration background","1","","",""
"11","1984","Full Time","no migration background","","","",""
"11","1984","Full Time","direct migration background","6","","",""
"11","1984","Full Time","indirect migration background","1","","",""
"11","1984","Part Time","no migration background","","","",""
"11","1984","Part Time","direct migration background","3","","",""
"11","1984","Part Time","indirect migration background","1","","",""
"11","1984","Not Working","no migration background","","","",""
"11","1984","Not Working","direct migration background","2","","",""
"11","1984","Not Working","indirect migration background","","","",""
"12","1984","Full Time","no migration background","","","",""
"12","1984","Full Time","direct migration background","2","","",""
"12","1984","Full Time","indirect migration background","","","",""
"12","1984","Part Time","no migration background","","","",""
"12","1984","Part Time","direct migration background","3","","",""
"12","1984","Part Time","indirect migration background","","","",""
"12","1984","Not Working","no migration background","","","",""
"12","1984","Not Working","direct migration background","3","","",""
"12","1984","Not Working","indirect migration background","2","","",""
"13","1984","Full Time","no migration background","","","",""
"13","1984","Full Time","direct migration background","","","",""
"13","1984","Full Time","indirect migration background","","","",""
"13","1984","Part Time","no migration background","","","",""
"13","1984","Part Time","direct migration background","","","",""
"13","1984","Part Time","indirect migration background","","","",""
"13","1984","Not Working","no migration background","","","",""
"13","1984","Not Working","direct migration background","","","",""
"13","1984","Not Working","indirect migration background","","","",""
"14","1984","Full Time","no migration background","","","",""
"14","1984","Full Time","direct migration background","3","","",""
"14","1984","Full Time","indirect migration background","","","",""
"14","1984","Part Time","no migration background","","","",""
"14","1984","Part Time","direct migration background","2","","",""
"14","1984","Part Time","indirect migration background","","","",""
"14","1984","Not Working","no migration background","","","",""
"14","1984","Not Working","direct migration background","","","",""
"14","1984","Not Working","indirect migration background","","","",""
"15","1984","Full Time","no migration background","","","",""
"15","1984","Full Time","direct migration background","","","",""
