"pgnation","year","e11102","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","3742","0.954199100390384","0.948198815252317","0.960199385528452"
"1","1984","Employed","5296","0.919712930972972","0.913590745570299","0.925835116375646"
"2","1984","Not Employed","362","0.0170959879301397","0.0133753446088735","0.020816631251406"
"2","1984","Employed","658","0.0258779059817601","0.0223008248417214","0.0294549871217988"
"3","1984","Not Employed","115","0.00469401628579384","0.0027321654365616","0.00665586713502607"
"3","1984","Employed","438","0.0156919756286203","0.0128919509790103","0.0184920002782303"
"4","1984","Not Employed","113","0.00257369528928801","0.0011194610829142","0.00402792949566181"
"4","1984","Employed","343","0.00659547353601862","0.00477181473190252","0.00841913234013472"
"5","1984","Not Employed","160","0.00593351153777068","0.00372916943593908","0.00813785363960228"
"5","1984","Employed","458","0.0139049004152091","0.0112667419958437","0.0165430588345746"
"6","1984","Not Employed","116","0.00191399524432951","0.000659497763814267","0.00316849272484476"
"6","1984","Employed","291","0.00368524063540989","0.00232006434544803","0.00505041692537175"
"10","1984","Not Employed","6","","",""
"10","1984","Employed","26","","",""
"11","1984","Not Employed","2","","",""
"11","1984","Employed","11","","",""
"12","1984","Not Employed","5","","",""
"12","1984","Employed","5","","",""
"13","1984","Not Employed","","","",""
"13","1984","Employed","","","",""
"14","1984","Not Employed","","","",""
"14","1984","Employed","5","","",""
"15","1984","Not Employed","","","",""
"15","1984","Employed","","","",""
"16","1984","Not Employed","","","",""
"16","1984","Employed","","","",""
"17","1984","Not Employed","","","",""
"17","1984","Employed","1","","",""
"18","1984","Not Employed","10","","",""
"18","1984","Employed","6","","",""
"19","1984","Not Employed","2","","",""
"19","1984","Employed","6","","",""
"20","1984","Not Employed","1","","",""
"20","1984","Employed","1","","",""
"21","1984","Not Employed","1","","",""
"21","1984","Employed","","","",""
"22","1984","Not Employed","7","","",""
"22","1984","Employed","2","","",""
"23","1984","Not Employed","2","","",""
"23","1984","Employed","3","","",""
"24","1984","Not Employed","2","","",""
"24","1984","Employed","","","",""
"25","1984","Not Employed","1","","",""
"25","1984","Employed","1","","",""
"26","1984","Not Employed","","","",""
"26","1984","Employed","2","","",""
"27","1984","Not Employed","","","",""
"27","1984","Employed","","","",""
"28","1984","Not Employed","2","","",""
"28","1984","Employed","2","","",""
"29","1984","Not Employed","","","",""
"29","1984","Employed","1","","",""
"30","1984","Not Employed","","","",""
"30","1984","Employed","","","",""
"31","1984","Not Employed","1","","",""
"31","1984","Employed","2","","",""
"32","1984","Not Employed","","","",""
"32","1984","Employed","","","",""
"34","1984","Not Employed","2","","",""
"34","1984","Employed","2","","",""
"35","1984","Not Employed","","","",""
"35","1984","Employed","","","",""
"36","1984","Not Employed","1","","",""
"36","1984","Employed","","","",""
"37","1984","Not Employed","","","",""
"37","1984","Employed","","","",""
"38","1984","Not Employed","1","","",""
"38","1984","Employed","1","","",""
"39","1984","Not Employed","","","",""
"39","1984","Employed","1","","",""
"40","1984","Not Employed","1","","",""
"40","1984","Employed","","","",""
"41","1984","Not Employed","1","","",""
"41","1984","Employed","","","",""
"42","1984","Not Employed","","","",""
"42","1984","Employed","1","","",""
"43","1984","Not Employed","1","","",""
"43","1984","Employed","1","","",""
"44","1984","Not Employed","","","",""
"44","1984","Employed","","","",""
"45","1984","Not Employed","","","",""
"45","1984","Employed","","","",""
"46","1984","Not Employed","","","",""
"46","1984","Employed","","","",""
"47","1984","Not Employed","","","",""
"47","1984","Employed","","","",""
"48","1984","Not Employed","","","",""
"48","1984","Employed","","","",""
"49","1984","Not Employed","","","",""
"49","1984","Employed","","","",""
"50","1984","Not Employed","","","",""
"50","1984","Employed","","","",""
"51","1984","Not Employed","","","",""
"51","1984","Employed","","","",""
"52","1984","Not Employed","","","",""
"52","1984","Employed","","","",""
"53","1984","Not Employed","","","",""
"53","1984","Employed","","","",""
"54","1984","Not Employed","","","",""
"54","1984","Employed","","","",""
"55","1984","Not Employed","","","",""
"55","1984","Employed","","","",""
"56","1984","Not Employed","","","",""
"56","1984","Employed","","","",""
"59","1984","Not Employed","","","",""
"59","1984","Employed","","","",""
"60","1984","Not Employed","","","",""
"60","1984","Employed","","","",""
"61","1984","Not Employed","","","",""
"61","1984","Employed","","","",""
"64","1984","Not Employed","","","",""
"64","1984","Employed","","","",""
"65","1984","Not Employed","","","",""
"65","1984","Employed","","","",""
"66","1984","Not Employed","","","",""
"66","1984","Employed","","","",""
"67","1984","Not Employed","","","",""
"67","1984","Employed","","","",""
"68","1984","Not Employed","","","",""
"68","1984","Employed","","","",""
"71","1984","Not Employed","","","",""
"71","1984","Employed","","","",""
"72","1984","Not Employed","","","",""
"72","1984","Employed","","","",""
"73","1984","Not Employed","","","",""
"73","1984","Employed","","","",""
"74","1984","Not Employed","","","",""
"74","1984","Employed","","","",""
"75","1984","Not Employed","","","",""
"75","1984","Employed","","","",""
"76","1984","Not Employed","","","",""
"76","1984","Employed","","","",""
"77","1984","Not Employed","","","",""
"77","1984","Employed","","","",""
"78","1984","Not Employed","","","",""
"78","1984","Employed","","","",""
"79","1984","Not Employed","","","",""
"79","1984","Employed","","","",""
"80","1984","Not Employed","","","",""
"80","1984","Employed","","","",""
"81","1984","Not Employed","","","",""
"81","1984","Employed","","","",""
"82","1984","Not Employed","","","",""
"82","1984","Employed","","","",""
"83","1984","Not Employed","","","",""
"83","1984","Employed","","","",""
"84","1984","Not Employed","","","",""
"84","1984","Employed","","","",""
"85","1984","Not Employed","","","",""
"85","1984","Employed","","","",""
"86","1984","Not Employed","","","",""
"86","1984","Employed","","","",""
"89","1984","Not Employed","","","",""
"89","1984","Employed","","","",""
"90","1984","Not Employed","","","",""
"90","1984","Employed","","","",""
"92","1984","Not Employed","","","",""
"92","1984","Employed","","","",""
"94","1984","Not Employed","","","",""
"94","1984","Employed","","","",""
"95","1984","Not Employed","","","",""
"95","1984","Employed","","","",""
"96","1984","Not Employed","","","",""
"96","1984","Employed","","","",""
"97","1984","Not Employed","","","",""
"97","1984","Employed","","","",""
"98","1984","Not Employed","6","","",""
"98","1984","Employed","4","","",""
"101","1984","Not Employed","","","",""
"101","1984","Employed","","","",""
"102","1984","Not Employed","","","",""
"102","1984","Employed","","","",""
"103","1984","Not Employed","","","",""
"103","1984","Employed","","","",""
"105","1984","Not Employed","","","",""
"105","1984","Employed","","","",""
"108","1984","Not Employed","","","",""
"108","1984","Employed","","","",""
"110","1984","Not Employed","","","",""
"110","1984","Employed","","","",""
"111","1984","Not Employed","","","",""
"111","1984","Employed","","","",""
"113","1984","Not Employed","","","",""
"113","1984","Employed","","","",""
"116","1984","Not Employed","","","",""
"116","1984","Employed","","","",""
"117","1984","Not Employed","","","",""
"117","1984","Employed","","","",""
"118","1984","Not Employed","","","",""
"118","1984","Employed","","","",""
"119","1984","Not Employed","","","",""
"119","1984","Employed","","","",""
"120","1984","Not Employed","","","",""
"120","1984","Employed","","","",""
"121","1984","Not Employed","","","",""
"121","1984","Employed","","","",""
"122","1984","Not Employed","","","",""
"122","1984","Employed","","","",""
"123","1984","Not Employed","","","",""
"123","1984","Employed","","","",""
"124","1984","Not Employed","","","",""
"124","1984","Employed","","","",""
"125","1984","Not Employed","","","",""
"125","1984","Employed","","","",""
"127","1984","Not Employed","","","",""
"127","1984","Employed","","","",""
"128","1984","Not Employed","","","",""
"128","1984","Employed","","","",""
"129","1984","Not Employed","","","",""
"129","1984","Employed","","","",""
"130","1984","Not Employed","","","",""
"130","1984","Employed","","","",""
"131","1984","Not Employed","","","",""
"131","1984","Employed","","","",""
"132","1984","Not Employed","","","",""
"132","1984","Employed","","","",""
"133","1984","Not Employed","","","",""
"133","1984","Employed","","","",""
"135","1984","Not Employed","","","",""
"135","1984","Employed","","","",""
"138","1984","Not Employed","","","",""
"138","1984","Employed","","","",""
"139","1984","Not Employed","","","",""
"139","1984","Employed","","","",""
"140","1984","Not Employed","","","",""
"140","1984","Employed","","","",""
"141","1984","Not Employed","","","",""
"141","1984","Employed","","","",""
"142","1984","Not Employed","","","",""
"142","1984","Employed","","","",""
"143","1984","Not Employed","","","",""
"143","1984","Employed","","","",""
