"pgnation","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"1","1985","Full Time","Urban Area","2675","0.90572489768264","0.896677262532007","0.914772532833273"
"1","1985","Full Time","Rural Area","808","0.960810029571295","0.948654805280653","0.972965253861938"
"1","1985","Part Time","Urban Area","1118","0.924571435327625","0.911117312412777","0.938025558242474"
"1","1985","Part Time","Rural Area","340","0.962895856682956","0.944088269157229","0.981703444208682"
"1","1985","Not Working","Urban Area","2582","0.948648145093099","0.941135870073178","0.95616042011302"
"1","1985","Not Working","Rural Area","836","0.978109921826332","0.968639247301642","0.987580596351022"
"2","1985","Full Time","Urban Area","383","0.0299860173675939","0.0247053743264849","0.0352666604087028"
"2","1985","Full Time","Rural Area","29","","",""
"2","1985","Part Time","Urban Area","109","0.0209694437574194","0.0136696798893692","0.0282692076254697"
"2","1985","Part Time","Rural Area","13","","",""
"2","1985","Not Working","Urban Area","294","0.0202420041385193","0.015448788219893","0.0250352200571457"
"2","1985","Not Working","Rural Area","34","0.00602760523403967","0.00101777527671474","0.0110374351913646"
"3","1985","Full Time","Urban Area","261","0.0199878253939092","0.015654344074699","0.0243213067131194"
"3","1985","Full Time","Rural Area","42","0.01072703855277","0.00427414151664988","0.0171799355888902"
"3","1985","Part Time","Urban Area","66","0.0127080443878616","0.00700141860687464","0.0184146701688485"
"3","1985","Part Time","Rural Area","13","","",""
"3","1985","Not Working","Urban Area","91","0.0058914891229256","0.00328671381594915","0.00849626442990205"
"3","1985","Not Working","Rural Area","16","","",""
"4","1985","Full Time","Urban Area","216","0.00878033010266695","0.00589178736516554","0.0116688728401684"
"4","1985","Full Time","Rural Area","26","","",""
"4","1985","Part Time","Urban Area","52","0.00485436640647949","0.00131335903330209","0.00839537377965689"
"4","1985","Part Time","Rural Area","6","","",""
"4","1985","Not Working","Urban Area","105","0.00368033055458335","0.00161930395955991","0.00574135714960679"
"4","1985","Not Working","Rural Area","7","","",""
"5","1985","Full Time","Urban Area","271","0.0175217244009293","0.0134592716734178","0.0215841771284407"
"5","1985","Full Time","Rural Area","41","0.00977651966725894","0.00361318863433286","0.015939850700185"
"5","1985","Part Time","Urban Area","68","0.00969407814705992","0.00470230110245402","0.0146858551916658"
"5","1985","Part Time","Rural Area","8","","",""
"5","1985","Not Working","Urban Area","127","0.00732978237829117","0.0044265027516821","0.0102330620049002"
"5","1985","Not Working","Rural Area","14","","",""
"6","1985","Full Time","Urban Area","163","0.00444584955444277","0.00238593956082867","0.00650575954805686"
"6","1985","Full Time","Rural Area","28","","",""
"6","1985","Part Time","Urban Area","37","0.00227295628748075","-0.000153199293211529","0.00469911186817302"
"6","1985","Part Time","Rural Area","5","","",""
"6","1985","Not Working","Urban Area","84","0.00193375397963795","0.000438478799926612","0.00342902915934928"
"6","1985","Not Working","Rural Area","4","","",""
"10","1985","Full Time","Urban Area","16","","",""
"10","1985","Full Time","Rural Area","2","","",""
"10","1985","Part Time","Urban Area","9","","",""
"10","1985","Part Time","Rural Area","1","","",""
"10","1985","Not Working","Urban Area","3","","",""
"10","1985","Not Working","Rural Area","","","",""
"11","1985","Full Time","Urban Area","5","","",""
"11","1985","Full Time","Rural Area","1","","",""
"11","1985","Part Time","Urban Area","3","","",""
"11","1985","Part Time","Rural Area","","","",""
"11","1985","Not Working","Urban Area","3","","",""
"11","1985","Not Working","Rural Area","","","",""
"12","1985","Full Time","Urban Area","3","","",""
"12","1985","Full Time","Rural Area","","","",""
"12","1985","Part Time","Urban Area","2","","",""
"12","1985","Part Time","Rural Area","","","",""
"12","1985","Not Working","Urban Area","6","","",""
"12","1985","Not Working","Rural Area","","","",""
"13","1985","Full Time","Urban Area","","","",""
"13","1985","Full Time","Rural Area","","","",""
"13","1985","Part Time","Urban Area","","","",""
"13","1985","Part Time","Rural Area","","","",""
"13","1985","Not Working","Urban Area","","","",""
"13","1985","Not Working","Rural Area","","","",""
