"pgnation","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"1","1985","Not Employed","Urban Area","2582","0.948648145093099","0.941135870073178","0.95616042011302"
"1","1985","Not Employed","Rural Area","836","0.978109921826332","0.968639247301642","0.987580596351022"
"1","1985","Employed","Urban Area","3793","0.911130604418069","0.90360143548709","0.918659773349048"
"1","1985","Employed","Rural Area","1148","0.961424110232666","0.951215201664733","0.971633018800599"
"2","1985","Not Employed","Urban Area","294","0.0202420041385193","0.015448788219893","0.0250352200571457"
"2","1985","Not Employed","Rural Area","34","0.00602760523403967","0.00101777527671474","0.0110374351913646"
"2","1985","Employed","Urban Area","492","0.0273998154023761","0.0230804335110424","0.0317191972937098"
"2","1985","Employed","Rural Area","42","0.00685995732025387","0.00248443617529738","0.0112354784652104"
"3","1985","Not Employed","Urban Area","91","0.0058914891229256","0.00328671381594915","0.00849626442990205"
"3","1985","Not Employed","Rural Area","16","","",""
"3","1985","Employed","Urban Area","327","0.0178997834438107","0.0143915991270204","0.021407967760601"
"3","1985","Employed","Rural Area","55","0.010452287458907","0.00506105726158158","0.0158435176562324"
"4","1985","Not Employed","Urban Area","105","0.00368033055458335","0.00161930395955991","0.00574135714960679"
"4","1985","Not Employed","Rural Area","7","","",""
"4","1985","Employed","Urban Area","268","0.00765425544665834","0.00534823266900952","0.00996027822430715"
"4","1985","Employed","Rural Area","32","0.00306054926235575","0.000132368305229471","0.00598873021948204"
"5","1985","Not Employed","Urban Area","127","0.00732978237829117","0.0044265027516821","0.0102330620049002"
"5","1985","Not Employed","Rural Area","14","","",""
"5","1985","Employed","Urban Area","339","0.0152765395890466","0.0120312739739291","0.018521805204164"
"5","1985","Employed","Rural Area","49","0.00856207139757082","0.00367795482607165","0.01344618796907"
"6","1985","Not Employed","Urban Area","84","0.00193375397963795","0.000438478799926612","0.00342902915934928"
"6","1985","Not Employed","Rural Area","4","","",""
"6","1985","Employed","Urban Area","200","0.00382260384269208","0.00218982035957845","0.00545538732580572"
"6","1985","Employed","Rural Area","33","0.00224540652439488","-0.000263723641696013","0.00475453669048577"
"10","1985","Not Employed","Urban Area","3","","",""
"10","1985","Not Employed","Rural Area","","","",""
"10","1985","Employed","Urban Area","25","","",""
"10","1985","Employed","Rural Area","3","","",""
"11","1985","Not Employed","Urban Area","3","","",""
"11","1985","Not Employed","Rural Area","","","",""
"11","1985","Employed","Urban Area","8","","",""
"11","1985","Employed","Rural Area","1","","",""
"12","1985","Not Employed","Urban Area","6","","",""
"12","1985","Not Employed","Rural Area","","","",""
"12","1985","Employed","Urban Area","5","","",""
"12","1985","Employed","Rural Area","","","",""
"13","1985","Not Employed","Urban Area","","","",""
"13","1985","Not Employed","Rural Area","","","",""
"13","1985","Employed","Urban Area","","","",""
"13","1985","Employed","Rural Area","","","",""
"14","1985","Not Employed","Urban Area","","","",""
"14","1985","Not Employed","Rural Area","","","",""
"14","1985","Employed","Urban Area","5","","",""
"14","1985","Employed","Rural Area","","","",""
"15","1985","Not Employed","Urban Area","","","",""
"15","1985","Not Employed","Rural Area","","","",""
"15","1985","Employed","Urban Area","","","",""
"15","1985","Employed","Rural Area","","","",""
"16","1985","Not Employed","Urban Area","","","",""
"16","1985","Not Employed","Rural Area","","","",""
"16","1985","Employed","Urban Area","","","",""
"16","1985","Employed","Rural Area","","","",""
"17","1985","Not Employed","Urban Area","","","",""
"17","1985","Not Employed","Rural Area","","","",""
"17","1985","Employed","Urban Area","","","",""
"17","1985","Employed","Rural Area","1","","",""
"18","1985","Not Employed","Urban Area","4","","",""
"18","1985","Not Employed","Rural Area","1","","",""
"18","1985","Employed","Urban Area","3","","",""
"18","1985","Employed","Rural Area","","","",""
"19","1985","Not Employed","Urban Area","2","","",""
"19","1985","Not Employed","Rural Area","1","","",""
"19","1985","Employed","Urban Area","3","","",""
"19","1985","Employed","Rural Area","1","","",""
"20","1985","Not Employed","Urban Area","2","","",""
"20","1985","Not Employed","Rural Area","","","",""
"20","1985","Employed","Urban Area","","","",""
"20","1985","Employed","Rural Area","","","",""
"21","1985","Not Employed","Urban Area","1","","",""
"21","1985","Not Employed","Rural Area","","","",""
"21","1985","Employed","Urban Area","1","","",""
"21","1985","Employed","Rural Area","","","",""
"22","1985","Not Employed","Urban Area","2","","",""
"22","1985","Not Employed","Rural Area","1","","",""
"22","1985","Employed","Urban Area","3","","",""
"22","1985","Employed","Rural Area","1","","",""
"23","1985","Not Employed","Urban Area","2","","",""
"23","1985","Not Employed","Rural Area","","","",""
"23","1985","Employed","Urban Area","1","","",""
"23","1985","Employed","Rural Area","","","",""
"24","1985","Not Employed","Urban Area","2","","",""
"24","1985","Not Employed","Rural Area","","","",""
"24","1985","Employed","Urban Area","","","",""
"24","1985","Employed","Rural Area","","","",""
"25","1985","Not Employed","Urban Area","","","",""
"25","1985","Not Employed","Rural Area","","","",""
"25","1985","Employed","Urban Area","","","",""
"25","1985","Employed","Rural Area","","","",""
"26","1985","Not Employed","Urban Area","","","",""
"26","1985","Not Employed","Rural Area","","","",""
"26","1985","Employed","Urban Area","2","","",""
"26","1985","Employed","Rural Area","","","",""
"27","1985","Not Employed","Urban Area","","","",""
"27","1985","Not Employed","Rural Area","","","",""
"27","1985","Employed","Urban Area","","","",""
"27","1985","Employed","Rural Area","","","",""
"28","1985","Not Employed","Urban Area","","","",""
"28","1985","Not Employed","Rural Area","","","",""
"28","1985","Employed","Urban Area","","","",""
"28","1985","Employed","Rural Area","","","",""
"29","1985","Not Employed","Urban Area","","","",""
"29","1985","Not Employed","Rural Area","","","",""
"29","1985","Employed","Urban Area","","","",""
"29","1985","Employed","Rural Area","","","",""
"30","1985","Not Employed","Urban Area","","","",""
"30","1985","Not Employed","Rural Area","","","",""
"30","1985","Employed","Urban Area","","","",""
"30","1985","Employed","Rural Area","","","",""
"31","1985","Not Employed","Urban Area","","","",""
"31","1985","Not Employed","Rural Area","","","",""
"31","1985","Employed","Urban Area","2","","",""
"31","1985","Employed","Rural Area","","","",""
"32","1985","Not Employed","Urban Area","","","",""
"32","1985","Not Employed","Rural Area","","","",""
"32","1985","Employed","Urban Area","","","",""
"32","1985","Employed","Rural Area","","","",""
"34","1985","Not Employed","Urban Area","1","","",""
"34","1985","Not Employed","Rural Area","","","",""
"34","1985","Employed","Urban Area","","","",""
"34","1985","Employed","Rural Area","","","",""
"35","1985","Not Employed","Urban Area","","","",""
"35","1985","Not Employed","Rural Area","","","",""
