"pgnation","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","West Germany","3742","0.954199100390384","0.948198815252317","0.960199385528452"
"1","1984","Not Employed","East Germany","","","",""
"1","1984","Employed","West Germany","5296","0.919712930972972","0.913590745570299","0.925835116375646"
"1","1984","Employed","East Germany","","","",""
"2","1984","Not Employed","West Germany","362","0.0170959879301397","0.0133753446088735","0.020816631251406"
"2","1984","Not Employed","East Germany","","","",""
"2","1984","Employed","West Germany","658","0.0258779059817601","0.0223008248417214","0.0294549871217988"
"2","1984","Employed","East Germany","","","",""
"3","1984","Not Employed","West Germany","115","0.00469401628579384","0.0027321654365616","0.00665586713502607"
"3","1984","Not Employed","East Germany","","","",""
"3","1984","Employed","West Germany","438","0.0156919756286203","0.0128919509790103","0.0184920002782303"
"3","1984","Employed","East Germany","","","",""
"4","1984","Not Employed","West Germany","113","0.00257369528928801","0.0011194610829142","0.00402792949566181"
"4","1984","Not Employed","East Germany","","","",""
"4","1984","Employed","West Germany","343","0.00659547353601862","0.00477181473190252","0.00841913234013472"
"4","1984","Employed","East Germany","","","",""
"5","1984","Not Employed","West Germany","160","0.00593351153777068","0.00372916943593908","0.00813785363960228"
"5","1984","Not Employed","East Germany","","","",""
"5","1984","Employed","West Germany","458","0.0139049004152091","0.0112667419958437","0.0165430588345746"
"5","1984","Employed","East Germany","","","",""
"6","1984","Not Employed","West Germany","116","0.00191399524432951","0.000659497763814267","0.00316849272484476"
"6","1984","Not Employed","East Germany","","","",""
"6","1984","Employed","West Germany","291","0.00368524063540989","0.00232006434544803","0.00505041692537175"
"6","1984","Employed","East Germany","","","",""
"10","1984","Not Employed","West Germany","6","","",""
"10","1984","Not Employed","East Germany","","","",""
"10","1984","Employed","West Germany","26","","",""
"10","1984","Employed","East Germany","","","",""
"11","1984","Not Employed","West Germany","2","","",""
"11","1984","Not Employed","East Germany","","","",""
"11","1984","Employed","West Germany","11","","",""
"11","1984","Employed","East Germany","","","",""
"12","1984","Not Employed","West Germany","5","","",""
"12","1984","Not Employed","East Germany","","","",""
"12","1984","Employed","West Germany","5","","",""
"12","1984","Employed","East Germany","","","",""
"13","1984","Not Employed","West Germany","","","",""
"13","1984","Not Employed","East Germany","","","",""
"13","1984","Employed","West Germany","","","",""
"13","1984","Employed","East Germany","","","",""
"14","1984","Not Employed","West Germany","","","",""
"14","1984","Not Employed","East Germany","","","",""
"14","1984","Employed","West Germany","5","","",""
"14","1984","Employed","East Germany","","","",""
"15","1984","Not Employed","West Germany","","","",""
"15","1984","Not Employed","East Germany","","","",""
"15","1984","Employed","West Germany","","","",""
"15","1984","Employed","East Germany","","","",""
"16","1984","Not Employed","West Germany","","","",""
"16","1984","Not Employed","East Germany","","","",""
"16","1984","Employed","West Germany","","","",""
"16","1984","Employed","East Germany","","","",""
"17","1984","Not Employed","West Germany","","","",""
"17","1984","Not Employed","East Germany","","","",""
"17","1984","Employed","West Germany","1","","",""
"17","1984","Employed","East Germany","","","",""
"18","1984","Not Employed","West Germany","10","","",""
"18","1984","Not Employed","East Germany","","","",""
"18","1984","Employed","West Germany","6","","",""
"18","1984","Employed","East Germany","","","",""
"19","1984","Not Employed","West Germany","2","","",""
"19","1984","Not Employed","East Germany","","","",""
"19","1984","Employed","West Germany","6","","",""
"19","1984","Employed","East Germany","","","",""
"20","1984","Not Employed","West Germany","1","","",""
"20","1984","Not Employed","East Germany","","","",""
"20","1984","Employed","West Germany","1","","",""
"20","1984","Employed","East Germany","","","",""
"21","1984","Not Employed","West Germany","1","","",""
"21","1984","Not Employed","East Germany","","","",""
"21","1984","Employed","West Germany","","","",""
"21","1984","Employed","East Germany","","","",""
"22","1984","Not Employed","West Germany","7","","",""
"22","1984","Not Employed","East Germany","","","",""
"22","1984","Employed","West Germany","2","","",""
"22","1984","Employed","East Germany","","","",""
"23","1984","Not Employed","West Germany","2","","",""
"23","1984","Not Employed","East Germany","","","",""
"23","1984","Employed","West Germany","3","","",""
"23","1984","Employed","East Germany","","","",""
"24","1984","Not Employed","West Germany","2","","",""
"24","1984","Not Employed","East Germany","","","",""
"24","1984","Employed","West Germany","","","",""
"24","1984","Employed","East Germany","","","",""
"25","1984","Not Employed","West Germany","1","","",""
"25","1984","Not Employed","East Germany","","","",""
"25","1984","Employed","West Germany","1","","",""
"25","1984","Employed","East Germany","","","",""
"26","1984","Not Employed","West Germany","","","",""
"26","1984","Not Employed","East Germany","","","",""
"26","1984","Employed","West Germany","2","","",""
"26","1984","Employed","East Germany","","","",""
"27","1984","Not Employed","West Germany","","","",""
"27","1984","Not Employed","East Germany","","","",""
"27","1984","Employed","West Germany","","","",""
"27","1984","Employed","East Germany","","","",""
"28","1984","Not Employed","West Germany","2","","",""
"28","1984","Not Employed","East Germany","","","",""
"28","1984","Employed","West Germany","2","","",""
"28","1984","Employed","East Germany","","","",""
"29","1984","Not Employed","West Germany","","","",""
"29","1984","Not Employed","East Germany","","","",""
"29","1984","Employed","West Germany","1","","",""
"29","1984","Employed","East Germany","","","",""
"30","1984","Not Employed","West Germany","","","",""
"30","1984","Not Employed","East Germany","","","",""
"30","1984","Employed","West Germany","","","",""
"30","1984","Employed","East Germany","","","",""
"31","1984","Not Employed","West Germany","1","","",""
"31","1984","Not Employed","East Germany","","","",""
"31","1984","Employed","West Germany","2","","",""
"31","1984","Employed","East Germany","","","",""
"32","1984","Not Employed","West Germany","","","",""
"32","1984","Not Employed","East Germany","","","",""
"32","1984","Employed","West Germany","","","",""
"32","1984","Employed","East Germany","","","",""
"34","1984","Not Employed","West Germany","2","","",""
"34","1984","Not Employed","East Germany","","","",""
"34","1984","Employed","West Germany","2","","",""
"34","1984","Employed","East Germany","","","",""
"35","1984","Not Employed","West Germany","","","",""
"35","1984","Not Employed","East Germany","","","",""
"35","1984","Employed","West Germany","","","",""
"35","1984","Employed","East Germany","","","",""
"36","1984","Not Employed","West Germany","1","","",""
"36","1984","Not Employed","East Germany","","","",""
"36","1984","Employed","West Germany","","","",""
"36","1984","Employed","East Germany","","","",""
"37","1984","Not Employed","West Germany","","","",""
"37","1984","Not Employed","East Germany","","","",""
"37","1984","Employed","West Germany","","","",""
"37","1984","Employed","East Germany","","","",""
"38","1984","Not Employed","West Germany","1","","",""
"38","1984","Not Employed","East Germany","","","",""
"38","1984","Employed","West Germany","1","","",""
"38","1984","Employed","East Germany","","","",""
"39","1984","Not Employed","West Germany","","","",""
"39","1984","Not Employed","East Germany","","","",""
"39","1984","Employed","West Germany","1","","",""
"39","1984","Employed","East Germany","","","",""
"40","1984","Not Employed","West Germany","1","","",""
"40","1984","Not Employed","East Germany","","","",""
"40","1984","Employed","West Germany","","","",""
"40","1984","Employed","East Germany","","","",""
"41","1984","Not Employed","West Germany","1","","",""
"41","1984","Not Employed","East Germany","","","",""
"41","1984","Employed","West Germany","","","",""
"41","1984","Employed","East Germany","","","",""
"42","1984","Not Employed","West Germany","","","",""
"42","1984","Not Employed","East Germany","","","",""
"42","1984","Employed","West Germany","1","","",""
"42","1984","Employed","East Germany","","","",""
"43","1984","Not Employed","West Germany","1","","",""
"43","1984","Not Employed","East Germany","","","",""
"43","1984","Employed","West Germany","1","","",""
"43","1984","Employed","East Germany","","","",""
"44","1984","Not Employed","West Germany","","","",""
"44","1984","Not Employed","East Germany","","","",""
"44","1984","Employed","West Germany","","","",""
"44","1984","Employed","East Germany","","","",""
"45","1984","Not Employed","West Germany","","","",""
"45","1984","Not Employed","East Germany","","","",""
"45","1984","Employed","West Germany","","","",""
"45","1984","Employed","East Germany","","","",""
"46","1984","Not Employed","West Germany","","","",""
"46","1984","Not Employed","East Germany","","","",""
"46","1984","Employed","West Germany","","","",""
"46","1984","Employed","East Germany","","","",""
"47","1984","Not Employed","West Germany","","","",""
"47","1984","Not Employed","East Germany","","","",""
"47","1984","Employed","West Germany","","","",""
"47","1984","Employed","East Germany","","","",""
"48","1984","Not Employed","West Germany","","","",""
"48","1984","Not Employed","East Germany","","","",""
"48","1984","Employed","West Germany","","","",""
"48","1984","Employed","East Germany","","","",""
"49","1984","Not Employed","West Germany","","","",""
"49","1984","Not Employed","East Germany","","","",""
"49","1984","Employed","West Germany","","","",""
"49","1984","Employed","East Germany","","","",""
"50","1984","Not Employed","West Germany","","","",""
"50","1984","Not Employed","East Germany","","","",""
"50","1984","Employed","West Germany","","","",""
"50","1984","Employed","East Germany","","","",""
"51","1984","Not Employed","West Germany","","","",""
"51","1984","Not Employed","East Germany","","","",""
"51","1984","Employed","West Germany","","","",""
"51","1984","Employed","East Germany","","","",""
"52","1984","Not Employed","West Germany","","","",""
"52","1984","Not Employed","East Germany","","","",""
"52","1984","Employed","West Germany","","","",""
"52","1984","Employed","East Germany","","","",""
"53","1984","Not Employed","West Germany","","","",""
"53","1984","Not Employed","East Germany","","","",""
"53","1984","Employed","West Germany","","","",""
"53","1984","Employed","East Germany","","","",""
"54","1984","Not Employed","West Germany","","","",""
"54","1984","Not Employed","East Germany","","","",""
"54","1984","Employed","West Germany","","","",""
"54","1984","Employed","East Germany","","","",""
"55","1984","Not Employed","West Germany","","","",""
"55","1984","Not Employed","East Germany","","","",""
"55","1984","Employed","West Germany","","","",""
"55","1984","Employed","East Germany","","","",""
"56","1984","Not Employed","West Germany","","","",""
"56","1984","Not Employed","East Germany","","","",""
"56","1984","Employed","West Germany","","","",""
"56","1984","Employed","East Germany","","","",""
"59","1984","Not Employed","West Germany","","","",""
"59","1984","Not Employed","East Germany","","","",""
"59","1984","Employed","West Germany","","","",""
"59","1984","Employed","East Germany","","","",""
"60","1984","Not Employed","West Germany","","","",""
"60","1984","Not Employed","East Germany","","","",""
"60","1984","Employed","West Germany","","","",""
"60","1984","Employed","East Germany","","","",""
"61","1984","Not Employed","West Germany","","","",""
"61","1984","Not Employed","East Germany","","","",""
"61","1984","Employed","West Germany","","","",""
"61","1984","Employed","East Germany","","","",""
"64","1984","Not Employed","West Germany","","","",""
"64","1984","Not Employed","East Germany","","","",""
"64","1984","Employed","West Germany","","","",""
"64","1984","Employed","East Germany","","","",""
"65","1984","Not Employed","West Germany","","","",""
"65","1984","Not Employed","East Germany","","","",""
"65","1984","Employed","West Germany","","","",""
"65","1984","Employed","East Germany","","","",""
"66","1984","Not Employed","West Germany","","","",""
"66","1984","Not Employed","East Germany","","","",""
"66","1984","Employed","West Germany","","","",""
"66","1984","Employed","East Germany","","","",""
"67","1984","Not Employed","West Germany","","","",""
"67","1984","Not Employed","East Germany","","","",""
"67","1984","Employed","West Germany","","","",""
"67","1984","Employed","East Germany","","","",""
"68","1984","Not Employed","West Germany","","","",""
"68","1984","Not Employed","East Germany","","","",""
"68","1984","Employed","West Germany","","","",""
"68","1984","Employed","East Germany","","","",""
"71","1984","Not Employed","West Germany","","","",""
"71","1984","Not Employed","East Germany","","","",""
"71","1984","Employed","West Germany","","","",""
"71","1984","Employed","East Germany","","","",""
"72","1984","Not Employed","West Germany","","","",""
"72","1984","Not Employed","East Germany","","","",""
"72","1984","Employed","West Germany","","","",""
"72","1984","Employed","East Germany","","","",""
"73","1984","Not Employed","West Germany","","","",""
"73","1984","Not Employed","East Germany","","","",""
"73","1984","Employed","West Germany","","","",""
"73","1984","Employed","East Germany","","","",""
"74","1984","Not Employed","West Germany","","","",""
"74","1984","Not Employed","East Germany","","","",""
"74","1984","Employed","West Germany","","","",""
"74","1984","Employed","East Germany","","","",""
"75","1984","Not Employed","West Germany","","","",""
"75","1984","Not Employed","East Germany","","","",""
"75","1984","Employed","West Germany","","","",""
"75","1984","Employed","East Germany","","","",""
"76","1984","Not Employed","West Germany","","","",""
"76","1984","Not Employed","East Germany","","","",""
"76","1984","Employed","West Germany","","","",""
"76","1984","Employed","East Germany","","","",""
"77","1984","Not Employed","West Germany","","","",""
"77","1984","Not Employed","East Germany","","","",""
"77","1984","Employed","West Germany","","","",""
"77","1984","Employed","East Germany","","","",""
"78","1984","Not Employed","West Germany","","","",""
"78","1984","Not Employed","East Germany","","","",""
"78","1984","Employed","West Germany","","","",""
"78","1984","Employed","East Germany","","","",""
"79","1984","Not Employed","West Germany","","","",""
"79","1984","Not Employed","East Germany","","","",""
"79","1984","Employed","West Germany","","","",""
"79","1984","Employed","East Germany","","","",""
"80","1984","Not Employed","West Germany","","","",""
"80","1984","Not Employed","East Germany","","","",""
"80","1984","Employed","West Germany","","","",""
"80","1984","Employed","East Germany","","","",""
"81","1984","Not Employed","West Germany","","","",""
"81","1984","Not Employed","East Germany","","","",""
"81","1984","Employed","West Germany","","","",""
"81","1984","Employed","East Germany","","","",""
"82","1984","Not Employed","West Germany","","","",""
"82","1984","Not Employed","East Germany","","","",""
"82","1984","Employed","West Germany","","","",""
"82","1984","Employed","East Germany","","","",""
"83","1984","Not Employed","West Germany","","","",""
"83","1984","Not Employed","East Germany","","","",""
"83","1984","Employed","West Germany","","","",""
"83","1984","Employed","East Germany","","","",""
"84","1984","Not Employed","West Germany","","","",""
"84","1984","Not Employed","East Germany","","","",""
"84","1984","Employed","West Germany","","","",""
"84","1984","Employed","East Germany","","","",""
"85","1984","Not Employed","West Germany","","","",""
"85","1984","Not Employed","East Germany","","","",""
