"pgnation","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"1","1985","1-pers.-HH","Urban Area","855","0.947948340727431","0.934194504309018","0.961702177145843"
"1","1985","1-pers.-HH","Rural Area","153","0.952591239722116","0.921459444392482","0.98372303505175"
"1","1985","(Married) couple without C. ","Urban Area","1654","0.957944790469086","0.949004007453957","0.966885573484215"
"1","1985","(Married) couple without C. ","Rural Area","458","0.977261620773315","0.964182366211089","0.990340875335541"
"1","1985","Single parent ","Urban Area","328","0.938424899651072","0.915730861460595","0.961118937841549"
"1","1985","Single parent ","Rural Area","104","0.976965066683043","0.949547294216967","1.00438283914912"
"1","1985","Couple + C. LE 16 ","Urban Area","1336","0.864486501746583","0.849968075660164","0.879004927833003"
"1","1985","Couple + C. LE 16 ","Rural Area","431","0.940593366154286","0.920783896167934","0.960402836140638"
"1","1985","Couple + C. GT 16 ","Urban Area","1257","0.949966283105104","0.939424482719498","0.960508083490711"
"1","1985","Couple + C. GT 16 ","Rural Area","361","0.991619089719194","0.982524722765238","1.00071345667315"
"1","1985","Couple + C. LE and GT 16","Urban Area","604","0.869285056114779","0.849886793985352","0.888683318244206"
"1","1985","Couple + C. LE and GT 16","Rural Area","272","0.962162647504907","0.941669409155091","0.982655885854723"
"2","1985","1-pers.-HH","Urban Area","26","","",""
"2","1985","1-pers.-HH","Rural Area","2","","",""
"2","1985","(Married) couple without C. ","Urban Area","37","0.00659461018046141","0.00298921200292978","0.0102000083579931"
"2","1985","(Married) couple without C. ","Rural Area","4","","",""
"2","1985","Single parent ","Urban Area","39","0.0273812470356314","0.0119746264610958","0.0427878676101669"
"2","1985","Single parent ","Rural Area","","","",""
"2","1985","Couple + C. LE 16 ","Urban Area","240","0.0467163020997621","0.0377648299757058","0.0556677742238185"
"2","1985","Couple + C. LE 16 ","Rural Area","28","","",""
"2","1985","Couple + C. GT 16 ","Urban Area","94","0.0107905875637571","0.00579489187040094","0.0157862832571132"
"2","1985","Couple + C. GT 16 ","Rural Area","10","","",""
"2","1985","Couple + C. LE and GT 16","Urban Area","259","0.0722247253036579","0.0573282526752426","0.0871211979320732"
"2","1985","Couple + C. LE and GT 16","Rural Area","16","","",""
"3","1985","1-pers.-HH","Urban Area","40","0.0125339827778717","0.00564555901234097","0.0194224065434025"
"3","1985","1-pers.-HH","Rural Area","8","","",""
"3","1985","(Married) couple without C. ","Urban Area","91","0.0101783793412257","0.00570729153605975","0.0146494671463917"
"3","1985","(Married) couple without C. ","Rural Area","19","","",""
"3","1985","Single parent ","Urban Area","15","","",""
"3","1985","Single parent ","Rural Area","","","",""
"3","1985","Couple + C. LE 16 ","Urban Area","166","0.0219456548985555","0.0157311731408655","0.0281601366562455"
