"pgnation","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Male","1579","0.913171369028443","0.901587789561108","0.924754948495778"
"1","1984","16-34 y.","Female","1641","0.912116569743961","0.900640200571284","0.923592938916637"
"1","1984","35-65 y.","Male","2194","0.915508321060978","0.905901973993597","0.92511466812836"
"1","1984","35-65 y.","Female","2365","0.943479198248351","0.935380179199545","0.951578217297157"
"1","1984","66 and older","Male","501","0.987365575295385","0.977662577642617","0.997068572948153"
"1","1984","66 and older","Female","758","0.99275479798955","0.986768378462783","0.998741217516318"
"2","1984","16-34 y.","Male","244","0.0302085744822641","0.0231674917338294","0.0372496572306989"
"2","1984","16-34 y.","Female","247","0.0315129658968458","0.0244315943315501","0.0385943374621414"
"2","1984","35-65 y.","Male","294","0.0290414386068594","0.0232414176087002","0.0348414596050187"
"2","1984","35-65 y.","Female","231","0.0186825588211462","0.0139337461627962","0.0234313714794961"
"2","1984","66 and older","Male","2","","",""
"2","1984","66 and older","Female","2","","",""
"3","1984","16-34 y.","Male","72","0.0095679583747959","0.00556337682634534","0.0135725399232465"
"3","1984","16-34 y.","Female","116","0.0131054962140774","0.00849563407829648","0.0177153583498584"
"3","1984","35-65 y.","Male","210","0.0166559384343669","0.0122355802867158","0.021076296582018"
"3","1984","35-65 y.","Female","153","0.012003040457811","0.00818372493533567","0.0158223559802864"
"3","1984","66 and older","Male","","","",""
"3","1984","66 and older","Female","2","","",""
"4","1984","16-34 y.","Male","78","0.00453401067345752","0.0017703186514792","0.00729770269543583"
"4","1984","16-34 y.","Female","82","0.00511494254421186","0.00222337946069237","0.00800650562773134"
"4","1984","35-65 y.","Male","162","0.00790961283950706","0.00484995128843675","0.0109692743905774"
"4","1984","35-65 y.","Female","132","0.00517035592481985","0.00265501603454224","0.00768569581509746"
"4","1984","66 and older","Male","","","",""
"4","1984","66 and older","Female","2","","",""
"5","1984","16-34 y.","Male","173","0.0179979513594951","0.0125290146653332","0.0234668880536569"
"5","1984","16-34 y.","Female","140","0.013642815026529","0.00894068169861776","0.0183449483544403"
"5","1984","35-65 y.","Male","189","0.0144388426306977","0.0103185492921045","0.0185591359692909"
"5","1984","35-65 y.","Female","114","0.00661546229445933","0.00377230494214583","0.00945861964677284"
"5","1984","66 and older","Male","","","",""
"5","1984","66 and older","Female","2","","",""
"6","1984","16-34 y.","Male","91","0.00416015782456876","0.00151236003821151","0.00680795561092601"
"6","1984","16-34 y.","Female","74","0.00294421699410374","0.000748024142805762","0.00514040984540172"
"6","1984","35-65 y.","Male","145","0.00434269498824583","0.00207149822207095","0.00661389175442071"
"6","1984","35-65 y.","Female","95","0.00267943796193544","0.000866423207151888","0.004492452716719"
"6","1984","66 and older","Male","1","","",""
"6","1984","66 and older","Female","1","","",""
"10","1984","16-34 y.","Male","7","","",""
"10","1984","16-34 y.","Female","7","","",""
"10","1984","35-65 y.","Male","9","","",""
"10","1984","35-65 y.","Female","9","","",""
"10","1984","66 and older","Male","","","",""
"10","1984","66 and older","Female","","","",""
"11","1984","16-34 y.","Male","5","","",""
"11","1984","16-34 y.","Female","2","","",""
"11","1984","35-65 y.","Male","2","","",""
"11","1984","35-65 y.","Female","3","","",""
"11","1984","66 and older","Male","1","","",""
"11","1984","66 and older","Female","","","",""
"12","1984","16-34 y.","Male","2","","",""
"12","1984","16-34 y.","Female","4","","",""
"12","1984","35-65 y.","Male","1","","",""
"12","1984","35-65 y.","Female","","","",""
"12","1984","66 and older","Male","2","","",""
"12","1984","66 and older","Female","1","","",""
"13","1984","16-34 y.","Male","","","",""
"13","1984","16-34 y.","Female","","","",""
"13","1984","35-65 y.","Male","","","",""
"13","1984","35-65 y.","Female","","","",""
"13","1984","66 and older","Male","","","",""
"13","1984","66 and older","Female","","","",""
"14","1984","16-34 y.","Male","","","",""
"14","1984","16-34 y.","Female","","","",""
"14","1984","35-65 y.","Male","3","","",""
"14","1984","35-65 y.","Female","2","","",""
"14","1984","66 and older","Male","","","",""
"14","1984","66 and older","Female","","","",""
"15","1984","16-34 y.","Male","","","",""
"15","1984","16-34 y.","Female","","","",""
"15","1984","35-65 y.","Male","","","",""
"15","1984","35-65 y.","Female","","","",""
"15","1984","66 and older","Male","","","",""
"15","1984","66 and older","Female","","","",""
"16","1984","16-34 y.","Male","","","",""
"16","1984","16-34 y.","Female","","","",""
"16","1984","35-65 y.","Male","","","",""
"16","1984","35-65 y.","Female","","","",""
"16","1984","66 and older","Male","","","",""
"16","1984","66 and older","Female","","","",""
"17","1984","16-34 y.","Male","","","",""
"17","1984","16-34 y.","Female","1","","",""
"17","1984","35-65 y.","Male","","","",""
"17","1984","35-65 y.","Female","","","",""
"17","1984","66 and older","Male","","","",""
"17","1984","66 and older","Female","","","",""
"18","1984","16-34 y.","Male","5","","",""
"18","1984","16-34 y.","Female","4","","",""
"18","1984","35-65 y.","Male","2","","",""
"18","1984","35-65 y.","Female","4","","",""
"18","1984","66 and older","Male","","","",""
"18","1984","66 and older","Female","1","","",""
"19","1984","16-34 y.","Male","","","",""
"19","1984","16-34 y.","Female","2","","",""
"19","1984","35-65 y.","Male","2","","",""
"19","1984","35-65 y.","Female","3","","",""
"19","1984","66 and older","Male","","","",""
"19","1984","66 and older","Female","1","","",""
"20","1984","16-34 y.","Male","1","","",""
"20","1984","16-34 y.","Female","","","",""
"20","1984","35-65 y.","Male","","","",""
"20","1984","35-65 y.","Female","1","","",""
"20","1984","66 and older","Male","","","",""
"20","1984","66 and older","Female","","","",""
"21","1984","16-34 y.","Male","","","",""
"21","1984","16-34 y.","Female","1","","",""
"21","1984","35-65 y.","Male","","","",""
"21","1984","35-65 y.","Female","","","",""
"21","1984","66 and older","Male","","","",""
"21","1984","66 and older","Female","","","",""
"22","1984","16-34 y.","Male","5","","",""
"22","1984","16-34 y.","Female","3","","",""
"22","1984","35-65 y.","Male","1","","",""
"22","1984","35-65 y.","Female","","","",""
"22","1984","66 and older","Male","","","",""
"22","1984","66 and older","Female","","","",""
"23","1984","16-34 y.","Male","2","","",""
"23","1984","16-34 y.","Female","3","","",""
"23","1984","35-65 y.","Male","","","",""
"23","1984","35-65 y.","Female","","","",""
"23","1984","66 and older","Male","","","",""
"23","1984","66 and older","Female","","","",""
"24","1984","16-34 y.","Male","","","",""
"24","1984","16-34 y.","Female","1","","",""
"24","1984","35-65 y.","Male","1","","",""
"24","1984","35-65 y.","Female","","","",""
"24","1984","66 and older","Male","","","",""
"24","1984","66 and older","Female","","","",""
"25","1984","16-34 y.","Male","","","",""
"25","1984","16-34 y.","Female","1","","",""
"25","1984","35-65 y.","Male","1","","",""
"25","1984","35-65 y.","Female","","","",""
"25","1984","66 and older","Male","","","",""
"25","1984","66 and older","Female","","","",""
"26","1984","16-34 y.","Male","","","",""
"26","1984","16-34 y.","Female","","","",""
"26","1984","35-65 y.","Male","","","",""
"26","1984","35-65 y.","Female","2","","",""
"26","1984","66 and older","Male","","","",""
"26","1984","66 and older","Female","","","",""
"27","1984","16-34 y.","Male","","","",""
"27","1984","16-34 y.","Female","","","",""
"27","1984","35-65 y.","Male","","","",""
"27","1984","35-65 y.","Female","","","",""
"27","1984","66 and older","Male","","","",""
"27","1984","66 and older","Female","","","",""
"28","1984","16-34 y.","Male","1","","",""
"28","1984","16-34 y.","Female","","","",""
"28","1984","35-65 y.","Male","1","","",""
"28","1984","35-65 y.","Female","2","","",""
"28","1984","66 and older","Male","","","",""
"28","1984","66 and older","Female","","","",""
"29","1984","16-34 y.","Male","","","",""
"29","1984","16-34 y.","Female","","","",""
"29","1984","35-65 y.","Male","","","",""
