"pgnation","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","1-pers.-HH","629","0.980621960867865","0.970081220213741","0.991162701521989"
"1","1984","Not Employed","(Married) couple without C. ","1124","0.980808014954125","0.97308071144097","0.98853531846728"
"1","1984","Not Employed","Single parent ","195","0.946895135585447","0.917851669474952","0.975938601695943"
"1","1984","Not Employed","Couple + C. LE 16 ","569","0.866610678101923","0.84428617560585","0.888935180597997"
"1","1984","Not Employed","Couple + C. GT 16 ","557","0.966685663151329","0.953314990109913","0.980056336192745"
"1","1984","Not Employed","Couple + C. LE and GT 16","361","0.902135227454069","0.878458622924933","0.925811831983205"
"1","1984","Employed","1-pers.-HH","496","0.894919650859321","0.87183698207362","0.918002319645023"
"1","1984","Employed","(Married) couple without C. ","1195","0.947036747126338","0.935680272549218","0.958393221703458"
"1","1984","Employed","Single parent ","263","0.943617256112149","0.919452350141014","0.967782162083284"
"1","1984","Employed","Couple + C. LE 16 ","1389","0.882626627008942","0.869149410435049","0.896103843582835"
"1","1984","Employed","Couple + C. GT 16 ","973","0.949517895124818","0.937621106451028","0.961414683798608"
"1","1984","Employed","Couple + C. LE and GT 16","687","0.912495088143902","0.895909069819695","0.929081106468109"
"2","1984","Not Employed","1-pers.-HH","4","","",""
"2","1984","Not Employed","(Married) couple without C. ","20","","",""
"2","1984","Not Employed","Single parent ","9","","",""
"2","1984","Not Employed","Couple + C. LE 16 ","113","0.0533875484194386","0.0386265635671845","0.0681485332716926"
"2","1984","Not Employed","Couple + C. GT 16 ","46","0.0114830266696881","0.00354494987740574","0.0194211034619704"
"2","1984","Not Employed","Couple + C. LE and GT 16","128","0.054487014484682","0.0364006758213676","0.0725733531479963"
"2","1984","Employed","1-pers.-HH","25","","",""
"2","1984","Employed","(Married) couple without C. ","37","0.00807683570733831","0.00353812572332816","0.0126155456913485"
"2","1984","Employed","Single parent ","30","0.0258198805807838","0.0092044800547389","0.0424352811068288"
"2","1984","Employed","Couple + C. LE 16 ","216","0.0404198475609228","0.0321734386493943","0.0486662564724514"
"2","1984","Employed","Couple + C. GT 16 ","71","0.0104119409604538","0.00489621711584082","0.0159276648050667"
"2","1984","Employed","Couple + C. LE and GT 16","188","0.0416008120269964","0.0298806185836966","0.0533210054702963"
"3","1984","Not Employed","1-pers.-HH","3","","",""
"3","1984","Not Employed","(Married) couple without C. ","20","","",""
"3","1984","Not Employed","Single parent ","3","","",""
"3","1984","Not Employed","Couple + C. LE 16 ","53","0.0136927001227759","0.00606207863437215","0.0213233216111797"
"3","1984","Not Employed","Couple + C. GT 16 ","10","","",""
"3","1984","Not Employed","Couple + C. LE and GT 16","20","","",""
"3","1984","Employed","1-pers.-HH","58","0.0315556425867228","0.0183970604762803","0.0447142246971654"
"3","1984","Employed","(Married) couple without C. ","98","0.0137716662336793","0.00786211129661293","0.0196812211707456"
"3","1984","Employed","Single parent ","12","","",""
"3","1984","Employed","Couple + C. LE 16 ","171","0.0190389205468545","0.013316576687142","0.0247612644065669"
"3","1984","Employed","Couple + C. GT 16 ","42","0.00855327180727087","0.00354935280326056","0.0135571908112812"
"3","1984","Employed","Couple + C. LE and GT 16","42","0.0117620778423967","0.0054338305847219","0.0180903251000715"
"4","1984","Not Employed","1-pers.-HH","4","","",""
"4","1984","Not Employed","(Married) couple without C. ","11","","",""
"4","1984","Not Employed","Single parent ","1","","",""
"4","1984","Not Employed","Couple + C. LE 16 ","27","","",""
"4","1984","Not Employed","Couple + C. GT 16 ","32","0.00436118808357371","-0.000548437361782914","0.00927081352893034"
"4","1984","Not Employed","Couple + C. LE and GT 16","26","","",""
"4","1984","Employed","1-pers.-HH","19","","",""
"4","1984","Employed","(Married) couple without C. ","46","0.00578405811877603","0.00193876476198264","0.00962935147556942"
"4","1984","Employed","Single parent ","7","","",""
"4","1984","Employed","Couple + C. LE 16 ","102","0.00847534975341383","0.00463688572769437","0.0123138137791333"
"4","1984","Employed","Couple + C. GT 16 ","91","0.00708521718155428","0.00252755622862816","0.0116428781344804"
"4","1984","Employed","Couple + C. LE and GT 16","60","0.00660460121273907","0.00185020874345987","0.0113589936820183"
"5","1984","Not Employed","1-pers.-HH","5","","",""
"5","1984","Not Employed","(Married) couple without C. ","11","","",""
"5","1984","Not Employed","Single parent ","10","","",""
"5","1984","Not Employed","Couple + C. LE 16 ","71","0.0237981305546468","0.0137900572466779","0.0338062038626158"
"5","1984","Not Employed","Couple + C. GT 16 ","21","","",""
"5","1984","Not Employed","Couple + C. LE and GT 16","38","0.0105153817468621","0.00238731148242484","0.0186434520112993"
"5","1984","Employed","1-pers.-HH","45","0.0254460103042268","0.0135925255535558","0.0372994950548977"
"5","1984","Employed","(Married) couple without C. ","47","0.00620661228642863","0.00222418227517258","0.0101890422976847"
"5","1984","Employed","Single parent ","26","","",""
"5","1984","Employed","Couple + C. LE 16 ","186","0.0215566151954509","0.015475474695753","0.0276377556951487"
"5","1984","Employed","Couple + C. GT 16 ","62","0.00723474615500519","0.0026295898433148","0.0118399024666956"
"5","1984","Employed","Couple + C. LE and GT 16","86","0.0164028211106168","0.00894729030870549","0.0238583519125282"
"6","1984","Not Employed","1-pers.-HH","4","","",""
"6","1984","Not Employed","(Married) couple without C. ","14","","",""
"6","1984","Not Employed","Single parent ","6","","",""
"6","1984","Not Employed","Couple + C. LE 16 ","37","0.00408929639587085","-0.000100990259784352","0.00827958305152606"
"6","1984","Not Employed","Couple + C. GT 16 ","23","","",""
"6","1984","Not Employed","Couple + C. LE and GT 16","28","","",""
"6","1984","Employed","1-pers.-HH","29","","",""
"6","1984","Employed","(Married) couple without C. ","50","0.00252172322854827","-2.14340820200447e-05","0.00506488053911658"
"6","1984","Employed","Single parent ","10","","",""
"6","1984","Employed","Couple + C. LE 16 ","89","0.00375713627644874","0.00119537894440375","0.00631889360849372"
"6","1984","Employed","Couple + C. GT 16 ","49","0.00377528045594217","0.000442837610996106","0.00710772330088824"
"6","1984","Employed","Couple + C. LE and GT 16","48","0.00571029126876889","0.00128750186857617","0.0101330806689616"
"10","1984","Not Employed","1-pers.-HH","","","",""
"10","1984","Not Employed","(Married) couple without C. ","1","","",""
"10","1984","Not Employed","Single parent ","1","","",""
"10","1984","Not Employed","Couple + C. LE 16 ","2","","",""
"10","1984","Not Employed","Couple + C. GT 16 ","2","","",""
"10","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"10","1984","Employed","1-pers.-HH","3","","",""
"10","1984","Employed","(Married) couple without C. ","5","","",""
"10","1984","Employed","Single parent ","","","",""
"10","1984","Employed","Couple + C. LE 16 ","7","","",""
"10","1984","Employed","Couple + C. GT 16 ","10","","",""
"10","1984","Employed","Couple + C. LE and GT 16","1","","",""
"11","1984","Not Employed","1-pers.-HH","","","",""
"11","1984","Not Employed","(Married) couple without C. ","1","","",""
"11","1984","Not Employed","Single parent ","","","",""
"11","1984","Not Employed","Couple + C. LE 16 ","1","","",""
"11","1984","Not Employed","Couple + C. GT 16 ","","","",""
"11","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"11","1984","Employed","1-pers.-HH","1","","",""
"11","1984","Employed","(Married) couple without C. ","5","","",""
"11","1984","Employed","Single parent ","","","",""
"11","1984","Employed","Couple + C. LE 16 ","4","","",""
"11","1984","Employed","Couple + C. GT 16 ","1","","",""
"11","1984","Employed","Couple + C. LE and GT 16","","","",""
"12","1984","Not Employed","1-pers.-HH","1","","",""
"12","1984","Not Employed","(Married) couple without C. ","3","","",""
"12","1984","Not Employed","Single parent ","","","",""
"12","1984","Not Employed","Couple + C. LE 16 ","1","","",""
"12","1984","Not Employed","Couple + C. GT 16 ","","","",""
"12","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"12","1984","Employed","1-pers.-HH","","","",""
"12","1984","Employed","(Married) couple without C. ","2","","",""
"12","1984","Employed","Single parent ","","","",""
"12","1984","Employed","Couple + C. LE 16 ","3","","",""
"12","1984","Employed","Couple + C. GT 16 ","","","",""
"12","1984","Employed","Couple + C. LE and GT 16","","","",""
"13","1984","Not Employed","1-pers.-HH","","","",""
"13","1984","Not Employed","(Married) couple without C. ","","","",""
"13","1984","Not Employed","Single parent ","","","",""
"13","1984","Not Employed","Couple + C. LE 16 ","","","",""
"13","1984","Not Employed","Couple + C. GT 16 ","","","",""
"13","1984","Not Employed","Couple + C. LE and GT 16","","","",""
"13","1984","Employed","1-pers.-HH","","","",""
"13","1984","Employed","(Married) couple without C. ","","","",""
"13","1984","Employed","Single parent ","","","",""
"13","1984","Employed","Couple + C. LE 16 ","","","",""
"13","1984","Employed","Couple + C. GT 16 ","","","",""
"13","1984","Employed","Couple + C. LE and GT 16","","","",""
"14","1984","Not Employed","1-pers.-HH","","","",""
"14","1984","Not Employed","(Married) couple without C. ","","","",""
"14","1984","Not Employed","Single parent ","","","",""
