"pgnation","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"16","1985","Urban Area","Female","","","",""
"16","1985","Rural Area","Male","","","",""
"16","1985","Rural Area","Female","","","",""
"17","1985","Urban Area","Male","","","",""
"17","1985","Urban Area","Female","","","",""
"17","1985","Rural Area","Male","","","",""
"17","1985","Rural Area","Female","1","","",""
"18","1985","Urban Area","Male","2","","",""
"18","1985","Urban Area","Female","5","","",""
"18","1985","Rural Area","Male","","","",""
"18","1985","Rural Area","Female","1","","",""
"19","1985","Urban Area","Male","","","",""
"19","1985","Urban Area","Female","5","","",""
"19","1985","Rural Area","Male","1","","",""
"19","1985","Rural Area","Female","1","","",""
"20","1985","Urban Area","Male","1","","",""
"20","1985","Urban Area","Female","1","","",""
"20","1985","Rural Area","Male","","","",""
"20","1985","Rural Area","Female","","","",""
"21","1985","Urban Area","Male","1","","",""
"21","1985","Urban Area","Female","1","","",""
"21","1985","Rural Area","Male","","","",""
"21","1985","Rural Area","Female","","","",""
"22","1985","Urban Area","Male","3","","",""
"22","1985","Urban Area","Female","2","","",""
"22","1985","Rural Area","Male","1","","",""
"22","1985","Rural Area","Female","1","","",""
"23","1985","Urban Area","Male","1","","",""
"23","1985","Urban Area","Female","2","","",""
"23","1985","Rural Area","Male","","","",""
"23","1985","Rural Area","Female","","","",""
"24","1985","Urban Area","Male","1","","",""
"24","1985","Urban Area","Female","1","","",""
"24","1985","Rural Area","Male","","","",""
"24","1985","Rural Area","Female","","","",""
"25","1985","Urban Area","Male","","","",""
"25","1985","Urban Area","Female","","","",""
"25","1985","Rural Area","Male","","","",""
"25","1985","Rural Area","Female","","","",""
"26","1985","Urban Area","Male","","","",""
"26","1985","Urban Area","Female","2","","",""
"26","1985","Rural Area","Male","","","",""
"26","1985","Rural Area","Female","","","",""
"27","1985","Urban Area","Male","","","",""
"27","1985","Urban Area","Female","","","",""
"27","1985","Rural Area","Male","","","",""
"27","1985","Rural Area","Female","","","",""
"28","1985","Urban Area","Male","","","",""
"28","1985","Urban Area","Female","","","",""
"28","1985","Rural Area","Male","","","",""
"28","1985","Rural Area","Female","","","",""
"29","1985","Urban Area","Male","","","",""
"29","1985","Urban Area","Female","","","",""
"29","1985","Rural Area","Male","","","",""
"29","1985","Rural Area","Female","","","",""
"30","1985","Urban Area","Male","","","",""
"30","1985","Urban Area","Female","","","",""
"30","1985","Rural Area","Male","","","",""
"30","1985","Rural Area","Female","","","",""
"31","1985","Urban Area","Male","","","",""
"31","1985","Urban Area","Female","2","","",""
"31","1985","Rural Area","Male","","","",""
"31","1985","Rural Area","Female","","","",""
"32","1985","Urban Area","Male","","","",""
"32","1985","Urban Area","Female","","","",""
"32","1985","Rural Area","Male","","","",""
"32","1985","Rural Area","Female","","","",""
"34","1985","Urban Area","Male","","","",""
"34","1985","Urban Area","Female","1","","",""
"34","1985","Rural Area","Male","","","",""
"34","1985","Rural Area","Female","","","",""
"35","1985","Urban Area","Male","","","",""
"35","1985","Urban Area","Female","","","",""
"35","1985","Rural Area","Male","","","",""
"35","1985","Rural Area","Female","","","",""
"37","1985","Urban Area","Male","","","",""
"37","1985","Urban Area","Female","","","",""
"37","1985","Rural Area","Male","","","",""
"37","1985","Rural Area","Female","","","",""
"38","1985","Urban Area","Male","","","",""
"38","1985","Urban Area","Female","2","","",""
"38","1985","Rural Area","Male","","","",""
"38","1985","Rural Area","Female","","","",""
"39","1985","Urban Area","Male","2","","",""
"39","1985","Urban Area","Female","","","",""
"39","1985","Rural Area","Male","","","",""
"39","1985","Rural Area","Female","","","",""
