"pgnation","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","West Germany","Male","4274","0.924318942567028","0.91762606034647","0.931011824787586"
"1","1984","West Germany","Female","4764","0.944194529362466","0.938495465860268","0.949893592864664"
"1","1984","East Germany","Male","","","",""
"1","1984","East Germany","Female","","","",""
"2","1984","West Germany","Male","540","0.0256736686345418","0.0216714128072712","0.0296759244618124"
"2","1984","West Germany","Female","480","0.0187848550124641","0.0154141525848174","0.0221555574401109"
"2","1984","East Germany","Male","","","",""
"2","1984","East Germany","Female","","","",""
"3","1984","West Germany","Male","282","0.0119170398382895","0.00917110921453492","0.014662970462044"
"3","1984","West Germany","Female","271","0.00992901427368273","0.0074673965906992","0.0123906319566663"
"3","1984","East Germany","Male","","","",""
"3","1984","East Germany","Female","","","",""
"4","1984","West Germany","Male","240","0.00565578414957197","0.00375810210175781","0.00755346619738613"
"4","1984","West Germany","Female","216","0.00409730259538359","0.00251134400944458","0.00568326118132259"
"4","1984","East Germany","Male","","","",""
"4","1984","East Germany","Female","","","",""
"5","1984","West Germany","Male","362","0.0137604326286688","0.0108125111233632","0.0167083541339744"
"5","1984","West Germany","Female","256","0.00743022656556769","0.00529808557397201","0.00956236755716337"
"5","1984","East Germany","Male","","","",""
"5","1984","East Germany","Female","","","",""
"6","1984","West Germany","Male","237","0.00370445095201909","0.00216712952775741","0.00524177237628078"
"6","1984","West Germany","Female","170","0.00220107528577375","0.00103755667800545","0.00336459389354206"
"6","1984","East Germany","Male","","","",""
"6","1984","East Germany","Female","","","",""
"10","1984","West Germany","Male","16","","",""
"10","1984","West Germany","Female","16","","",""
"10","1984","East Germany","Male","","","",""
"10","1984","East Germany","Female","","","",""
"11","1984","West Germany","Male","8","","",""
"11","1984","West Germany","Female","5","","",""
"11","1984","East Germany","Male","","","",""
"11","1984","East Germany","Female","","","",""
"12","1984","West Germany","Male","5","","",""
"12","1984","West Germany","Female","5","","",""
"12","1984","East Germany","Male","","","",""
"12","1984","East Germany","Female","","","",""
"13","1984","West Germany","Male","","","",""
"13","1984","West Germany","Female","","","",""
"13","1984","East Germany","Male","","","",""
"13","1984","East Germany","Female","","","",""
"14","1984","West Germany","Male","3","","",""
"14","1984","West Germany","Female","2","","",""
"14","1984","East Germany","Male","","","",""
"14","1984","East Germany","Female","","","",""
"15","1984","West Germany","Male","","","",""
"15","1984","West Germany","Female","","","",""
"15","1984","East Germany","Male","","","",""
"15","1984","East Germany","Female","","","",""
"16","1984","West Germany","Male","","","",""
"16","1984","West Germany","Female","","","",""
"16","1984","East Germany","Male","","","",""
"16","1984","East Germany","Female","","","",""
"17","1984","West Germany","Male","","","",""
"17","1984","West Germany","Female","1","","",""
"17","1984","East Germany","Male","","","",""
"17","1984","East Germany","Female","","","",""
"18","1984","West Germany","Male","7","","",""
"18","1984","West Germany","Female","9","","",""
"18","1984","East Germany","Male","","","",""
"18","1984","East Germany","Female","","","",""
"19","1984","West Germany","Male","2","","",""
"19","1984","West Germany","Female","6","","",""
"19","1984","East Germany","Male","","","",""
"19","1984","East Germany","Female","","","",""
"20","1984","West Germany","Male","1","","",""
"20","1984","West Germany","Female","1","","",""
"20","1984","East Germany","Male","","","",""
"20","1984","East Germany","Female","","","",""
"21","1984","West Germany","Male","","","",""
"21","1984","West Germany","Female","1","","",""
"21","1984","East Germany","Male","","","",""
"21","1984","East Germany","Female","","","",""
"22","1984","West Germany","Male","6","","",""
"22","1984","West Germany","Female","3","","",""
"22","1984","East Germany","Male","","","",""
"22","1984","East Germany","Female","","","",""
"23","1984","West Germany","Male","2","","",""
"23","1984","West Germany","Female","3","","",""
"23","1984","East Germany","Male","","","",""
"23","1984","East Germany","Female","","","",""
"24","1984","West Germany","Male","1","","",""
"24","1984","West Germany","Female","1","","",""
"24","1984","East Germany","Male","","","",""
"24","1984","East Germany","Female","","","",""
"25","1984","West Germany","Male","1","","",""
"25","1984","West Germany","Female","1","","",""
"25","1984","East Germany","Male","","","",""
"25","1984","East Germany","Female","","","",""
"26","1984","West Germany","Male","","","",""
"26","1984","West Germany","Female","2","","",""
"26","1984","East Germany","Male","","","",""
"26","1984","East Germany","Female","","","",""
"27","1984","West Germany","Male","","","",""
"27","1984","West Germany","Female","","","",""
"27","1984","East Germany","Male","","","",""
"27","1984","East Germany","Female","","","",""
"28","1984","West Germany","Male","2","","",""
"28","1984","West Germany","Female","2","","",""
"28","1984","East Germany","Male","","","",""
"28","1984","East Germany","Female","","","",""
"29","1984","West Germany","Male","","","",""
"29","1984","West Germany","Female","1","","",""
"29","1984","East Germany","Male","","","",""
"29","1984","East Germany","Female","","","",""
"30","1984","West Germany","Male","","","",""
"30","1984","West Germany","Female","","","",""
"30","1984","East Germany","Male","","","",""
"30","1984","East Germany","Female","","","",""
"31","1984","West Germany","Male","","","",""
"31","1984","West Germany","Female","3","","",""
"31","1984","East Germany","Male","","","",""
"31","1984","East Germany","Female","","","",""
"32","1984","West Germany","Male","","","",""
"32","1984","West Germany","Female","","","",""
"32","1984","East Germany","Male","","","",""
"32","1984","East Germany","Female","","","",""
"34","1984","West Germany","Male","1","","",""
"34","1984","West Germany","Female","3","","",""
"34","1984","East Germany","Male","","","",""
"34","1984","East Germany","Female","","","",""
"35","1984","West Germany","Male","","","",""
"35","1984","West Germany","Female","","","",""
"35","1984","East Germany","Male","","","",""
"35","1984","East Germany","Female","","","",""
"36","1984","West Germany","Male","","","",""
"36","1984","West Germany","Female","1","","",""
"36","1984","East Germany","Male","","","",""
"36","1984","East Germany","Female","","","",""
"37","1984","West Germany","Male","","","",""
"37","1984","West Germany","Female","","","",""
"37","1984","East Germany","Male","","","",""
"37","1984","East Germany","Female","","","",""
"38","1984","West Germany","Male","","","",""
"38","1984","West Germany","Female","2","","",""
"38","1984","East Germany","Male","","","",""
"38","1984","East Germany","Female","","","",""
"39","1984","West Germany","Male","1","","",""
"39","1984","West Germany","Female","","","",""
"39","1984","East Germany","Male","","","",""
