"pgnation","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1","1984","Not Employed","Male","1093","0.957676889493409","0.946820261045262","0.968533517941557"
"1","1984","Not Employed","Female","2649","0.95278176598214","0.945590647290934","0.959972884673345"
"1","1984","Employed","Male","3181","0.911948868358436","0.903828594099127","0.920069142617745"
"1","1984","Employed","Female","2115","0.931914717304912","0.922731097893298","0.941098336716526"
"2","1984","Not Employed","Male","84","0.0138840588568981","0.00757421089361813","0.020193906820178"
"2","1984","Not Employed","Female","278","0.0184049740294946","0.0138479780308838","0.0229619700281053"
"2","1984","Employed","Male","456","0.0300455908083389","0.0251536181933087","0.0349375634233691"
"2","1984","Employed","Female","202","0.0193280876356829","0.0143086451644993","0.0243475301068665"
"3","1984","Not Employed","Male","27","","",""
"3","1984","Not Employed","Female","88","0.0050759392139664","0.00266659948815338","0.00748527893977942"
"3","1984","Employed","Male","255","0.0149430619969673","0.0114663521427524","0.0184197718511823"
"3","1984","Employed","Female","183","0.016868947604271","0.0121738040964346","0.0215640911121074"
"4","1984","Not Employed","Male","32","0.00235702864057347","-0.000257941207946446","0.00497199848909338"
"4","1984","Not Employed","Female","81","0.00266199538088215","0.000915088717824961","0.00440890204393935"
"4","1984","Employed","Male","208","0.00687905638908864","0.00451050131564411","0.00924761146253316"
"4","1984","Employed","Female","135","0.00614980255777537","0.00329950487200293","0.00900010024354781"
"5","1984","Not Employed","Male","32","0.00352020945369037","0.000326354550124038","0.00671406435725671"
"5","1984","Not Employed","Female","128","0.006917026058039","0.00410708414562287","0.00972696797045512"
"5","1984","Employed","Male","330","0.0175577982419238","0.0137941717724169","0.0213214247114308"
"5","1984","Employed","Female","128","0.00816410709773514","0.00488335491407707","0.0114448592813932"
"6","1984","Not Employed","Male","36","0.00214152256524657","-0.000351306417442485","0.00463435154793563"
"6","1984","Not Employed","Female","80","0.00182126900613669","0.000375709171851125","0.00326682884042225"
"6","1984","Employed","Male","201","0.00428402919074459","0.00241243396142708","0.00615562442006211"
"6","1984","Employed","Female","90","0.00274420108267294","0.000836938799649543","0.00465146336569633"
"10","1984","Not Employed","Male","","","",""
"10","1984","Not Employed","Female","6","","",""
"10","1984","Employed","Male","16","","",""
"10","1984","Employed","Female","10","","",""
"11","1984","Not Employed","Male","1","","",""
"11","1984","Not Employed","Female","1","","",""
"11","1984","Employed","Male","7","","",""
"11","1984","Employed","Female","4","","",""
"12","1984","Not Employed","Male","3","","",""
"12","1984","Not Employed","Female","2","","",""
"12","1984","Employed","Male","2","","",""
"12","1984","Employed","Female","3","","",""
"13","1984","Not Employed","Male","","","",""
"13","1984","Not Employed","Female","","","",""
"13","1984","Employed","Male","","","",""
"13","1984","Employed","Female","","","",""
"14","1984","Not Employed","Male","","","",""
"14","1984","Not Employed","Female","","","",""
"14","1984","Employed","Male","3","","",""
"14","1984","Employed","Female","2","","",""
"15","1984","Not Employed","Male","","","",""
"15","1984","Not Employed","Female","","","",""
"15","1984","Employed","Male","","","",""
"15","1984","Employed","Female","","","",""
"16","1984","Not Employed","Male","","","",""
"16","1984","Not Employed","Female","","","",""
"16","1984","Employed","Male","","","",""
"16","1984","Employed","Female","","","",""
"17","1984","Not Employed","Male","","","",""
"17","1984","Not Employed","Female","","","",""
"17","1984","Employed","Male","","","",""
"17","1984","Employed","Female","1","","",""
"18","1984","Not Employed","Male","2","","",""
"18","1984","Not Employed","Female","8","","",""
"18","1984","Employed","Male","5","","",""
"18","1984","Employed","Female","1","","",""
"19","1984","Not Employed","Male","","","",""
"19","1984","Not Employed","Female","2","","",""
"19","1984","Employed","Male","2","","",""
"19","1984","Employed","Female","4","","",""
"20","1984","Not Employed","Male","","","",""
"20","1984","Not Employed","Female","1","","",""
"20","1984","Employed","Male","1","","",""
"20","1984","Employed","Female","","","",""
"21","1984","Not Employed","Male","","","",""
"21","1984","Not Employed","Female","1","","",""
"21","1984","Employed","Male","","","",""
"21","1984","Employed","Female","","","",""
"22","1984","Not Employed","Male","5","","",""
"22","1984","Not Employed","Female","2","","",""
"22","1984","Employed","Male","1","","",""
"22","1984","Employed","Female","1","","",""
"23","1984","Not Employed","Male","1","","",""
"23","1984","Not Employed","Female","1","","",""
"23","1984","Employed","Male","1","","",""
"23","1984","Employed","Female","2","","",""
"24","1984","Not Employed","Male","1","","",""
"24","1984","Not Employed","Female","1","","",""
"24","1984","Employed","Male","","","",""
"24","1984","Employed","Female","","","",""
"25","1984","Not Employed","Male","","","",""
"25","1984","Not Employed","Female","1","","",""
"25","1984","Employed","Male","1","","",""
"25","1984","Employed","Female","","","",""
"26","1984","Not Employed","Male","","","",""
"26","1984","Not Employed","Female","","","",""
"26","1984","Employed","Male","","","",""
"26","1984","Employed","Female","2","","",""
"27","1984","Not Employed","Male","","","",""
"27","1984","Not Employed","Female","","","",""
"27","1984","Employed","Male","","","",""
"27","1984","Employed","Female","","","",""
"28","1984","Not Employed","Male","","","",""
"28","1984","Not Employed","Female","2","","",""
"28","1984","Employed","Male","2","","",""
"28","1984","Employed","Female","","","",""
"29","1984","Not Employed","Male","","","",""
"29","1984","Not Employed","Female","","","",""
"29","1984","Employed","Male","","","",""
"29","1984","Employed","Female","1","","",""
"30","1984","Not Employed","Male","","","",""
"30","1984","Not Employed","Female","","","",""
"30","1984","Employed","Male","","","",""
"30","1984","Employed","Female","","","",""
"31","1984","Not Employed","Male","","","",""
"31","1984","Not Employed","Female","1","","",""
"31","1984","Employed","Male","","","",""
"31","1984","Employed","Female","2","","",""
"32","1984","Not Employed","Male","","","",""
"32","1984","Not Employed","Female","","","",""
"32","1984","Employed","Male","","","",""
"32","1984","Employed","Female","","","",""
"34","1984","Not Employed","Male","","","",""
"34","1984","Not Employed","Female","2","","",""
"34","1984","Employed","Male","1","","",""
"34","1984","Employed","Female","1","","",""
"35","1984","Not Employed","Male","","","",""
"35","1984","Not Employed","Female","","","",""
"35","1984","Employed","Male","","","",""
"35","1984","Employed","Female","","","",""
"36","1984","Not Employed","Male","","","",""
"36","1984","Not Employed","Female","1","","",""
"36","1984","Employed","Male","","","",""
"36","1984","Employed","Female","","","",""
"37","1984","Not Employed","Male","","","",""
"37","1984","Not Employed","Female","","","",""
"37","1984","Employed","Male","","","",""
"37","1984","Employed","Female","","","",""
"38","1984","Not Employed","Male","","","",""
"38","1984","Not Employed","Female","1","","",""
"38","1984","Employed","Male","","","",""
"38","1984","Employed","Female","1","","",""
"39","1984","Not Employed","Male","","","",""
"39","1984","Not Employed","Female","","","",""
"39","1984","Employed","Male","1","","",""
"39","1984","Employed","Female","","","",""
"40","1984","Not Employed","Male","","","",""
"40","1984","Not Employed","Female","1","","",""
"40","1984","Employed","Male","","","",""
"40","1984","Employed","Female","","","",""
"41","1984","Not Employed","Male","1","","",""
"41","1984","Not Employed","Female","","","",""
"41","1984","Employed","Male","","","",""
"41","1984","Employed","Female","","","",""
"42","1984","Not Employed","Male","","","",""
"42","1984","Not Employed","Female","","","",""
"42","1984","Employed","Male","1","","",""
"42","1984","Employed","Female","","","",""
"43","1984","Not Employed","Male","","","",""
"43","1984","Not Employed","Female","1","","",""
"43","1984","Employed","Male","1","","",""
"43","1984","Employed","Female","","","",""
"44","1984","Not Employed","Male","","","",""
"44","1984","Not Employed","Female","","","",""
"44","1984","Employed","Male","","","",""
"44","1984","Employed","Female","","","",""
"45","1984","Not Employed","Male","","","",""
"45","1984","Not Employed","Female","","","",""
"45","1984","Employed","Male","","","",""
"45","1984","Employed","Female","","","",""
"46","1984","Not Employed","Male","","","",""
"46","1984","Not Employed","Female","","","",""
"46","1984","Employed","Male","","","",""
"46","1984","Employed","Female","","","",""
"47","1984","Not Employed","Male","","","",""
"47","1984","Not Employed","Female","","","",""
"47","1984","Employed","Male","","","",""
"47","1984","Employed","Female","","","",""
"48","1984","Not Employed","Male","","","",""
"48","1984","Not Employed","Female","","","",""
"48","1984","Employed","Male","","","",""
"48","1984","Employed","Female","","","",""
"49","1984","Not Employed","Male","","","",""
"49","1984","Not Employed","Female","","","",""
"49","1984","Employed","Male","","","",""
"49","1984","Employed","Female","","","",""
"50","1984","Not Employed","Male","","","",""
"50","1984","Not Employed","Female","","","",""
"50","1984","Employed","Male","","","",""
"50","1984","Employed","Female","","","",""
"51","1984","Not Employed","Male","","","",""
"51","1984","Not Employed","Female","","","",""
"51","1984","Employed","Male","","","",""
"51","1984","Employed","Female","","","",""
"52","1984","Not Employed","Male","","","",""
"52","1984","Not Employed","Female","","","",""
"52","1984","Employed","Male","","","",""
"52","1984","Employed","Female","","","",""
"53","1984","Not Employed","Male","","","",""
"53","1984","Not Employed","Female","","","",""
"53","1984","Employed","Male","","","",""
"53","1984","Employed","Female","","","",""
"54","1984","Not Employed","Male","","","",""
"54","1984","Not Employed","Female","","","",""
"54","1984","Employed","Male","","","",""
"54","1984","Employed","Female","","","",""
"55","1984","Not Employed","Male","","","",""
"55","1984","Not Employed","Female","","","",""
"55","1984","Employed","Male","","","",""
"55","1984","Employed","Female","","","",""
"56","1984","Not Employed","Male","","","",""
"56","1984","Not Employed","Female","","","",""
"56","1984","Employed","Male","","","",""
"56","1984","Employed","Female","","","",""
"59","1984","Not Employed","Male","","","",""
"59","1984","Not Employed","Female","","","",""
"59","1984","Employed","Male","","","",""
"59","1984","Employed","Female","","","",""
"60","1984","Not Employed","Male","","","",""
"60","1984","Not Employed","Female","","","",""
"60","1984","Employed","Male","","","",""
"60","1984","Employed","Female","","","",""
"61","1984","Not Employed","Male","","","",""
"61","1984","Not Employed","Female","","","",""
"61","1984","Employed","Male","","","",""
"61","1984","Employed","Female","","","",""
"64","1984","Not Employed","Male","","","",""
"64","1984","Not Employed","Female","","","",""
"64","1984","Employed","Male","","","",""
"64","1984","Employed","Female","","","",""
"65","1984","Not Employed","Male","","","",""
"65","1984","Not Employed","Female","","","",""
"65","1984","Employed","Male","","","",""
"65","1984","Employed","Female","","","",""
"66","1984","Not Employed","Male","","","",""
"66","1984","Not Employed","Female","","","",""
"66","1984","Employed","Male","","","",""
"66","1984","Employed","Female","","","",""
"67","1984","Not Employed","Male","","","",""
"67","1984","Not Employed","Female","","","",""
"67","1984","Employed","Male","","","",""
"67","1984","Employed","Female","","","",""
"68","1984","Not Employed","Male","","","",""
"68","1984","Not Employed","Female","","","",""
"68","1984","Employed","Male","","","",""
"68","1984","Employed","Female","","","",""
"71","1984","Not Employed","Male","","","",""
"71","1984","Not Employed","Female","","","",""
"71","1984","Employed","Male","","","",""
"71","1984","Employed","Female","","","",""
"72","1984","Not Employed","Male","","","",""
"72","1984","Not Employed","Female","","","",""
"72","1984","Employed","Male","","","",""
"72","1984","Employed","Female","","","",""
"73","1984","Not Employed","Male","","","",""
"73","1984","Not Employed","Female","","","",""
"73","1984","Employed","Male","","","",""
"73","1984","Employed","Female","","","",""
"74","1984","Not Employed","Male","","","",""
"74","1984","Not Employed","Female","","","",""
"74","1984","Employed","Male","","","",""
"74","1984","Employed","Female","","","",""
"75","1984","Not Employed","Male","","","",""
"75","1984","Not Employed","Female","","","",""
"75","1984","Employed","Male","","","",""
"75","1984","Employed","Female","","","",""
"76","1984","Not Employed","Male","","","",""
"76","1984","Not Employed","Female","","","",""
"76","1984","Employed","Male","","","",""
"76","1984","Employed","Female","","","",""
"77","1984","Not Employed","Male","","","",""
"77","1984","Not Employed","Female","","","",""
"77","1984","Employed","Male","","","",""
"77","1984","Employed","Female","","","",""
"78","1984","Not Employed","Male","","","",""
"78","1984","Not Employed","Female","","","",""
"78","1984","Employed","Male","","","",""
"78","1984","Employed","Female","","","",""
"79","1984","Not Employed","Male","","","",""
"79","1984","Not Employed","Female","","","",""
"79","1984","Employed","Male","","","",""
"79","1984","Employed","Female","","","",""
"80","1984","Not Employed","Male","","","",""
"80","1984","Not Employed","Female","","","",""
"80","1984","Employed","Male","","","",""
"80","1984","Employed","Female","","","",""
"81","1984","Not Employed","Male","","","",""
"81","1984","Not Employed","Female","","","",""
"81","1984","Employed","Male","","","",""
"81","1984","Employed","Female","","","",""
"82","1984","Not Employed","Male","","","",""
"82","1984","Not Employed","Female","","","",""
"82","1984","Employed","Male","","","",""
"82","1984","Employed","Female","","","",""
"83","1984","Not Employed","Male","","","",""
"83","1984","Not Employed","Female","","","",""
"83","1984","Employed","Male","","","",""
"83","1984","Employed","Female","","","",""
"84","1984","Not Employed","Male","","","",""
"84","1984","Not Employed","Female","","","",""
"84","1984","Employed","Male","","","",""
"84","1984","Employed","Female","","","",""
"85","1984","Not Employed","Male","","","",""
"85","1984","Not Employed","Female","","","",""
"85","1984","Employed","Male","","","",""
"85","1984","Employed","Female","","","",""
"86","1984","Not Employed","Male","","","",""
"86","1984","Not Employed","Female","","","",""
"86","1984","Employed","Male","","","",""
"86","1984","Employed","Female","","","",""
"89","1984","Not Employed","Male","","","",""
"89","1984","Not Employed","Female","","","",""
"89","1984","Employed","Male","","","",""
"89","1984","Employed","Female","","","",""
"90","1984","Not Employed","Male","","","",""
"90","1984","Not Employed","Female","","","",""
"90","1984","Employed","Male","","","",""
"90","1984","Employed","Female","","","",""
"92","1984","Not Employed","Male","","","",""
"92","1984","Not Employed","Female","","","",""
"92","1984","Employed","Male","","","",""
"92","1984","Employed","Female","","","",""
"94","1984","Not Employed","Male","","","",""
"94","1984","Not Employed","Female","","","",""
"94","1984","Employed","Male","","","",""
