"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","general elemantary","7.18","8","3451","5","6","9","10","7.11","7.25","8","8"
"1984","higher education","7.81","8","790","5","7","9","10","7.68","7.94","8","8"
"1984","higher vocational","7.64","8","656","5","7","9","10","7.49","7.79","8","8"
"1984","in school","7.56","8","186","5","7","9","10","7.28","7.84","8","8"
"1984","inadequately","6.76","7","1015","3","5","9","10","6.61","6.91","7","8"
"1984","middle vocational","7.49","8","5703","5","6","9","10","7.44","7.54","8","8"
"1984","vocational + Abi","7.51","8","311","5","7","9","10","7.28","7.74","8","8"
"1985","general elemantary","7.12","8","3067","5","6","9","10","7.04","7.2","7","8"
"1985","higher education","7.56","8","757","5","7","9","10","7.44","7.68","8","8"
"1985","higher vocational","7.33","8","621","5","6","8","10","7.18","7.48","8","8"
"1985","in school","7.57","8","187","5","7","9","9","7.33","7.81","8","8"
"1985","inadequately","6.95","7","844","4","5","9","10","6.8","7.1","7","8"
"1985","middle vocational","7.24","8","5185","5","6","9","10","7.18","7.3","8","8"
"1985","vocational + Abi","7.24","8","278","5","6","8","10","7.01","7.47","7","8"
"1986","general elemantary","7.23","8","2910","5","6","9","10","7.16","7.3","8","8"
"1986","higher education","7.56","8","750","5","7","9","10","7.43","7.69","8","8"
"1986","higher vocational","7.39","8","582","5","6","9","10","7.25","7.53","8","8"
"1986","in school","7.66","8","188","5","7","9","10","7.43","7.89","8","8"
"1986","inadequately","6.68","7","786","4","5","8","10","6.53","6.83","7","7"
"1986","middle vocational","7.31","8","5002","5","6","8","10","7.26","7.36","8","8"
"1986","vocational + Abi","7.28","7","276","5","6","8","10","7.06","7.5","7","8"
"1987","general elemantary","7.01","7","2846","5","6","8","10","6.93","7.09","7","8"
"1987","higher education","7.33","8","743","5","7","9","9","7.2","7.46","8","8"
"1987","higher vocational","7.24","7.34","569","5","7","8","9","7.1","7.38","7","8"
"1987","in school","7.26","8","189","5","6","9","9","6.99","7.53","8","8"
"1987","inadequately","6.55","7","760","4","5","8","9","6.39","6.71","7","8"
"1987","middle vocational","7.1","7","4972","5","6","8","9","7.05","7.15","7","8"
"1987","vocational + Abi","7.13","8","276","5","6","8","9","6.9","7.36","7","8"
"1988","general elemantary","6.9","7","2731","4","5","8","9","6.82","6.98","7","8"
"1988","higher education","7.21","8","697","4","6","8","9","7.07","7.35","8","8"
"1988","higher vocational","7.17","8","538","5","6","8","9","7.02","7.32","7","8"
"1988","in school","7.42","8","162","5","7","9","9","7.14","7.7","8","8"
"1988","inadequately","6.5","7","698","4","5","8","9","6.35","6.65","7","7"
"1988","middle vocational","7.03","7","4738","5","6","8","9","6.98","7.08","7","8"
"1988","vocational + Abi","6.88","7","271","4","6","8","9","6.64","7.12","7","8"
"1989","general elemantary","6.96","7","2579","4","5","8","10","6.88","7.04","7","8"
"1989","higher education","7.29","8","697","5","6","8","9","7.15","7.43","8","8"
"1989","higher vocational","7.28","8","513","5","6","8","9","7.13","7.43","8","8"
"1989","in school","7.41","8","174","5","6","9","10","7.12","7.7","8","8"
"1989","inadequately","6.81","7","658","4","5","8","10","6.65","6.97","7","7"
"1989","middle vocational","7.02","7","4627","5","6","8","9","6.97","7.07","7","8"
"1989","vocational + Abi","7.27","8","289","5","6","8","10","7.05","7.49","8","8"
"1990","general elemantary","6.96","7","2986","5","5","8","10","6.89","7.03","7","7"
