"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","Female","7.53","8","487","5","7","9","10","7.35","7.71","8","8"
"1984","college entrance qualification","Male","7.65","8","801","5","7","9","10","7.52","7.78","8","8"
"1984","lower secondary degree","Female","7.34","8","3267","5","6","9","10","7.27","7.41","8","8"
"1984","lower secondary degree","Male","7.31","8","2838","5","6","9","10","7.23","7.39","8","8"
"1984","no degree/no degree yet","Female","7.12","8","708","4","5","9","10","6.95","7.29","7","8"
"1984","no degree/no degree yet","Male","7.14","8","590","3","6","9","10","6.95","7.33","7","8"
"1984","Other degree","Female","7.23","8","575","4","6","9","10","7.05","7.41","8","8"
"1984","Other degree","Male","7.12","8","871","4","5","9","10","6.97","7.27","8","8"
"1984","secondary school degree","Female","7.71","8","1120","5","7","9","10","7.6","7.82","8","8"
"1984","secondary school degree","Male","7.7","8","830","5","7","9","10","7.58","7.82","8","8"
"1985","college entrance qualification","Female","7.41","8","464","5","7","9","10","7.24","7.58","8","8"
"1985","college entrance qualification","Male","7.36","8","765","5","7","8","10","7.23","7.49","8","8"
"1985","lower secondary degree","Female","7.15","8","2914","5","6","9","10","7.07","7.23","8","8"
"1985","lower secondary degree","Male","7.16","8","2559","5","6","9","10","7.08","7.24","7","8"
"1985","no degree/no degree yet","Female","7.16","8","583","4","5","9","10","6.99","7.33","7","8"
"1985","no degree/no degree yet","Male","7.27","8","512","5","6","9","10","7.08","7.46","7","8"
"1985","Other degree","Female","6.96","7","483","4","5","8","10","6.76","7.16","7","8"
"1985","Other degree","Male","6.97","7","746","4","5","8","10","6.81","7.13","7","8"
"1985","secondary school degree","Female","7.42","8","1082","5","6","9","10","7.31","7.53","8","8"
"1985","secondary school degree","Male","7.39","8","797","5","7","8","10","7.27","7.51","8","8"
"1986","college entrance qualification","Female","7.38","8","483","5","7","8","9","7.22","7.54","8","8"
"1986","college entrance qualification","Male","7.41","8","769","5","7","8","9","7.29","7.53","8","8"
"1986","lower secondary degree","Female","7.24","8","2736","5","6","9","10","7.16","7.32","8","8"
"1986","lower secondary degree","Male","7.29","8","2436","5","6","9","10","7.21","7.37","8","8"
"1986","no degree/no degree yet","Female","6.95","7","545","4","5","8","10","6.78","7.12","7","8"
"1986","no degree/no degree yet","Male","7.28","8","488","5","6","9","10","7.09","7.47","7","8"
"1986","Other degree","Female","7.07","7","458","5","5","9","10","6.88","7.26","7","8"
"1986","Other degree","Male","6.94","7","711","5","5","8","10","6.79","7.09","7","8"
"1986","secondary school degree","Female","7.44","8","1058","5","6","9","10","7.33","7.55","8","8"
"1986","secondary school degree","Male","7.42","8","777","5","7","8","9","7.3","7.54","8","8"
"1987","college entrance qualification","Female","7.08","8","470","4","6","8","9","6.9","7.26","7","8"
"1987","college entrance qualification","Male","7.22","8","757","5","7","8","9","7.09","7.35","8","8"
"1987","lower secondary degree","Female","7.04","7","2687","5","6","8","10","6.96","7.12","7","8"
"1987","lower secondary degree","Male","7.1","7","2420","5","6","8","10","7.02","7.18","7","8"
"1987","no degree/no degree yet","Female","6.81","7","548","4","5","8","9","6.64","6.98","7","8"
"1987","no degree/no degree yet","Male","6.91","7","456","4","5","9","10","6.7","7.12","7","8"
"1987","Other degree","Female","6.98","7","463","5","6","8","10","6.8","7.16","7","7"
"1987","Other degree","Male","6.85","7","688","4","5","8","9","6.7","7","7","8"
"1987","secondary school degree","Female","7.23","8","1040","5","6","8","9","7.12","7.34","7","8"
"1987","secondary school degree","Male","7.14","7","785","5","6","8","9","7.02","7.26","7","8"
"1988","college entrance qualification","Female","7.13","8","444","4","6","8","10","6.94","7.32","7","8"
"1988","college entrance qualification","Male","7.11","8","731","4","6","8","9","6.98","7.24","7","8"
"1988","lower secondary degree","Female","6.94","7","2545","5","5","8","10","6.86","7.02","7","8"
"1988","lower secondary degree","Male","6.95","7","2332","5","6","8","9","6.87","7.03","7","8"
"1988","no degree/no degree yet","Female","7.01","8","507","4","6","8","10","6.83","7.19","7","8"
"1988","no degree/no degree yet","Male","6.92","7","399","4","6","8","9","6.72","7.12","7","8"
"1988","Other degree","Female","6.73","7","431","4","5","8","9","6.54","6.92","7","8"
"1988","Other degree","Male","7.06","7","644","4","6","8","10","6.91","7.21","7","8"
"1988","secondary school degree","Female","7.16","8","1020","5","6","8","10","7.04","7.28","7","8"
"1988","secondary school degree","Male","7.07","7","737","5","6","8","9","6.94","7.2","7","8"
"1989","college entrance qualification","Female","7.15","8","456","5","6","8","9","6.98","7.32","7","8"
"1989","college entrance qualification","Male","7.21","8","743","5","6","8","9","7.08","7.34","8","8"
"1989","lower secondary degree","Female","6.93","7","2438","4","5","8","9","6.85","7.01","7","8"
"1989","lower secondary degree","Male","6.96","7","2220","5","6","8","9","6.88","7.04","7","8"
"1989","no degree/no degree yet","Female","6.92","7","502","4","5","8","10","6.74","7.1","7","7"
"1989","no degree/no degree yet","Male","7.18","7","384","5","6","9","10","6.98","7.38","7","8"
"1989","Other degree","Female","6.82","7","424","4","5","8","9","6.64","7","7","7"
"1989","Other degree","Male","6.98","7","608","5","5","8","10","6.82","7.14","7","8"
