"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","7.42","8","12178","5","6","9","10","7.38","7.46","8","8"
"1985","7.23","8","11047","5","6","9","10","7.19","7.27","8","8"
"1986","7.3","8","10608","5","6","9","10","7.26","7.34","8","8"
"1987","7.09","7","10479","5","6","8","9","7.05","7.13","7","8"
"1988","7.01","7","9979","4","6","8","9","6.97","7.05","7","8"
"1989","7.05","7","9678","5","6","8","9","7.01","7.09","7","8"
"1990","7.1","7","13901","5","6","8","9","7.07","7.13","7","7"
"1991","7.06","7","13534","5","6","8","9","7.03","7.09","7","7"
"1992","7","7","13301","5","6","8","9","6.97","7.03","7","7"
"1993","6.96","7","13112","5","6","8","9","6.93","6.99","7","7"
"1994","6.88","7","12872","5","6","8","9","6.85","6.91","7","7"
"1995","6.85","7","13301","5","6","8","9","6.82","6.88","7","7"
"1996","6.9","7","13104","5","6","8","9","6.87","6.93","7","7"
"1997","6.77","7","12889","4","6","8","9","6.74","6.8","7","7"
"1998","6.94","7","14289","5","6","8","9","6.91","6.97","7","7"
"1999","6.98","7","13738","5","6","8","9","6.95","7.01","7","7"
"2000","7.09","7","24203","5","6","8","9","7.07","7.11","7","7"
"2001","7.1","7","22011","5","6","8","9","7.08","7.12","7","7"
"2002","6.91","7","23112","5","6","8","9","6.89","6.93","7","7"
"2003","6.87","7","22254","5","6","8","9","6.85","6.89","7","7"
"2004","6.66","7","21678","4","5","8","9","6.64","6.68","7","7"
"2005","6.84","7","20748","4","6","8","9","6.82","6.86","7","7"
"2006","6.78","7","22005","4","6","8","9","6.76","6.8","7","7"
"2007","6.84","7","20574","5","6","8","9","6.82","6.86","7","7"
"2008","6.88","7","19390","5","6","8","9","6.86","6.9","7","7"
"2009","6.81","7","18070","4","6","8","9","6.78","6.84","7","7"
"2010","7.03","7","24031","5","6","8","9","7.01","7.05","8","8"
"2011","6.98","7","25889","5","6","8","9","6.96","7","8","8"
"2012","7.09","7","26494","5","6","8","9","7.07","7.11","8","8"
"2013","7.17","8","30688","5","6","8","9","7.15","7.19","8","8"
"2014","7.17","8","27119","5","6","8","9","7.15","7.19","8","8"
"2015","7.27","8","26898","5","6","8","9","7.25","7.29","8","8"
"2016","7.27","8","28724","5","7","8","9","7.25","7.29","8","8"
"2017","7.26","8","32214","5","7","8","9","7.24","7.28","8","8"
"2018","7.35","8","30053","5","7","8","9","7.33","7.37","8","8"
"2019","7.44","8","29650","5","7","8","9","7.42","7.46","8","8"
