"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1987","North Rhine-Westphalia","23711.48","22183","2839","108","5727","34921","46635","88267","23003.22","24419.74","0","196745","23813","25258"
"1987","Rhineland-Palatinate,Saarland","21535.66","20410.35","771","106","4577","30913","43976","79204","20294.44","22776.88","0","83732","21877","25017"
"1987","Saxony","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","21693.12","21326.33","326","162","7172","30228","42826","83000","19827.04","23559.2","0","83000","21392","24818"
"1987","Thuringia","","","","","","","","","","","","","",""
"1988","Baden-Württemberg","27623.59","25922.26","1901","616","11271","39313","51538","95477","26779.58","28467.6","0","126647","27735","29745"
"1988","Bavaria","26084.82","23680.92","1657","241","7539","38568","51279","82046","25125.48","27044.16","0","147855","26497","28327"
"1988","Berlin","23110.72","21358.13","336","188","6913","34992","47940","85498","21196.63","25024.81","0","100059","22743","29208"
"1988","Brandenburg","","","","","","","","","","","","","",""
"1988","Bremen","13733.99","3981","100","15","113","18713","30196","83372","6984.24","20483.74","0","311142","3981","18595"
"1988","Hamburg","22958.8","19784.83","203","81","608","40258","53217","93291","20005.82","25911.78","0","93291","20503","27434"
"1988","Hesse","26431.79","24593","1005","166","6778","36839","52750","103881","25043.45","27820.13","0","161927","25997","28604"
"1988","Lower Saxony","24572.5","23701.78","1051","153","5939","36292","48863","88080","23300.71","25844.29","0","189599","25175","27648"
"1988","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1988","North Rhine-Westphalia","25149.3","23648.49","2705","139","5911","36641","48417","93797","24358.23","25940.37","0","199278","24559","26025"
"1988","Rhineland-Palatinate,Saarland","23227.44","21373","740","216","6749","33279","45378","81573","21839.04","24615.84","0","163648","22534","26329"
"1988","Saxony","","","","","","","","","","","","","",""
"1988","Saxony-Anhalt","","","","","","","","","","","","","",""
"1988","Schleswig-Holstein","22270.88","21766","324","137","6435","31798","47259","76781","20398.5","24143.26","0","77998","22465","26351"
"1988","Thuringia","","","","","","","","","","","","","",""
"1989","Baden-Württemberg","29308.3","27971.07","1823","602","13038","41589","55153","105268","28298.91","30317.69","0","235174","29388","31161"
"1989","Bavaria","27990.31","25659.7","1620","248","9244","40089","55168","96804","26835.8","29144.82","0","279038","27740","29903"
"1989","Berlin","23442.76","21496.75","332","129","6675","36430","47750","74113","21390.12","25495.4","0","130891","23826","29962"
"1989","Brandenburg","","","","","","","","","","","","","",""
"1989","Bremen","17460.05","8951.07","108","24","210","25908","36881","74137","11400.31","23519.79","0","297200","9952","24308"
"1989","Hamburg","24900.2","22358.95","197","26","2395","35983","53810","111850","21779.88","28020.52","0","111850","23719","30095"
"1989","Hesse","26994.31","25910.77","998","233","6136","39232","55308","103077","25612.14","28376.48","0","200220","26838","29481"
"1989","Lower Saxony","24808.49","23292","1002","167","4965","36449","49553","113931","23437.56","26179.42","0","161747","26320","28373"
"1989","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1989","North Rhine-Westphalia","27242.21","24568","2629","102","7340","39165","54314","122871","26367.06","28117.36","0","300001","26204","28270"
"1989","Rhineland-Palatinate,Saarland","23638.7","22424","696","188","8334","32840","47934","83683","22176.48","25100.92","0","157312","24286","27434"
"1989","Saxony","","","","","","","","","","","","","",""
"1989","Saxony-Anhalt","","","","","","","","","","","","","",""
"1989","Schleswig-Holstein","26031.28","22880","304","177","5933","33840","50874","95783","22720.57","29341.99","0","301825","23208","27554"
"1989","Thuringia","","","","","","","","","","","","","",""
"1990","Baden-Württemberg","31210.23","28719.43","1804","547","14665","44147","57877","101087","29999.91","32420.55","0","473661","30959","33197"
"1990","Bavaria","29147.23","27495","1608","292","9389","41241","58532","95495","27976.34","30318.12","0","308947","30320","31709"
"1990","Berlin","25627.38","24051.3","331","88","6217","36960","49407","82030","22756.61","28498.15","0","265923","25767","31402"
"1990","Brandenburg","","","","","","","","","","","","","",""
"1990","Bremen","18237.69","11027","103","46","201","28182","38458","70047","13051.95","23423.43","0","211312","10410","22396"
"1990","Hamburg","22695.21","21393.74","169","111","2761","34861","49467","93555","19783.77","25606.65","0","93555","21398","28505"
"1990","Hesse","28670.8","27528.32","988","209","6053","41061","56965","113578","27144.21","30197.39","0","211096","28843","31751"
"1990","Lower Saxony","26604.18","24246.54","982","159","6714","39082","53108","106887","25076.02","28132.34","0","186025","25659","28274"
"1990","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"1990","North Rhine-Westphalia","28580.93","26328.42","2575","133","8105","40153","55891","131983","27625.69","29536.17","0","368983","27686","29645"
"1990","Rhineland-Palatinate,Saarland","26802.64","25242.31","673","215","10328","37819","49324","96951","24536.57","29068.71","0","375273","26066","29524"
"1990","Saxony","","","","","","","","","","","","","",""
"1990","Saxony-Anhalt","","","","","","","","","","","","","",""
"1990","Schleswig-Holstein","24951.36","22486.95","284","177","9431","34404","50731","112585","22671.33","27231.39","0","112585","22495","28959"
"1990","Thuringia","","","","","","","","","","","","","",""
"1991","Baden-Württemberg","32586.24","30210.15","1804","639","14130","47179","64109","108659","31570.15","33602.33","0","141334","32899","35586"
"1991","Bavaria","28831.48","27119","1605","223","9295","42011","58437","82906","27785.87","29877.09","0","146943","31479","33311"
