"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(0) in school","31265.13","29100.93","188","11095","19429","39881","51267","98905","28531.02","33999.24","0","155894","25974","31429"
"1984","(1a) inadequately completed","20204.99","18887.79","1115","0","12050","27252","37644","66274","19239.78","21170.2","0","197150","21025","22650"
"1984","(1b) general elementary school","16125.37","14832.64","3015","0","0","25326","36148","66274","15474.6","16776.14","0","280464","18458","19634"
"1984","(1c) basic vocational qualification","21560.17","20605","4269","0","6954","30678","41640","78564","20994.93","22125.41","0","280464","21883","22963"
"1984","(2a) intermediate vocational","25829.52","25283","1411","0","13156","36777","48166","78564","24776.48","26882.56","0","265258","26186","27993"
"1984","(2b) intermediate general qualification","25984.69","25274.44","477","128","13964","35187","46117","83262","24297.81","27671.57","0","155894","25104","28377"
"1984","(2c_gen) general maturity certificate","22168.32","19405.23","415","0","5399","32475","51211","78330","20493.16","23843.48","0","82829","18477","23008"
"1984","(2c_voc) vocational maturity certificate","23915.4","21958.3","456","0","10134","33521","45597","81040","21816.95","26013.85","0","280464","20912","23928"
"1984","(3a) lower tertiary education","31333.51","30422","266","104","16898","42949","56268","109928","27700.54","34966.48","0","291128","27559","34026"
"1984","(3b) higher tertiary education","32300.1","31391.29","527","625","16106","43204","57316","104968","29932.01","34668.19","0","225173","31230","34001"
"1985","(0) in school","33484.12","31184.61","187","14137","22133","44483","55179","90712","30882.91","36085.33","0","95462","27814","34891"
"1985","(1a) inadequately completed","20166.12","19190.79","917","77","10651","29532","37208","59098","19286.69","21045.55","0","107714","21310","24015"
"1985","(1b) general elementary school","16745.89","15316.37","2633","15","193","26434","36332","70972","16040.75","17451.03","0","266885","19272","20528"
"1985","(1c) basic vocational qualification","21865.01","20558.36","3837","83","6216","31560","42705","76313","21269.69","22460.33","0","271883","22292","23443"
"1985","(2a) intermediate vocational","27145.9","25473","1344","190","13191","36593","51809","95462","25816.97","28474.83","0","362049","26663","28690"
"1985","(2b) intermediate general qualification","25432.63","24861.44","475","225","10296","36371","52637","76313","23792.73","27072.53","0","94471","24792","28432"
"1985","(2c_gen) general maturity certificate","23642.43","19379.2","378","199","4664","35769","48071","85585","21349.67","25935.19","0","258723","19168","24570"
"1985","(2c_voc) vocational maturity certificate","22871.04","20365.45","415","148","7772","33035","48749","85146","21150.83","24591.25","0","111234","20935","24945"
"1985","(3a) lower tertiary education","31917.65","29665.36","248","1373","13866","44077","58464","111838","28478.01","35357.29","0","214216","28962","33460"
"1985","(3b) higher tertiary education","32899.15","31432.57","510","1322","18318","46067","60787","89280","31089.25","34709.05","0","117492","31496","35421"
"1986","(0) in school","33071.08","30532.57","189","11075","21511","39655","55460","94621","30217.33","35924.83","0","121709","26123","32938"
