"year","bula_h","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Bavaria","Not Working","13379.15","3071","665","15","124","22906","35750","71046","12023.31","14734.99","0","106694","11964","16349"
"1985","Bavaria","Part Time","26094.36","23668.44","365","6296","14040","34436","44328","89885","24331.67","27857.05","614","117492","22690","27705"
"1985","Berlin","Full Time","27907.2","26396.74","166","13375","17551","35944","43441","60532","25961.91","29852.49","6040","82430","24464","30908"
"1985","Berlin","Not Working","10605.49","251.12","123","0","88","18049","33836","82430","7531.97","13679.01","0","82430","3950","16515"
"1985","Berlin","Part Time","23807.72","21040.71","79","3144","14776","31837","39448","60532","20676.53","26938.91","920","60532","20511","29706"
"1985","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1985","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1985","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1985","Bremen","Full Time","","","","","","","","","","","","","",""
"1985","Bremen","Not Working","3356.6","119.91","65","0","10","767","16580","34239","1069.46","5643.74","0","34239","118","767"
"1985","Bremen","Part Time","","","","","","","","","","","","","",""
"1985","Hamburg","Full Time","32443.31","32091.85","130","16617","19940","38518","56435","76674","29575.31","35311.31","3681","120606","24680","33815"
"1985","Hamburg","Not Working","6975.93","229","109","0","51","8079","29596","50146","4422.31","9529.55","0","54008","256","6401"
"1985","Hamburg","Part Time","26095.23","19541","42","4117","7176","36464","52975","120606","19372.39","32818.07","2455","120606","18352","30684"
"1985","Hesse","Full Time","34111.08","28788","522","14554","19576","41182","53159","181782","32010.45","36211.71","4346","258723","27508","30626"
"1985","Hesse","Not Working","13246.02","2173.94","426","0","128","21372","39902","78979","11411.9","15080.14","0","181782","11551","16642"
"1985","Hesse","Part Time","30720.24","23695.69","191","5991","12066","37873","54024","214216","26400.59","35039.89","199","258723","22046","27101"
"1985","Lower Saxony","Full Time","32486.62","27902.44","441","14720","19693","39185","48411","159825","30131.78","34841.46","1365","266885","27314","30271"
"1985","Lower Saxony","Not Working","13593.15","5116.34","483","0","157","23072","35777","76548","11984.8","15201.5","0","159825","11819","16543"
"1985","Lower Saxony","Part Time","27014.24","25425.85","184","6238","13498","33924","48067","114495","24174.65","29853.83","1174","132454","21855","27139"
"1985","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"1985","North Rhine-Westphalia","Full Time","30984.85","27677.56","1294","14601","19460","37736","51265","89145","30037.08","31932.62","2475","271883","27073","28619"
"1985","North Rhine-Westphalia","Not Working","14100.06","4681.03","1207","0","75","23673","35693","75380","13030.51","15169.61","0","271883","15056","17179"
"1985","North Rhine-Westphalia","Part Time","25608.74","24104.28","473","5171","13882","33867","46079","83484","24163.96","27053.52","381","92040","23775","26843"
"1985","Rhineland-Palatinate,Saarland","Full Time","30108.72","26911.95","334","14623","19529","34188","55334","87477","28470.47","31746.97","3540","108851","26812","29118"
"1985","Rhineland-Palatinate,Saarland","Not Working","11908.12","3312.64","336","13","120","20773","32630","59673","10290.18","13526.06","0","87477","9442","15799"
"1985","Rhineland-Palatinate,Saarland","Part Time","28970.05","24479.79","105","11846","17760","37674","52637","108851","25652.91","32287.19","2444","108851","22695","28704"
"1985","Saxony","Full Time","","","","","","","","","","","","","",""
"1985","Saxony","Not Working","","","","","","","","","","","","","",""
"1985","Saxony","Part Time","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","Full Time","28765.42","24615.92","153","13027","17330","36023","50911","88015","26270.35","31260.49","4418","88015","22784","29807"
"1985","Schleswig-Holstein","Not Working","9316.55","251.11","137","0","31","20135","24924","54643","6882.97","11750.13","0","61020","246","13754"
"1985","Schleswig-Holstein","Part Time","28084.7","23929.69","64","7691","14495","38210","50911","67592","24050.58","32118.82","5114","67592","22292","31188"
"1985","Thuringia","Full Time","","","","","","","","","","","","","",""
"1985","Thuringia","Not Working","","","","","","","","","","","","","",""
"1985","Thuringia","Part Time","","","","","","","","","","","","","",""
"1986","Baden-Württemberg","Full Time","33503.66","30886.94","1010","16106","21767","40736","58399","80663","32543.27","34464.05","3359","122016","30938","32410"
"1986","Baden-Württemberg","Not Working","15249.13","9222.53","644","58","205","25456","38475","66113","13908.93","16589.33","0","122016","18049","20796"
"1986","Baden-Württemberg","Part Time","30148.17","27613.02","353","8300","19576","38311","55807","84537","28362.37","31933.97","393","109382","26451","29358"
"1986","Bavaria","Full Time","34876.04","30080.66","849","16146","21956","40924","54847","97535","32901.08","36851","3481","448962","29507","31940"
"1986","Bavaria","Not Working","13147.65","3093","593","33","169","21553","35716","84704","11114.36","15180.94","0","448962","8629","15424"
"1986","Bavaria","Part Time","27579.88","26164.94","344","7133","14232","35586","48061","100001","25690.56","29469.2","564","139327","25373","28575"
"1986","Berlin","Full Time","29002.43","26349.1","171","13805","18763","38178","46658","82430","26791.2","31213.66","2113","84592","25309","32032"
"1986","Berlin","Not Working","9614.87","511","113","0","99","14725","31693","82430","6186.46","13043.28","0","84592","4295","13600"
"1986","Berlin","Part Time","22409.36","21026.55","71","8641","10124","32262","37983","57265","18907","25911.72","1841","84592","16492","27983"
"1986","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1986","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1986","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1986","Bremen","Full Time","23877.75","20369.32","33","6731","13817","29398","40064","70078","18560.15","29195.35","4801","70078","16486","29398"
"1986","Bremen","Not Working","2908.18","190","59","0","0","2942","13817","24477","917.89","4898.47","0","29611","181","2670"
"1986","Bremen","Part Time","","","","","","","","","","","","","",""
"1986","Hamburg","Full Time","33717.42","33360.17","115","15185","19399","41950","52455","82635","30741.52","36693.32","2481","82635","29598","36097"
"1986","Hamburg","Not Working","8143.09","586.98","104","0","36","6485","33361","54223","5141.51","11144.67","0","64970","610","12105"
"1986","Hamburg","Part Time","28623.77","31135.94","37","4428","12677","40593","48116","66862","23432.38","33815.16","2454","66862","21955","35016"
"1986","Hesse","Full Time","34328.77","31396.44","479","15958","21476","41678","53261","106175","32779.82","35877.72","3841","130739","29151","32291"
"1986","Hesse","Not Working","13198.96","2237.76","385","22","126","22478","38675","84717","11287.52","15110.4","0","121709","9749","18119"
"1986","Hesse","Part Time","27872.72","25169.48","189","4674","10621","37189","52449","106175","25072.04","30673.4","358","130739","23843","28198"
"1986","Lower Saxony","Full Time","32327.77","29506","457","15339","19882","39972","52966","115608","30658.26","33997.28","3129","178185","27549","31680"
"1986","Lower Saxony","Not Working","14293.91","5835.94","463","61","190","22831","38233","106333","12362.25","16225.57","0","178185","11712","17011"
"1986","Lower Saxony","Part Time","25692.03","25065","191","5583","14066","33183","47397","67394","23478.62","27905.44","449","98811","22843","27992"
"1986","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1986","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1986","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"1986","North Rhine-Westphalia","Full Time","32085.46","29126.79","1265","15574","20452","38695","50229","86977","30994.07","33176.85","2911","348575","28683","30678"
"1986","North Rhine-Westphalia","Not Working","13939.33","4930.74","1159","1","139","23477","36449","80113","12923.7","14954.96","0","105670","16195","18539"
"1986","North Rhine-Westphalia","Part Time","28143.98","25988.68","446","5573","14085","36100","50337","100281","26327.11","29960.85","437","160404","25789","28912"
"1986","Rhineland-Palatinate,Saarland","Full Time","30618.65","26936.54","345","14299","19674","36353","53971","82001","29021.26","32216.04","4908","82001","26645","30987"
"1986","Rhineland-Palatinate,Saarland","Not Working","11912.54","3825.3","316","62","186","21125","32789","57794","10229.67","13595.41","0","82001","9075","16208"
"1986","Rhineland-Palatinate,Saarland","Part Time","27201.98","25243.01","111","9957","15582","32640","46796","82001","24075.85","30328.11","1841","82001","24249","28805"
"1986","Saxony","Full Time","","","","","","","","","","","","","",""
"1986","Saxony","Not Working","","","","","","","","","","","","","",""
"1986","Saxony","Part Time","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"1986","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","Full Time","30566.79","26244.93","141","14377","18825","34944","49062","88013","26946.06","34187.52","3905","217978","25354","29002"
"1986","Schleswig-Holstein","Not Working","12033.91","2853.03","109","0","82","20758","27592","51961","7547.59","16520.23","0","217978","3887","18657"
"1986","Schleswig-Holstein","Part Time","30423.74","25961.22","74","7322","11975","36147","67154","217978","23821.9","37025.58","1902","217978","23571","29041"
"1986","Thuringia","Full Time","","","","","","","","","","","","","",""
"1986","Thuringia","Not Working","","","","","","","","","","","","","",""
"1986","Thuringia","Part Time","","","","","","","","","","","","","",""
"1987","Baden-Württemberg","Full Time","35696.38","32981","1036","17435","23838","44244","58013","102397","34649.42","36743.34","1464","153173","32432","34412"
"1987","Baden-Württemberg","Not Working","15909.53","6829","614","26","384","26311","43127","74879","14411.13","17407.93","0","120837","18161","21525"
"1987","Baden-Württemberg","Part Time","29778.78","28718","329","8971","18179","38255","51530","97477","27888.26","31669.3","447","102397","27814","31186"
"1987","Bavaria","Full Time","34872","31797","828","15679","22951","42574","58850","96385","33702.17","36041.83","2195","134719","31458","33388"
"1987","Bavaria","Not Working","12549.93","2460.36","557","42","171","21104","36646","75021","10939.97","14159.89","0","133166","8623","14514"
"1987","Bavaria","Part Time","29173.69","25982.85","350","8166","15057","38028","52845","107855","27117.63","31229.75","1240","134719","25633","28733"
"1987","Berlin","Full Time","31418.95","29997.66","181","13958","20155","39546","47586","82655","28893.16","33944.74","8726","183042","29105","33263"
"1987","Berlin","Not Working","12146.97","3273.03","117","37","137","18120","30698","82655","8021.74","16272.2","0","183042","8726","18097"
"1987","Berlin","Part Time","25643.41","26544.04","67","5188","17931","33625","43102","59463","22380.73","28906.09","1219","59463","23268","32080"
"1987","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1987","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1987","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1987","Bremen","Full Time","24504.86","20098.34","30","11486","14182","26587","34495","89826","17394.01","31615.71","4427","89826","18712","26587"
"1987","Bremen","Not Working","3474.19","426","51","0","0","2896","13396","26587","1304.76","5643.62","0","26587","241","2896"
"1987","Bremen","Part Time","","","","","","","","","","","","","",""
"1987","Hamburg","Full Time","34968.71","33973.15","106","16387","20654","43048","60365","90652","31700.26","38237.16","3068","90652","26890","36206"
"1987","Hamburg","Not Working","8002.88","814.37","86","0","70","9817","28984","60969","4680.31","11325.45","0","62701","2448","14003"
"1987","Hamburg","Part Time","26995.19","26024.07","34","1841","11530","35662","60365","79107","20414.35","33576.03","1350","79107","19313","34732"
"1987","Hesse","Full Time","36720.88","33145.71","500","16770","22943","43485","58913","116581","34943.02","38498.74","2383","208437","31189","34722"
"1987","Hesse","Not Working","14569.51","4360.38","373","0","153","24337","39160","63116","12366.89","16772.13","0","200459","14105","19708"
"1987","Hesse","Part Time","30686.06","27930.43","189","4915","12787","37986","54411","208437","27262.64","34109.48","482","208437","26229","30588"
"1987","Lower Saxony","Full Time","33292.67","29824.97","471","15705","21543","41468","52424","105469","31485.62","35099.72","3068","201751","29202","32512"
"1987","Lower Saxony","Not Working","13765.26","5150.53","431","12","188","23517","38832","62535","11873.41","15657.11","0","136062","10610","18054"
"1987","Lower Saxony","Part Time","26267.05","24681.63","207","7286","13625","33642","45940","70710","23866.66","28667.44","188","125181","22983","28151"
"1987","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1987","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1987","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"1987","North Rhine-Westphalia","Full Time","33368.5","29925.49","1259","15907","21203","40741","53259","100530","32369.57","34367.43","1380","196745","29264","31090"
"1987","North Rhine-Westphalia","Not Working","13815.05","4948.98","1138","0","144","23360","36809","73377","12769.51","14860.59","0","188232","15949","18458"
"1987","North Rhine-Westphalia","Part Time","27084.19","25625","442","5179","12191","36813","48511","79102","25473.37","28695.01","153","125427","25100","27882"
"1987","Rhineland-Palatinate,Saarland","Full Time","31005.12","27623","342","14137","19581","40273","54361","83732","29363.75","32646.49","3636","83732","27965","30929"
"1987","Rhineland-Palatinate,Saarland","Not Working","12074.86","4080.68","316","0","148","20515","33456","71577","10344.67","13805.05","0","79204","10124","17578"
"1987","Rhineland-Palatinate,Saarland","Part Time","25594.76","24667.55","113","5706","14845","31721","48450","72659","22592.59","28596.93","519","80423","22978","27763"
"1987","Saxony","Full Time","","","","","","","","","","","","","",""
"1987","Saxony","Not Working","","","","","","","","","","","","","",""
"1987","Saxony","Part Time","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"1987","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"1987","Schleswig-Holstein","Full Time","29226.92","25815.09","146","14380","19779","35773","52024","83000","26730.21","31723.63","1379","83000","24853","30269"
"1987","Schleswig-Holstein","Not Working","9965.89","1730","116","0","123","18753","28413","60430","7405.4","12526.38","0","60621","3771","16561"
"1987","Schleswig-Holstein","Part Time","27791.97","24165.98","64","7172","19752","31128","49036","83000","23497.56","32086.38","3681","83000","21671","28951"
"1987","Thuringia","Full Time","","","","","","","","","","","","","",""
"1987","Thuringia","Not Working","","","","","","","","","","","","","",""
"1987","Thuringia","Part Time","","","","","","","","","","","","","",""
"1988","Baden-Württemberg","Full Time","36344.54","32540.07","962","17997","23775","44583","60432","102644","35286.03","37403.05","614","126647","32005","33885"
"1988","Baden-Württemberg","Not Working","15310.24","7260","594","67","342","25513","41543","74583","13794.69","16825.79","0","126647","18906","21628"
"1988","Baden-Württemberg","Part Time","31369.21","27990.04","345","7529","19748","41755","58167","97452","29461.09","33277.33","1611","109314","26877","31344"
"1988","Bavaria","Full Time","36765.8","33491.99","807","16377","22848","46627","62270","82046","35512.91","38018.69","5657","147855","32302","35888"
"1988","Bavaria","Not Working","12596.54","2944","502","34","191","21943","36922","76142","10893.37","14299.71","0","147855","9182","16206"
"1988","Bavaria","Part Time","27700.89","26338.27","348","7465","15203","37840","48278","76597","26065.31","29336.47","562","100923","25726","29599"
"1988","Berlin","Full Time","31254.3","30866","170","13866","19347","39249","49739","85498","28904.79","33603.81","3032","100059","30866","35034"
"1988","Berlin","Not Working","10338.03","2422.87","105","0","154","15155","31292","85498","6987.12","13688.94","0","100059","3068","14725"
"1988","Berlin","Part Time","27094.48","27609.2","61","9258","19829","33070","48009","56579","23754.99","30433.97","1177","56579","22560","32499"
"1988","Brandenburg","Full Time","","","","","","","","","","","","","",""
"1988","Brandenburg","Not Working","","","","","","","","","","","","","",""
"1988","Brandenburg","Part Time","","","","","","","","","","","","","",""
"1988","Bremen","Full Time","24959.46","20907.33","30","8284","16725","26996","41989","83372","18190.96","31727.96","3981","83372","18713","30196"
"1988","Bremen","Not Working","3986.38","139.59","51","0","61","3356","21364","31590","704.22","7268.54","0","41627","123","3356"
"1988","Bremen","Part Time","","","","","","","","","","","","","",""
"1988","Hamburg","Full Time","38153.75","38387.95","91","19030","21820","49266","62255","93291","34511.12","41796.38","4467","93291","31627","41101"
"1988","Hamburg","Not Working","7812.11","257.91","81","1","92","4908","30801","62940","3788.91","11835.31","0","72816","307","5767"
"1988","Hamburg","Part Time","23999.46","20888.79","31","2395","11760","34375","45409","76689","17227.13","30771.79","468","76689","12133","30620"
"1988","Hesse","Full Time","36854.06","31308","456","17914","23673","44738","59892","151353","34912.93","38795.19","2137","161927","30640","33490"
"1988","Hesse","Not Working","14800.69","5000.77","350","40","171","25322","42746","73890","12743.24","16858.14","0","98577","13916","18370"
"1988","Hesse","Part Time","31306.75","27115.2","199","6778","15641","38500","54585","151353","28091.81","34521.69","744","151353","26874","31404"
"1988","Lower Saxony","Full Time","34566.08","31615.2","445","16050","21934","42801","55447","92851","32691.69","36440.47","3067","189599","30846","34614"
"1988","Lower Saxony","Not Working","14736.24","4728.83","408","0","216","25732","39247","63005","12766.65","16705.83","0","143111","12591","20758"
"1988","Lower Saxony","Part Time","26887.66","27085.95","198","4218","11708","37069","49202","71748","24524.71","29250.61","768","111541","24646","29244"
"1988","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"1988","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"1988","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
