"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","secondary school degree","general elemantary","25432.63","24861.44","475","225","10296","36371","52637","76313","23792.73","27072.53","0","94471","24792","28432"
"1985","secondary school degree","higher education","36158.82","29220.51","62","790","9203","48367","81156","214216","25487.34","46830.3","0","214216","26164","42696"
"1985","secondary school degree","higher vocational","26451.38","24999.96","200","153","10030","36753","53159","89885","23551.48","29351.28","0","120606","24951","31547"
"1985","secondary school degree","in school","","","","","","","","","","","","","",""
"1985","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1985","secondary school degree","middle vocational","27261.96","25479.23","1145","215","13294","36584","51663","106694","25784.28","28739.64","0","362049","26451","28704"
"1985","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1986","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1986","college entrance qualification","higher education","34862.35","33527.6","612","2659","19708","46658","61647","105670","33012.86","36711.84","0","160404","33745","38233"
"1986","college entrance qualification","higher vocational","25270.5","20829.01","131","128","6904","38178","53524","90499","21641.39","28899.61","0","100281","18925","31576"
"1986","college entrance qualification","in school","","","","","","","","","","","","","",""
"1986","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1986","college entrance qualification","middle vocational","26505.9","24302.11","325","1104","5318","37108","55620","94621","22982.24","30029.56","0","448962","22906","28526"
"1986","college entrance qualification","vocational + Abi","24157.73","20531.23","190","725","7322","33703","50090","82635","21377.78","26937.68","0","97535","20733","28795"
"1986","lower secondary degree","general elemantary","16473.83","14011.51","1882","37","216","27134","37955","72926","15679.85","17267.81","0","178185","19016","21125"
"1986","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1986","lower secondary degree","higher vocational","25590.7","24891.76","261","206","12633","37893","47287","80663","23434.18","27747.22","0","97535","24990","30376"
"1986","lower secondary degree","in school","","","","","","","","","","","","","",""
"1986","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1986","lower secondary degree","middle vocational","22023.51","21146.3","3020","150","5624","31951","42070","82001","21363.46","22683.56","0","348575","23196","24444"
"1986","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1986","no degree/no degree yet","in school","32859.23","30432.3","188","11075","21511","39625","54121","94621","30016.63","35701.83","0","121709","26123","32918"
"1986","no degree/no degree yet","inadequately","21668.85","20308.37","755","124","12105","30114","40615","73933","20659.39","22678.31","0","86161","22701","25922"
"1986","no degree/no degree yet","middle vocational","23855.17","21525","90","966","4295","35879","47636","69433","20599.13","27111.21","0","69954","20417","29996"
"1986","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1986","Other degree","general elemantary","23131.12","21150.26","576","10850","15952","31020","39173","55275","22140.74","24121.5","0","94794","22395","25279"
"1986","Other degree","higher education","25075.68","21642.49","54","358","10774","39426","54150","61355","20431.52","29719.84","0","61355","23444","36346"
"1986","Other degree","higher vocational","","","","","","","","","","","","","",""
"1986","Other degree","in school","","","","","","","","","","","","","",""
