"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","(0) in school","","","","","","","","","","","","","",""
"1984","direct migration background","(1a) inadequately completed","21398.1","19580","1041","6445","13958","26945","35669","65906","20398.3","22397.9","0","197150","21169","22742"
"1984","direct migration background","(1b) general elementary school","20591.44","18797.88","1025","0","12476","28121","36455","62804","19529.55","21653.33","0","280464","20891","22945"
"1984","direct migration background","(1c) basic vocational qualification","24566.55","22865.44","722","5880","15983","31551","41568","85590","23330.02","25803.08","0","280464","23315","26050"
"1984","direct migration background","(2a) intermediate vocational","27075.25","25448.91","88","0","8845","36117","47346","265258","20560.66","33589.84","0","265258","21730","32110"
"1984","direct migration background","(2b) intermediate general qualification","22533.24","19846.67","52","6751","15339","34205","37196","43994","19060.05","26006.43","0","55859","19864","31381"
"1984","direct migration background","(2c_gen) general maturity certificate","23406.28","20125.34","129","4191","13286","30212","49084","75058","21046.05","25766.51","1917","75058","18407","23826"
"1984","direct migration background","(2c_voc) vocational maturity certificate","20285.9","17389.36","146","1479","12271","29450","35116","55220","16235.59","24336.21","0","280464","18202","23315"
"1984","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","direct migration background","(3b) higher tertiary education","29741.52","31658.59","100","102","12271","43255","54146","102239","22987.39","36495.65","0","222577","28859","36388"
"1984","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1984","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1984","indirect migration background","(1b) general elementary school","23353.62","20489.01","37","15786","20145","28827","32829","67644","18548.85","28158.39","0","67644","19685","28827"
"1984","indirect migration background","(1c) basic vocational qualification","17106.23","16691.43","38","0","0","32051","36956","47214","12349.31","21863.15","0","50424","16833","32051"
"1984","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1984","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1984","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1984","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1984","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1984","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1984","no migration background","(0) in school","31403.15","29252.47","159","11095","19429","39881","51513","98905","28260.05","34546.25","0","155894","25974","32569"
