"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","East Germany","","","","","","","","","","","","","",""
"1984","Full Time","West Germany","30654.83","27559","5678","14623","19540","37303","48974","87124","30167.48","31142.18","1227","291128","27405","28172"
"1984","Not Working","East Germany","","","","","","","","","","","","","",""
"1984","Not Working","West Germany","12647.66","2775.43","4663","0","0","21840","34001","66892","12129.69","13165.63","0","265258","13498","14858"
"1984","Part Time","East Germany","","","","","","","","","","","","","",""
"1984","Part Time","West Germany","25727.56","23528.67","1890","5317","13549","34096","45643","93125","24850.18","26604.94","286","291128","23008","24542"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","31870.88","28184","4986","14793","19787","38099","52777","94471","31331.74","32410.02","1365","362049","28241","29123"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","12879.09","2728.03","4233","0","102","22133","35075","69292","12348.02","13410.16","0","271883","14418","15594"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","26701.73","24279.19","1868","5991","14258","34640","48384","89885","25855.37","27548.09","178","258723","24358","25811"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","32813.67","29525","4865","15375","20639","39881","53524","90375","32245.7","33381.64","2113","448962","29911","30938"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","13238.25","4052.79","3945","23","153","22327","35923","78032","12630.22","13846.28","0","448962","14725","16242"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","27850.58","25922","1833","6238","14086","35773","50027","92748","27008.77","28692.39","358","217978","26052","27263"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","33919.51","30564.77","4899","15775","21571","41415","55916","97477","33417.8","34421.22","1379","208437","30957","32025"
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","13281.94","4013.39","3799","0","153","22727","36915","71712","12682.85","13881.03","0","200459","15339","16873"
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","27928.86","25909.41","1815","6545","14781","36784","49246","97477","27081.89","28775.83","153","208437","26265","27814"
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
"1988","Full Time","West Germany","35261.03","31706.18","4602","16374","22257","43665","56666","97452","34725.32","35796.74","614","199278","31880","33132"
"1988","Not Working","East Germany","","","","","","","","","","","","","",""
"1988","Not Working","West Germany","13597.86","4031.71","3572","18","179","23222","37825","74583","12961.87","14233.85","0","199278","15443","17048"
"1988","Part Time","East Germany","","","","","","","","","","","","","",""
"1988","Part Time","West Germany","28950.07","26719.49","1848","7010","16490","37840","50198","87731","28081.93","29818.21","409","311142","26764","28352"
"1989","Full Time","East Germany","","","","","","","","","","","","","",""
