"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","indirect migration background","36536.19","33118.34","612","5154","19088","53430","66564","102226","34760.15","38312.23","0","165776","32167","36212"
"1999","no migration background","32941.42","28710.59","10933","153","4689","49765","71957","127056","32373.71","33509.13","0","428635","32512","33868"
"2000","direct migration background","31235.06","26844.64","3344","123","7464","45070","63677","129266","30282.67","32187.45","0","264633","28274","29994"
"2000","indirect migration background","40095.67","35860.04","831","6177","21287","55899","72037","126201","38265.77","41925.57","0","238555","35428","38878"
"2000","no migration background","33975.13","29450","20091","161","4616","50747","74220","139451","33501.95","34448.31","0","668273","32562","33464"
"2001","direct migration background","30922.64","26772.13","2945","88","6136","43996","62787","145788","29747.86","32097.42","0","497088","28609","30557"
"2001","indirect migration background","41056.93","36052.4","777","6095","19722","57669","76953","149579","38985.88","43127.98","0","300231","34461","38142"
"2001","no migration background","34297.88","29911","18341","161","4797","51522","73993","146823","33805.56","34790.2","0","526806","33255","34158"
"2002","direct migration background","30992.86","27236.01","2820","70","6550","43470","61452","145350","29215.61","32770.11","0","1022417","30545","33000"
"2002","indirect migration background","44098.36","36150.01","784","4468","20681","53451","74456","201643","39693.24","48503.48","0","1022417","38058","42327"
"2002","no migration background","34593.89","28899.02","19553","198","4500","50400","74143","159448","33907.78","35280","0","950298","37632","38681"
"2003","direct migration background","31405.78","26741","2645","56","5800","43633","64045","139208","29451.09","33360.47","0","1147759","30703","33000"
"2003","indirect migration background","45139.51","36830.95","790","3840","19200","57908","79887","171171","40276.01","50003.01","0","1147759","38004","43679"
"2003","no migration background","35340.93","29696.37","18862","181","4330","52754","76513","164619","34673.45","36008.41","0","967766","37595","38684"
"2004","direct migration background","31830.73","26800","2552","116","6200","44769","63587","142543","28380.78","35280.68","0","4126742","30000","32628"
"2004","indirect migration background","40133.46","36437.56","811","5075","15760","54409","74842","162000","37495.07","42771.85","0","283107","38530","43670"
"2004","no migration background","35003.74","28927","18370","176","4054","51487","75800","160948","34152.44","35855.04","0","4126742","37443","38578"
"2005","direct migration background","31096.44","24292","2384","56","4800","43470","64832","126000","27025","35167.88","0","4678880","27800","30696"
"2005","indirect migration background","40005","36151.6","835","4118","18352","57201","74097","149758","37382.61","42627.39","0","307480","36680","40656"
"2005","no migration background","35263.1","29996.92","17593","176","4623","51998","77147","151920","34391.95","36134.25","0","4678880","36575","38040"
"2006","direct migration background","30340.6","26701","2399","0","3157","44672","64342","140980","28503.29","32177.91","0","1511578","28721","31653"
"2006","indirect migration background","37641.63","32696","863","2000","15850","55111","70556","136502","34856.79","40426.47","0","517457","35496","39000"
"2006","no migration background","35715.43","28395.36","19119","150","3836","52365","79078","175632","34973.07","36457.79","0","1564022","35300","36744"
"2007","direct migration background","31116.32","26649","2149","0","4000","45135","67311","144435","29340.08","32892.56","0","672085","28911","31968"
"2007","indirect migration background","39563.49","34380.32","845","3286","14427","54401","76571","215943","36431.15","42695.83","0","531648","36660","41040"
"2007","no migration background","36448.15","29641.07","17971","174","4203","53966","79800","166546","35718.59","37177.71","0","866704","36000","37406"
"2008","direct migration background","32230.43","25306.72","1920","0","4008","44400","63750","151518","29272.52","35188.34","0","2401029","28292","31631"
"2008","indirect migration background","40815.2","35605.54","830","3732","18240","55748","80020","146010","38123.94","43506.46","0","322671","37701","43314"
"2008","no migration background","37903.86","31195","16936","177","4813","55827","81961","174912","37085.07","38722.65","0","2401029","36755","38246"
"2009","direct migration background","32708.42","26706.13","1676","0","6008","46426","72911","156546","30998.2","34418.64","0","345082","28410","32267"
"2009","indirect migration background","44238.54","38418.6","757","4879","22100","57949","82392","190157","40965.71","47511.37","0","474754","38350","42982"
"2009","no migration background","38694.28","31600.18","15930","196","5058","56060","84212","177708","37866.51","39522.05","0","1220980","36507","38177"
"2010","direct migration background","34193.41","28201.25","2921","12","6000","47950","75289","169825","32920.19","35466.63","0","335188","25451","27700"
"2010","indirect migration background","44088.3","38860","1228","4236","17201","58435","88907","171797","41832.41","46344.19","0","360165","34485","39002"
"2010","no migration background","38696.72","31517.63","20283","200","5390","56842","85412","179744","38050.6","39342.84","0","1001382","35760","36940"
"2011","direct migration background","35333.94","29032.4","3280","34","5841","50350","77800","172840","34061.38","36606.5","0","574515","27285","29190"
"2011","indirect migration background","48819.89","41209.77","1410","4480","18000","69013","100433","184000","46322.04","51317.74","0","574515","36248","40522"
"2011","no migration background","39856.18","31800.51","24325","159","5357","59080","87646","189789","39241.13","40471.23","0","976703","35515","36571"
"2012","direct migration background","36548.3","31000","3071","36","7350","52856","78940","164747","35281.51","37815.09","0","379656","30000","31800"
