"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","22004.35","20662.16","12231","0","5248","31956","43639","81040","21652.44","22356.26","0","291128","22196","22855"
"1985","22696.57","20908.9","11087","80","5072","32764","45924","85585","22325.27","23067.87","0","362049","23072","23935"
"1986","23575.94","21875.73","10643","136","6076","33729","46425","86161","23179.26","23972.62","0","448962","24414","25258"
"1987","24330.29","22801.53","10513","150","6588","35487","48752","94232","23951.79","24708.79","0","208437","25615","26331"
"1988","25213.25","23434","10022","170","6621","36927","49924","92799","24812.44","25614.06","0","311142","26061","26831"
"1989","26772.13","24641.41","9709","177","7178","38557","52905","111850","26319.06","27225.2","0","301825","27584","28491"
"1990","28222.67","26177.53","9517","180","8105","40071","54881","109653","27716.73","28728.61","0","473661","29104","29904"
"1991","29196.86","26716.87","9466","203","8941","41623","57950","108659","28714.77","29678.95","0","344950","30066","31089"
"1992","28213.41","24949.84","13391","210","8296","40914","58423","104181","27817.9","28608.92","0","518807","26848","27661"
"1993","29837.27","26650","13178","228","7772","43700","61355","110758","29411.62","30262.92","0","425113","28788","29706"
"1994","30594.86","27812.96","12944","193","7516","45437","64067","109331","30152.69","31037.03","0","352605","30575","31367"
"1995","30460.81","26928","13370","179","6187","45198","64276","110835","30012.46","30909.16","0","404250","30305","31260"
"1996","31516.56","27477","13125","166","5898","47162","67030","121585","31030.28","32002.84","0","554455","30797","31665"
"1997","31445.9","27510","12915","176","5540","47601","67307","119736","30966.03","31925.77","0","379427","31241","32286"
"1998","31679.85","27720.38","14327","166","4944","47192","68559","119055","31208.4","32151.3","0","566257","31072","32105"
"1999","32724.75","28354.01","13768","157","5661","49084","70425","126809","32234.76","33214.74","0","428635","31668","32775"
"2000","33783.85","29245.46","24266","165","5238","50209","72954","139266","33365.46","34202.24","0","668273","32095","32927"
"2001","34054.76","29699","22063","162","5307","50696","72687","147537","33610.01","34499.51","0","526806","32668","33515"
"2002","34394.2","28867","23157","192","5000","49306","72392","161759","33756.95","35031.45","0","1022417","36467","37682"
"2003","35133.11","29550.77","22297","168","4908","51716","75350","164619","34497.88","35768.34","0","1147759","36823","37835"
"2004","34765.01","28700.88","21733","181","4850","50765","73713","160073","33932.76","35597.26","0","4126742","36500","37745"
"2005","34895","29200","20812","172","4872","50969","75450","150641","34016.45","35773.55","0","4678880","35821","36942"
"2006","35095.09","28130.37","22381","131","4040","51565","75960","169641","34421.38","35768.8","0","1564022","34729","36000"
"2007","35907","29305","20965","164","4461","52910","77619","164626","35242.54","36571.46","0","866704","35248","36599"
"2008","37332.21","30809","19686","168","5066","54261","79990","172261","36561.73","38102.69","0","2401029","35869","37370"
"2009","38255.19","31544.93","18363","181","5550","54670","82612","176550","37506.81","39003.57","0","1220980","36122","37413"
"2010","38325.19","31269.91","24432","186","5789","55901","85260","175732","37754.45","38895.93","0","1001382","34245","35180"
"2011","39659.89","31852","29015","155","5881","58355","86792","184840","39109.72","40210.06","0","976703","34415","35500"
"2012","40930.79","32569.2","28276","159","6019","59549","89332","187584","40276.42","41585.16","0","2618321","35200","36168"
"2013","41246.17","32359","31316","153","6096","60798","91580","183180","40669.79","41822.55","0","1900539","35799","36640"
"2014","42235.17","32741","27786","130","5900","62039","92929","191048","41616.37","42853.97","0","2399132","36573","37530"
"2015","42588.15","33709","27512","124","5956","63679","96932","181921","42020.09","43156.21","0","1906349","36660","37784"
"2016","44369.08","35260","24957","143","6366","64633","97140","208440","43672.01","45066.15","0","2962587","38098","39318"
"2017","45372.78","36000","29452","110","6130","67140","100228","204809","44731.93","46013.63","0","1464690","37048","38400"
"2018","46804.67","36960.82","29890","105","6229","68680","102502","211158","46154.94","47454.4","0","1389924","33083","34607"
"2019","49398.82","39840.21","29667","123","7201","71272","106536","217518","48135","50662.64","0","10972493","39616","41400"
