"year","bula_h","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Baden-W?rttemberg","Female","22109.08","20469.35","1140","0","2209","31583","43052","98897","20827.07","23391.09","0","265258","22497","24566"
"1984","Baden-W?rttemberg","Male","27323.08","24849","1130","435","15824","35542","48550","87124","26103.63","28542.53","0","265258","24542","26975"
"1984","Bavaria","Female","20632.44","19940","1107","0","2761","30749","42393","76625","19560.5","21704.38","0","220878","21208","23119"
"1984","Bavaria","Male","24089.95","22756","1001","0","13337","33234","44541","81040","22982.66","25197.24","0","220878","22679","24542"
"1984","Berlin","Female","18627.63","16489","213","0","0","29606","39456","67975","14425.82","22829.44","0","280464","18969","26961"
"1984","Berlin","Male","23055.33","21667.04","198","0","12782","31853","40469","56249","18821.96","27288.7","0","280464","21679","27303"
"1984","Brandenburg","Female","","","","","","","","","","","","","",""
"1984","Brandenburg","Male","","","","","","","","","","","","","",""
"1984","Bremen","Female","8403.04","0","69","0","0","14649","27702","100622","4480.83","12325.25","0","100622","0","14418"
"1984","Bremen","Male","12478.69","9157.52","63","0","0","22752","30889","100622","8322.96","16634.42","0","100622","7976","17800"
"1984","Hamburg","Female","17520.17","16140.72","159","0","0","27789","43997","75825","14631.93","20408.41","0","79088","16310","21934"
"1984","Hamburg","Male","21572.46","19860.82","152","0","562","31594","45651","75825","18677.16","24467.76","0","79088","20043","25335"
"1984","Hesse","Female","21259.17","18279","623","0","1125","33491","46154","93125","19601.28","22917.06","0","291128","21014","23187"
"1984","Hesse","Male","25681.28","23568.67","629","0","11427","37196","49362","93125","23979.17","27383.39","0","291128","22730","25115"
"1984","Lower Saxony","Female","18486.59","17016.24","633","0","627","28972","39063","78330","17108.62","19864.56","0","141730","18100","21116"
"1984","Lower Saxony","Male","22374.85","21079.97","603","0","10533","31780","41834","78330","21014.66","23735.04","0","141730","19889","23581"
"1984","Mecklenburg-Western Pomerania","Female","","","","","","","","","","","","","",""
"1984","Mecklenburg-Western Pomerania","Male","","","","","","","","","","","","","",""
"1984","North Rhine-Westphalia","Female","19925.99","18458","1655","0","102","29711","42217","83262","18998.02","20853.96","0","225173","19899","21629"
