"plh0107","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Not Employed","824","0.327334570624143","0.308318163283465","0.346350977964821","2"
"Important","1990","Employed","2558","0.570137702169064","0.555681465426572","0.584593938911556","2"
"Less important","1990","Not Employed","462","0.192780810160781","0.176794044112143","0.20876757620942","3"
"Less important","1990","Employed","629","0.138593338157895","0.128503690879995","0.148682985435794","3"
"Quite unimportant","1990","Not Employed","762","0.367843959357023","0.348301602455948","0.387386316258097","4"
"Quite unimportant","1990","Employed","72","0.0181365013750155","0.0142397472167287","0.0220332555333024","4"
"Very important","1990","Not Employed","291","0.112040659858053","0.0992581143086447","0.12482320540746","1"
"Very important","1990","Employed","1246","0.273132458298026","0.260121329138564","0.286143587457489","1"
"Important","1991","Not Employed","","","","","2"
"Important","1991","Employed","","","","","2"
"Less important","1991","Not Employed","","","","","3"
"Less important","1991","Employed","","","","","3"
"Quite unimportant","1991","Not Employed","","","","","4"
"Quite unimportant","1991","Employed","","","","","4"
"Very important","1991","Not Employed","","","","","1"
"Very important","1991","Employed","","","","","1"
"Important","1992","Not Employed","990","0.288039439523141","0.272468056696617","0.303610822349664","2"
"Important","1992","Employed","3978","0.547636626066022","0.536312444197812","0.558960807934232","2"
"Less important","1992","Not Employed","605","0.187632019880202","0.174207365583691","0.201056674176713","3"
"Less important","1992","Employed","771","0.112654071778495","0.105460628849301","0.119847514707689","3"
"Quite unimportant","1992","Not Employed","1233","0.419474766905259","0.402506530477997","0.436443003332522","4"
"Quite unimportant","1992","Employed","145","0.0216392166478541","0.0183287656724552","0.0249496676232531","4"
"Very important","1992","Not Employed","421","0.104853773691398","0.0943193141240316","0.115388233258764","1"
"Very important","1992","Employed","2527","0.318070085507628","0.307473934005192","0.328666237010064","1"
"Important","1993","Not Employed","","","","","2"
"Important","1993","Employed","","","","","2"
"Less important","1993","Not Employed","","","","","3"
"Less important","1993","Employed","","","","","3"
"Quite unimportant","1993","Not Employed","","","","","4"
"Quite unimportant","1993","Employed","","","","","4"
"Very important","1993","Not Employed","","","","","1"
"Very important","1993","Employed","","","","","1"
"Important","1994","Not Employed","","","","","2"
"Important","1994","Employed","","","","","2"
"Less important","1994","Not Employed","","","","","3"
"Less important","1994","Employed","","","","","3"
"Quite unimportant","1994","Not Employed","","","","","4"
"Quite unimportant","1994","Employed","","","","","4"
"Very important","1994","Not Employed","","","","","1"
"Very important","1994","Employed","","","","","1"
"Important","1995","Employed","4047","0.567401891915228","0.555902878769594","0.578900905060861","2"
"Important","1995","Not Employed","1313","0.333375087087249","0.318141908340069","0.348608265834428","2"
"Less important","1995","Employed","796","0.125179947053587","0.117499267976026","0.132860626131149","3"
"Less important","1995","Not Employed","629","0.174740796311646","0.162469921071225","0.187011671552066","3"
"Quite unimportant","1995","Employed","94","0.0176866375559331","0.0146273483333163","0.02074592677855","4"
"Quite unimportant","1995","Not Employed","1053","0.336090721919402","0.320826810823265","0.351354633015539","4"
"Very important","1995","Employed","2194","0.289731523475252","0.279202647308876","0.300260399641628","1"
"Very important","1995","Not Employed","684","0.155793394681704","0.14407462307054","0.167512166292867","1"
"Important","1996","Employed","","","","","2"
"Important","1996","Not Employed","","","","","2"
"Less important","1996","Employed","","","","","3"
"Less important","1996","Not Employed","","","","","3"
"Quite unimportant","1996","Employed","","","","","4"
"Quite unimportant","1996","Not Employed","","","","","4"
"Very important","1996","Employed","","","","","1"
"Very important","1996","Not Employed","","","","","1"
"Important","1997","Employed","","","","","2"
"Important","1997","Not Employed","","","","","2"
"Less important","1997","Employed","","","","","3"
"Less important","1997","Not Employed","","","","","3"
"Quite unimportant","1997","Employed","","","","","4"
"Quite unimportant","1997","Not Employed","","","","","4"
