"plh0107","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","no migration background","3175","0.482752098965478","0.47048178310686","0.495022414824097","2"
"Important","1990","indirect migration background","23","","","","2"
"Important","1990","direct migration background","184","0.422398838737921","0.375103704096299","0.469693973379544","2"
"Less important","1990","no migration background","1019","0.159255095714327","0.150269992319187","0.168240199109467","3"
"Less important","1990","direct migration background","59","0.147370398567487","0.113429259612852","0.181311537522123","3"
"Less important","1990","indirect migration background","13","","","","3"
"Quite unimportant","1990","no migration background","760","0.147514221929688","0.138806494902862","0.156221948956513","4"
"Quite unimportant","1990","direct migration background","68","0.187227397866791","0.149875703439832","0.22457909229375","4"
"Quite unimportant","1990","indirect migration background","6","","","","4"
"Very important","1990","no migration background","1417","0.210478583390507","0.200468672712493","0.22048849406852","1"
"Very important","1990","direct migration background","108","0.2430033648278","0.201936249512691","0.28407048014291","1"
"Very important","1990","indirect migration background","12","","","","1"
"Important","1991","no migration background","","","","","2"
"Important","1991","direct migration background","","","","","2"
"Important","1991","indirect migration background","","","","","2"
"Less important","1991","no migration background","","","","","3"
"Less important","1991","direct migration background","","","","","3"
"Less important","1991","indirect migration background","","","","","3"
"Quite unimportant","1991","no migration background","","","","","4"
"Quite unimportant","1991","direct migration background","","","","","4"
"Quite unimportant","1991","indirect migration background","","","","","4"
"Very important","1991","no migration background","","","","","1"
"Very important","1991","direct migration background","","","","","1"
"Very important","1991","indirect migration background","","","","","1"
"Important","1992","no migration background","4691","0.454489084633613","0.444746493120887","0.46423167614634","2"
"Important","1992","direct migration background","234","0.434885221671818","0.393715668770824","0.476054774572811","2"
"Important","1992","indirect migration background","43","0.489899482004546","0.379665392893853","0.600133571115239","2"
"Less important","1992","no migration background","1296","0.140349494471223","0.133553117956856","0.147145870985591","3"
"Less important","1992","direct migration background","72","0.139040399747179","0.110307306397248","0.167773493097109","3"
"Less important","1992","indirect migration background","8","","","","3"
"Quite unimportant","1992","no migration background","1255","0.164000284043512","0.156755317108879","0.171245250978144","4"
"Quite unimportant","1992","direct migration background","115","0.200031380104687","0.166810890041095","0.233251870168278","4"
"Quite unimportant","1992","indirect migration background","8","","","","4"
"Very important","1992","no migration background","2792","0.241161136851651","0.232790866485081","0.249531407218222","1"
"Very important","1992","direct migration background","136","0.226042998476317","0.19130742767414","0.260778569278494","1"
"Very important","1992","indirect migration background","20","","","","1"
"Important","1993","no migration background","","","","","2"
"Important","1993","direct migration background","","","","","2"
"Important","1993","indirect migration background","","","","","2"
"Less important","1993","no migration background","","","","","3"
"Less important","1993","direct migration background","","","","","3"
"Less important","1993","indirect migration background","","","","","3"
"Quite unimportant","1993","no migration background","","","","","4"
"Quite unimportant","1993","direct migration background","","","","","4"
"Quite unimportant","1993","indirect migration background","","","","","4"
"Very important","1993","no migration background","","","","","1"
"Very important","1993","direct migration background","","","","","1"
"Very important","1993","indirect migration background","","","","","1"
"Important","1994","no migration background","","","","","2"
"Important","1994","direct migration background","","","","","2"
"Important","1994","indirect migration background","","","","","2"
"Less important","1994","no migration background","","","","","3"
"Less important","1994","direct migration background","","","","","3"
"Less important","1994","indirect migration background","","","","","3"
"Quite unimportant","1994","no migration background","","","","","4"
"Quite unimportant","1994","direct migration background","","","","","4"
"Quite unimportant","1994","indirect migration background","","","","","4"
"Very important","1994","no migration background","","","","","1"
"Very important","1994","direct migration background","","","","","1"
"Very important","1994","indirect migration background","","","","","1"
"Important","1995","no migration background","4798","0.4815877384063","0.471574876058767","0.491600600753834","2"
"Important","1995","direct migration background","499","0.434454587873844","0.405215118294239","0.463694057453449","2"
"Important","1995","indirect migration background","63","0.419619501386233","0.337873162656652","0.501365840115814","2"
"Less important","1995","no migration background","1250","0.145819774680803","0.138747390066152","0.152892159295453","3"
"Less important","1995","direct migration background","158","0.13659312650308","0.116335632077589","0.15685062092857","3"
"Less important","1995","indirect migration background","17","","","","3"
"Quite unimportant","1995","no migration background","999","0.142288030717496","0.135287389471124","0.149288671963868","4"
"Quite unimportant","1995","direct migration background","142","0.149443920949856","0.12841320016163","0.170474641738082","4"
"Quite unimportant","1995","indirect migration background","6","","","","4"
"Very important","1995","no migration background","2519","0.230304456195401","0.221867349145073","0.238741563245728","1"
"Very important","1995","direct migration background","305","0.27950836467322","0.25303705488381","0.30597967446263","1"
"Very important","1995","indirect migration background","54","0.415627635961781","0.333991748879946","0.497263523043615","1"
"Important","1996","no migration background","","","","","2"
"Important","1996","direct migration background","","","","","2"
"Important","1996","indirect migration background","","","","","2"
"Less important","1996","no migration background","","","","","3"
"Less important","1996","direct migration background","","","","","3"
"Less important","1996","indirect migration background","","","","","3"
"Quite unimportant","1996","no migration background","","","","","4"
"Quite unimportant","1996","direct migration background","","","","","4"
"Quite unimportant","1996","indirect migration background","","","","","4"
"Very important","1996","no migration background","","","","","1"
"Very important","1996","direct migration background","","","","","1"
"Very important","1996","indirect migration background","","","","","1"
"Important","1997","no migration background","","","","","2"
"Important","1997","direct migration background","","","","","2"
"Important","1997","indirect migration background","","","","","2"
"Less important","1997","no migration background","","","","","3"
"Less important","1997","direct migration background","","","","","3"
"Less important","1997","indirect migration background","","","","","3"
"Quite unimportant","1997","no migration background","","","","","4"
"Quite unimportant","1997","direct migration background","","","","","4"
"Quite unimportant","1997","indirect migration background","","","","","4"
"Very important","1997","no migration background","","","","","1"
"Very important","1997","direct migration background","","","","","1"
"Very important","1997","indirect migration background","","","","","1"
"Important","1998","no migration background","","","","","2"
"Important","1998","direct migration background","","","","","2"
"Important","1998","indirect migration background","","","","","2"
"Less important","1998","no migration background","","","","","3"
"Less important","1998","direct migration background","","","","","3"
"Less important","1998","indirect migration background","","","","","3"
"Quite unimportant","1998","no migration background","","","","","4"
"Quite unimportant","1998","direct migration background","","","","","4"
"Quite unimportant","1998","indirect migration background","","","","","4"
"Very important","1998","no migration background","","","","","1"
"Very important","1998","direct migration background","","","","","1"
"Very important","1998","indirect migration background","","","","","1"
"Important","1999","no migration background","","","","","2"
"Important","1999","direct migration background","","","","","2"
"Important","1999","indirect migration background","","","","","2"
"Less important","1999","no migration background","","","","","3"
"Less important","1999","direct migration background","","","","","3"
"Less important","1999","indirect migration background","","","","","3"
"Quite unimportant","1999","no migration background","","","","","4"
"Quite unimportant","1999","direct migration background","","","","","4"
"Quite unimportant","1999","indirect migration background","","","","","4"
"Very important","1999","no migration background","","","","","1"
"Very important","1999","direct migration background","","","","","1"
"Very important","1999","indirect migration background","","","","","1"
"Important","2000","no migration background","","","","","2"
"Important","2000","direct migration background","","","","","2"
"Important","2000","indirect migration background","","","","","2"
