"plh0107","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Full Time","511","0.364865452309795","0.339818428225246","0.389912476394343"
"Very important","1990","16-34 y.","Part Time","163","0.273390656802989","0.238364279477322","0.308417034128655"
"Very important","1990","16-34 y.","Not Working","154","0.266595590807681","0.230199494875509","0.302991686739853"
"Very important","1990","35-65 y.","Full Time","468","0.258782765077194","0.238274851947984","0.279290678206404"
"Very important","1990","35-65 y.","Part Time","97","0.144518414972605","0.117874259466494","0.171162570478716"
"Very important","1990","35-65 y.","Not Working","72","0.0815366295083457","0.0636976020630103","0.0993756569536812"
"Very important","1990","66 and older","Full Time","5","","",""
"Very important","1990","66 and older","Part Time","2","","",""
"Very important","1990","66 and older","Not Working","65","0.0691561506913828","0.0522773318827673","0.0860349694999983"
"Important","1990","16-34 y.","Full Time","773","0.545349726753116","0.519441769522277","0.571257683983954"
"Important","1990","16-34 y.","Part Time","344","0.55453576292377","0.515476494895013","0.593595030952527"
"Important","1990","16-34 y.","Not Working","273","0.485949294951325","0.444810172887523","0.527088417015127"
"Important","1990","35-65 y.","Full Time","1043","0.60057937266469","0.577645283808843","0.623513461520538"
"Important","1990","35-65 y.","Part Time","382","0.56212309867209","0.52452838634304","0.59971781100114"
"Important","1990","35-65 y.","Not Working","348","0.381572057266899","0.349905801901536","0.413238312632262"
"Important","1990","66 and older","Full Time","5","","",""
"Important","1990","66 and older","Part Time","11","","",""
"Important","1990","66 and older","Not Working","203","0.214256601666207","0.18696080935772","0.241552393974694"
"Less important","1990","16-34 y.","Full Time","129","0.0864701664342719","0.0718466637833667","0.101093669085177"
"Less important","1990","16-34 y.","Part Time","104","0.153755968497256","0.125408342152691","0.18210359484182"
"Less important","1990","16-34 y.","Not Working","105","0.184678167833094","0.152738611722722","0.216617723943466"
"Less important","1990","35-65 y.","Full Time","223","0.130002145181532","0.114254508360444","0.14574978200262"
"Less important","1990","35-65 y.","Part Time","161","0.238778084097999","0.206471733236778","0.27108443495922"
"Less important","1990","35-65 y.","Not Working","209","0.218488358319036","0.191551573782938","0.245425142855134"
"Less important","1990","66 and older","Full Time","3","","",""
"Less important","1990","66 and older","Part Time","9","","",""
"Less important","1990","66 and older","Not Working","148","0.175564046196732","0.150254492863908","0.200873599529557"
"Quite unimportant","1990","16-34 y.","Full Time","6","","",""
"Quite unimportant","1990","16-34 y.","Part Time","11","","",""
"Quite unimportant","1990","16-34 y.","Not Working","35","0.0627769464079004","0.0428115408519103","0.0827423519638906"
"Quite unimportant","1990","35-65 y.","Full Time","18","","",""
"Quite unimportant","1990","35-65 y.","Part Time","29","","",""
"Quite unimportant","1990","35-65 y.","Not Working","275","0.318402954905719","0.288034949362081","0.348770960449357"
"Quite unimportant","1990","66 and older","Full Time","1","","",""
"Quite unimportant","1990","66 and older","Part Time","7","","",""
"Quite unimportant","1990","66 and older","Not Working","452","0.541023201445678","0.507872590272175","0.57417381261918"
"Very important","1991","16-34 y.","Full Time","","","",""
"Very important","1991","16-34 y.","Part Time","","","",""
"Very important","1991","16-34 y.","Not Working","","","",""
"Very important","1991","35-65 y.","Full Time","","","",""
"Very important","1991","35-65 y.","Part Time","","","",""
"Very important","1991","35-65 y.","Not Working","","","",""
"Very important","1991","66 and older","Full Time","","","",""
"Very important","1991","66 and older","Part Time","","","",""
"Very important","1991","66 and older","Not Working","","","",""
"Important","1991","16-34 y.","Full Time","","","",""
"Important","1991","16-34 y.","Part Time","","","",""
"Important","1991","16-34 y.","Not Working","","","",""
"Important","1991","35-65 y.","Full Time","","","",""
"Important","1991","35-65 y.","Part Time","","","",""
"Important","1991","35-65 y.","Not Working","","","",""
"Important","1991","66 and older","Full Time","","","",""
"Important","1991","66 and older","Part Time","","","",""
"Important","1991","66 and older","Not Working","","","",""
"Less important","1991","16-34 y.","Full Time","","","",""
"Less important","1991","16-34 y.","Part Time","","","",""
"Less important","1991","16-34 y.","Not Working","","","",""
"Less important","1991","35-65 y.","Full Time","","","",""
"Less important","1991","35-65 y.","Part Time","","","",""
"Less important","1991","35-65 y.","Not Working","","","",""
"Less important","1991","66 and older","Full Time","","","",""
"Less important","1991","66 and older","Part Time","","","",""
"Less important","1991","66 and older","Not Working","","","",""
"Quite unimportant","1991","16-34 y.","Full Time","","","",""
"Quite unimportant","1991","16-34 y.","Part Time","","","",""
"Quite unimportant","1991","16-34 y.","Not Working","","","",""
"Quite unimportant","1991","35-65 y.","Full Time","","","",""
"Quite unimportant","1991","35-65 y.","Part Time","","","",""
"Quite unimportant","1991","35-65 y.","Not Working","","","",""
"Quite unimportant","1991","66 and older","Full Time","","","",""
"Quite unimportant","1991","66 and older","Part Time","","","",""
"Quite unimportant","1991","66 and older","Not Working","","","",""
"Very important","1992","16-34 y.","Full Time","902","0.395993671239784","0.375449730973462","0.416537611506105"
"Very important","1992","16-34 y.","Part Time","309","0.314295821751728","0.284868086071999","0.343723557431458"
"Very important","1992","16-34 y.","Not Working","239","0.272827352320456","0.242020094727204","0.303634609913707"
"Very important","1992","35-65 y.","Full Time","1070","0.317573794459894","0.301283047101988","0.333864541817799"
"Very important","1992","35-65 y.","Part Time","242","0.196108197867468","0.172834046014524","0.219382349720412"
"Very important","1992","35-65 y.","Not Working","107","0.0807678882428872","0.0653832770447079","0.0961524994410664"
"Very important","1992","66 and older","Full Time","2","","",""
"Very important","1992","66 and older","Part Time","2","","",""
"Very important","1992","66 and older","Not Working","75","0.0584323077376194","0.0453821880795664","0.0714824273956723"
"Important","1992","16-34 y.","Full Time","1105","0.522167511715074","0.501184798859963","0.543150224570186"
"Important","1992","16-34 y.","Part Time","504","0.531086193347315","0.499452626718552","0.562719759976077"
